Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,270.944,273.494,276.095,284.726,289.585,293.221,293.335,291.902,288.588,283.963,279.661,276.36
1981,271.923,272.586,276.796,283.718,289.192,292.305,293.227,291.194,288.418,283.179,278.324,274.929
1982,273.05,269.694,274.534,281.658,285.202,290.162,292.813,291.868,288.273,283.626,278.584,272.732
1983,271.633,272.108,274.837,279.714,285.976,289.741,291.786,292.263,289.535,283.237,279.426,274.455
1984,271.402,270.381,280.169,282.971,290.308,294.579,292.122,292.456,287.247,283.036,277.657,273.573
1985,271.25,276.273,280.384,284.776,288.77,293.02,293.284,292.472,289.692,283.623,278.787,274.174
1986,270.066,273.126,275.706,282.172,286.383,291.964,292.922,291.297,288.104,283.655,277.951,270.553
1987,271.203,274.359,278.065,282.988,284.922,290.677,293.324,293.22,290.67,283.295,280.381,277.697
1988,274.242,275.09,276.799,284.956,290.328,293.13,293.465,291.017,289.11,283.726,280.159,275.873
1989,271.273,271.869,277.737,281.728,288.177,291.662,292.803,290.643,289.194,284.174,277.864,274.693
1990,274.099,273.126,275.841,281.795,289.769,293.531,293.458,292.285,289.993,283.303,279.678,274.432
1991,272.711,274.129,279.302,282.579,288.538,293.762,294.376,292.406,289.118,283.144,278.191,275.119
1992,273.394,271.927,275.903,281.63,285.887,291.669,292.202,291.916,287.906,283.464,279.158,275.65
1993,271.038,276.858,275.602,283.736,289.414,292.485,292.125,291.754,289.293,283.683,279.755,276.886
1994,272.675,271.579,279.393,281.074,288.612,293.312,293.959,292.728,287.818,282.666,279.621,272.275
1995,269.283,272.556,276.282,280.997,288.153,292.909,292.656,291.164,287.845,283.168,278.9,272.46
1996,270.295,274.078,277.819,283.336,286.399,291.037,291.972,291.328,289.261,282.949,277.486,274.849
1997,272.558,273.544,277.961,282.454,286.094,291.725,295.118,292.469,289.343,282.208,277.657,273.829
1998,272.879,274.526,277.787,284.934,289.628,292.274,294.637,293.49,290.624,285.351,280.739,278.547
1999,273.219,275.754,279.117,286.333,290.477,293.379,294.222,293.06,290.996,284.866,279.141,277.281
2000,272.874,271.813,278.115,286.022,292.511,293.514,293.871,292.839,289.452,286.006,279.148,276.152
2001,273.444,275.291,279.785,284.724,291.588,292.576,293.739,292.588,288.6,285.111,279.653,275.913
2002,274.294,274.272,280.319,285.242,291.046,293.402,293.807,293.017,287.869,284.462,279.852,275.365
2003,274.946,273.169,276.021,283.438,286.44,293.031,293.594,291.65,288.862,284.094,278.471,274.178
2004,272.023,274.958,282.552,285.893,289.144,292.232,293.299,291.971,289.875,282.37,279.699,276.541
2005,270.804,271.315,278.612,282.575,285.83,293.047,293.066,292.105,290.387,284.399,278.059,275.047
2006,269.812,277.536,278.817,284.127,291.595,291.8,293.663,290.887,288.371,284.744,278.392,273.43
2007,273.088,274.15,276.261,286.132,288.989,293.015,293.103,292.545,289.511,283.897,280.939,274.314
2008,268.482,270.774,280.971,283.316,289.139,292.855,292.987,291.858,288.567,284.945,279.807,275.692
2009,273.452,273.714,278.711,282.81,288.101,291.023,293.602,292.736,289.768,283.953,277.96,274.807
2010,275.113,272.903,281.43,285.56,288.351,290.303,292.618,291.874,288.575,284.643,280.361,275.604
2011,270.713,272.566,278.298,282.197,290.198,292.706,292.647,292.319,289.582,284.206,280.386,274.54
2012,269.38,271.313,277.054,282.605,287.394,291.985,294.168,293.003,289.221,283.292,278.83,274.819
2013,271.591,273.46,279.426,283.172,288.957,293.104,293.526,291.837,289.393,285.658,279.037,274.86
2014,272.065,273.0,276.757,282.315,287.229,292.805,293.414,291.983,288.546,283.788,279.239,275.759
2015,274.366,275.385,276.945,283.025,287.85,290.003,292.128,291.275,288.442,283.924,278.865,274.371
2016,274.233,276.058,278.852,283.692,289.192,292.922,293.202,291.714,289.635,285.286,280.804,279.087
2017,270.254,273.443,277.186,283.684,288.468,291.256,292.906,292.141,289.35,285.573,279.247,274.827
2018,274.834,275.559,280.59,284.283,287.604,292.43,292.333,292.063,289.111,282.927,278.176,274.423
2019,269.781,270.791,276.053,283.885,286.441,290.137,292.738,291.946,290.573,283.679,276.507,270.931
2020,268.229,273.159,276.505,281.863,286.164,289.572,292.139,292.787,289.035,284.489,277.039,271.772
2021,270.995,276.187,278.863,281.656,286.223,290.685,293.118,291.661,290.822,284.04,279.037,273.598
2022,270.203,271.994,281.168,286.535,289.144,291.098,292.494,291.641,289.518,284.277,278.172,275.851
2023,270.875,274.394,279.053,282.196,284.869,290.008,291.715,292.088,290.234,284.368,280.027,276.929
