Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,295.407,297.323,299.816,302.881,303.414,302.564,301.172,300.378,300.555,301.915,300.662,297.482
1981,295.939,297.506,300.003,302.316,303.374,303.214,301.011,300.118,301.047,300.949,297.745,296.705
1982,296.314,296.882,298.871,300.931,302.584,302.877,301.388,299.72,300.404,302.358,299.919,297.871
1983,295.645,295.859,298.602,300.633,302.962,302.967,301.856,300.82,300.978,300.206,297.495,295.811
1984,294.296,295.147,300.041,302.343,303.612,302.736,300.856,299.673,299.918,301.11,299.833,297.458
1985,295.869,296.925,300.682,302.156,303.008,303.057,300.955,300.022,301.073,301.186,299.791,297.852
1986,296.104,297.045,299.974,302.333,302.63,303.125,301.251,299.989,301.107,302.201,300.261,296.378
1987,296.564,297.448,300.149,301.914,303.426,303.36,302.368,301.916,302.067,303.423,301.605,298.678
1988,298.035,298.288,299.602,302.768,303.921,303.194,301.637,300.782,301.518,300.919,298.954,297.546
1989,295.749,297.431,299.626,302.186,303.232,302.531,301.138,299.941,301.172,302.533,301.468,297.607
1990,297.612,297.921,299.147,301.501,303.416,302.816,301.031,300.224,300.295,301.176,299.846,297.886
1991,295.856,296.792,299.849,302.238,303.705,303.238,301.314,299.975,300.393,301.724,300.531,297.502
1992,296.316,296.724,299.586,301.371,303.022,302.681,301.857,300.602,300.864,301.266,300.209,298.344
1993,297.149,298.07,299.209,302.018,303.468,303.007,301.738,300.851,300.984,301.104,299.317,297.459
1994,297.127,296.895,301.084,301.96,303.326,302.145,300.395,299.833,299.82,300.742,299.993,296.743
1995,295.624,297.442,299.273,302.141,303.131,303.61,301.533,300.401,301.196,302.085,299.89,298.109
1996,296.439,297.631,301.052,302.292,303.302,302.993,300.831,299.863,300.266,300.606,298.795,297.433
1997,295.593,296.849,300.596,301.337,302.718,302.061,301.121,300.369,300.809,301.361,301.011,297.229
1998,296.688,296.954,299.667,302.992,304.417,303.771,301.594,301.22,301.476,301.105,299.212,296.633
1999,295.721,298.557,300.437,302.617,302.511,302.188,301.578,300.666,301.387,300.525,299.545,297.202
2000,296.626,296.468,299.283,302.457,302.475,302.945,300.715,300.75,301.304,302.732,301.326,298.146
2001,296.301,296.94,299.143,302.666,303.006,302.094,300.669,300.189,300.868,301.828,300.623,298.465
2002,295.816,296.952,300.157,302.686,303.55,302.759,301.083,300.075,300.418,302.263,301.016,298.414
2003,297.329,297.554,299.451,302.614,303.568,302.809,301.517,300.608,300.478,300.751,299.99,297.846
2004,296.016,297.208,301.428,302.433,303.719,302.548,301.298,300.323,301.152,300.634,300.842,298.247
2005,295.477,296.726,299.756,302.462,303.77,303.293,301.051,300.283,300.654,300.569,298.652,296.303
2006,296.034,299.241,300.06,301.771,303.28,302.574,300.772,299.824,300.744,301.264,299.34,297.527
2007,296.54,297.316,300.451,303.14,303.535,303.152,301.409,300.724,301.084,300.142,299.15,297.048
2008,295.015,295.347,299.64,302.263,302.748,302.033,300.811,300.306,300.759,300.897,299.404,298.506
2009,297.339,298.101,300.944,303.763,303.276,303.197,301.113,300.694,301.517,301.427,299.195,297.875
2010,296.881,297.389,300.928,303.319,304.689,303.187,301.495,300.855,301.066,301.388,299.892,295.789
2011,294.794,297.236,300.306,302.604,303.335,303.139,301.06,300.405,300.429,301.173,300.358,297.685
2012,294.718,295.993,298.947,302.051,302.379,302.606,301.663,300.688,300.783,301.424,298.666,297.888
2013,295.631,297.251,300.14,301.864,303.591,302.106,300.579,300.034,300.767,300.489,298.614,296.479
2014,295.21,296.512,299.625,302.401,303.912,303.684,301.908,300.66,300.774,301.756,300.681,297.069
2015,295.636,297.52,300.007,301.811,304.117,302.588,301.274,300.801,301.103,302.073,300.806,297.738
2016,296.493,297.646,300.78,302.686,303.949,303.328,301.12,300.426,300.468,300.338,298.261,297.42
2017,296.202,298.221,300.089,302.081,303.934,303.106,301.176,300.612,301.212,301.733,299.107,296.322
2018,296.766,298.63,300.79,302.668,303.756,303.197,301.032,300.217,300.27,302.421,301.182,296.86
2019,295.032,296.106,299.222,302.767,303.321,303.022,301.812,300.766,300.941,300.64,299.413,296.701
2020,294.566,297.154,298.91,303.27,304.632,302.73,302.042,301.15,301.338,301.51,298.623,296.705
2021,295.872,297.689,301.025,302.763,303.842,302.793,301.934,300.637,300.921,300.689,298.635,295.83
2022,294.443,296.287,301.064,303.547,303.681,302.784,300.991,300.667,301.037,300.335,298.158,297.245
2023,295.086,297.938,300.195,302.298,303.776,303.071,301.343,300.532,301.319,301.533,299.869,297.717
