Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.843,300.372,303.451,305.585,306.871,301.971,301.008,300.74,300.301,299.901,297.04,296.27
1981,297.008,300.134,302.39,305.694,306.509,305.204,301.209,300.499,299.965,299.065,296.307,295.758
1982,296.932,300.543,303.234,305.327,305.996,304.193,301.436,300.703,300.38,299.542,297.642,296.771
1983,298.067,301.394,303.924,305.781,306.95,304.58,302.082,300.728,299.872,298.961,296.083,296.291
1984,298.196,299.67,303.193,305.466,307.83,304.268,301.474,301.634,301.392,299.783,298.182,298.33
1985,297.376,300.65,303.025,306.626,307.755,302.648,301.549,300.877,300.776,298.097,296.463,297.194
1986,296.631,299.195,303.059,305.451,307.983,304.066,302.77,301.169,301.663,300.636,297.759,297.427
1987,297.877,298.995,302.216,305.83,306.398,305.486,302.878,301.694,301.764,299.417,297.764,295.736
1988,297.097,300.429,303.907,305.016,307.992,305.687,300.935,300.349,299.89,298.875,296.998,297.194
1989,297.637,300.208,302.885,306.19,307.326,303.507,301.217,300.262,299.629,299.418,297.517,296.808
1990,298.505,300.694,302.97,305.827,303.553,301.874,301.834,301.115,300.807,299.395,298.263,297.629
1991,298.902,301.017,303.747,306.192,307.2,302.615,301.185,300.755,301.024,298.876,296.235,294.372
1992,294.38,299.386,302.89,305.547,307.72,305.241,301.973,300.22,300.143,299.14,297.467,294.033
1993,296.671,299.105,303.328,305.509,307.968,304.872,301.961,301.506,300.611,299.311,296.974,295.682
1994,297.661,299.97,303.677,305.913,307.502,304.724,301.043,300.799,300.465,299.117,296.706,294.266
1995,295.14,298.855,303.336,305.579,303.141,304.103,301.35,300.913,300.398,299.132,297.28,295.388
1996,297.408,299.518,303.275,305.208,308.122,302.967,301.064,300.594,300.418,299.144,296.616,295.21
1997,296.171,299.545,303.433,304.556,307.925,305.649,301.989,301.21,300.381,299.673,298.59,297.099
1998,297.218,300.184,303.858,305.882,308.941,305.078,302.64,301.043,300.567,299.281,297.52,293.919
1999,295.391,299.88,304.082,305.925,305.711,303.72,302.13,301.63,301.3,299.501,297.932,296.962
2000,298.66,300.267,302.365,306.204,306.465,301.97,300.971,300.144,300.129,299.325,297.884,296.322
2001,297.925,300.641,303.68,303.471,307.078,303.517,303.377,300.637,300.985,299.668,297.748,295.928
2002,297.162,299.874,303.48,305.886,308.927,304.053,304.211,301.536,301.966,299.485,296.998,296.51
2003,297.238,300.753,303.268,305.893,308.778,305.648,301.448,301.093,300.683,299.602,297.271,295.745
2004,296.188,299.243,303.433,306.086,304.539,303.709,301.513,301.916,300.982,299.166,297.096,296.68
2005,298.799,300.969,303.466,305.702,306.407,305.281,302.026,300.878,300.21,299.466,295.271,294.728
2006,295.804,299.319,303.123,305.525,305.29,303.468,303.117,300.596,300.458,300.357,297.222,295.404
2007,296.18,298.917,302.895,305.406,308.2,303.274,301.279,300.398,300.038,298.189,296.158,296.131
2008,296.834,299.415,301.369,304.51,308.502,303.929,302.387,300.249,300.06,298.997,297.554,296.568
2009,297.267,300.965,303.653,305.965,305.449,303.883,303.267,301.914,300.969,300.09,298.578,296.964
2010,297.976,300.519,304.226,306.097,306.267,303.388,300.909,300.825,300.044,299.46,298.288,294.585
2011,294.492,298.006,302.102,304.066,306.797,304.205,302.235,301.101,301.099,301.106,299.132,298.816
2012,297.562,300.231,303.733,305.335,306.233,304.924,301.849,300.736,300.157,298.928,296.597,295.884
2013,297.5,298.951,302.229,304.901,306.848,302.981,301.284,300.734,300.287,299.596,297.086,294.851
2014,296.447,298.497,302.767,306.049,305.422,307.091,303.547,301.541,300.425,299.87,297.5,296.729
2015,297.182,299.401,302.907,304.735,307.352,302.353,303.049,301.603,300.679,300.824,298.346,297.601
2016,298.215,301.098,303.422,306.133,306.365,301.909,301.343,301.812,299.954,298.71,297.96,297.419
2017,298.341,300.371,303.637,306.609,306.959,303.265,301.751,300.535,300.45,299.711,297.623,296.159
2018,297.47,299.807,303.395,305.491,305.417,303.719,301.903,300.705,300.545,300.157,299.814,297.437
2019,296.306,300.062,303.509,305.806,307.145,305.062,302.714,300.906,300.457,299.641,297.729,296.78
2020,298.061,299.921,303.13,305.48,307.415,303.621,301.21,300.508,300.401,299.593,297.82,295.015
2021,296.953,298.448,303.115,305.381,305.33,303.494,301.237,301.148,300.526,299.826,298.226,295.367
2022,295.976,298.548,303.721,305.563,305.368,303.699,301.029,300.724,300.535,298.789,296.839,297.296
2023,297.201,300.433,302.224,305.573,305.583,306.711,301.88,301.506,300.74,300.029,299.498,295.884
