Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.009,0.009,3.162,1.227,1.236,50.63,20.771,14.109,2.471,0.311,1.46,1.434
1981,2.48,0.009,0.156,0.32,5.443,7.007,23.216,9.055,6.057,5.521,1.564,0.829
1982,0.009,0.009,0.009,0.009,2.808,22.386,71.513,39.787,5.512,3.188,3.292,0.13
1983,0.009,0.009,0.009,0.078,1.78,45.308,76.905,36.539,4.994,2.385,0.873,4.83
1984,0.086,2.687,0.873,3.966,0.009,40.409,32.193,1.858,3.75,2.212,2.903,1.279
1985,1.719,0.009,0.017,1.771,9.521,26.922,32.486,3.439,0.484,3.128,0.553,0.354
1986,1.832,0.164,0.009,0.095,1.806,10.886,4.182,3.767,3.37,1.296,3.197,0.795
1987,0.199,0.009,0.492,0.164,2.773,52.108,26.767,20.598,4.761,1.892,3.084,1.901
1988,0.855,0.009,0.337,5.806,3.128,48.108,44.202,5.59,6.947,0.13,0.32,0.017
1989,0.095,0.009,0.579,0.285,0.562,35.087,22.067,2.903,3.75,0.959,0.432,1.806
1990,0.985,0.009,0.009,0.009,10.653,6.411,11.664,5.668,11.508,2.912,3.033,1.313
1991,0.199,0.009,0.009,1.892,1.495,11.94,16.122,4.562,4.657,1.996,2.246,0.009
1992,0.017,0.009,0.009,1.097,1.719,12.761,17.289,10.411,4.726,2.462,7.577,0.009
1993,0.009,0.285,0.259,0.069,0.631,24.624,32.901,3.352,2.393,4.847,1.711,1.071
1994,0.121,0.035,0.009,2.912,0.916,20.174,7.888,1.927,1.555,7.111,1.59,0.009
1995,1.192,0.009,0.423,0.026,2.566,5.512,24.736,10.143,6.16,3.732,0.121,0.009
1996,0.009,0.017,0.009,4.683,0.104,15.111,26.542,4.337,3.3,5.115,0.121,1.763
1997,2.264,0.924,3.43,6.782,3.352,11.517,23.38,10.8,5.694,1.149,4.838,4.683
1998,0.009,0.009,0.639,1.719,1.529,14.282,21.885,5.21,6.506,3.724,2.169,0.009
1999,0.009,0.276,0.009,0.009,6.186,3.326,20.563,3.309,3.776,8.044,0.035,0.363
2000,0.009,2.972,0.017,0.648,7.586,20.494,5.581,5.383,6.782,3.525,0.276,1.737
2001,0.562,0.009,0.009,2.765,13.504,12.347,7.076,3.465,2.004,5.21,1.339,0.035
2002,0.017,0.009,0.009,0.251,2.367,18.109,2.445,7.387,0.89,5.296,1.4,0.009
2003,0.009,0.009,0.648,0.726,0.147,39.822,29.929,2.359,2.411,2.506,0.06,1.495
2004,0.881,0.147,0.104,3.154,4.562,24.468,11.094,3.439,5.253,2.912,0.57,0.009
2005,0.415,1.892,1.953,0.804,2.609,11.068,8.7,5.193,7.664,6.454,0.51,1.123
2006,0.009,0.009,0.138,2.808,6.592,15.44,3.577,5.633,4.856,2.056,2.022,0.683
2007,0.009,0.207,0.017,1.909,1.21,20.822,3.11,3.663,4.519,3.059,0.829,1.123
2008,0.009,2.843,3.724,0.017,0.311,32.676,7.802,5.625,4.415,4.095,2.817,0.035
2009,0.009,0.017,1.763,1.814,5.832,9.953,18.248,3.067,4.234,3.948,3.352,0.467
2010,0.527,0.009,1.374,4.64,2.22,17.47,33.86,8.657,5.098,4.83,4.493,0.717
2011,0.026,4.035,3.888,4.709,6.169,22.68,15.25,6.039,2.808,3.862,0.147,0.026
2012,0.017,0.009,0.164,0.138,1.002,6.428,5.08,3.136,4.087,1.909,1.884,0.156
2013,0.017,1.02,0.397,6.229,3.629,8.554,7.871,3.525,6.057,5.072,0.89,0.009
2014,0.009,3.473,3.914,8.381,5.046,3.715,4.89,4.009,4.208,4.061,0.458,0.346
2015,0.406,0.112,1.745,8.821,7.284,30.482,7.076,4.787,7.145,5.34,2.609,0.017
2016,0.017,1.002,1.737,2.246,4.622,21.574,10.627,1.4,1.737,1.616,0.683,1.322
2017,0.225,0.009,0.121,2.134,2.143,25.177,4.553,2.523,6.722,3.326,0.631,0.035
2018,0.017,1.011,1.607,4.294,7.716,9.184,21.419,3.525,5.054,2.557,1.175,0.259
2019,0.605,0.052,2.454,2.272,1.011,39.77,18.878,9.452,11.552,10.912,3.473,1.322
2020,1.14,0.786,3.456,2.886,3.892,19.822,39.75,2.646,10.555,4.26,1.557,0.027
2021,0.102,3.133,0.114,3.083,3.269,4.92,9.451,4.551,2.708,5.902,3.672,1.448
2022,0.433,0.656,3.193,2.665,4.013,13.745,9.435,5.088,2.76,6.333,2.678,1.86
2023,0.0,0.0,2.123,0.321,1.69,7.123,30.655,1.782,2.168,0.932,0.972,0.088
