Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,1.486,1.097,1.149,0.121,0.009,10.446,10.722,8.96,6.54,1.607,0.13,0.622
1981,0.458,0.441,3.499,1.711,2.748,5.089,4.752,9.245,2.912,0.415,0.009,1.261
1982,0.423,2.799,0.752,0.035,0.432,4.337,2.903,12.252,4.415,1.555,1.063,0.017
1983,0.527,3.326,0.156,0.786,3.465,5.314,4.458,13.807,6.929,3.629,0.156,0.017
1984,2.678,0.311,0.009,1.028,0.009,4.717,10.342,12.951,6.057,0.518,0.009,0.017
1985,0.899,0.544,0.009,0.527,0.009,2.506,8.821,8.934,4.398,1.512,0.017,0.009
1986,1.27,1.469,0.622,0.665,0.717,3.24,7.845,5.832,4.277,1.382,1.149,1.279
1987,1.503,0.009,1.745,2.868,0.648,1.754,7.975,4.864,4.985,0.51,5.124,0.121
1988,0.009,0.156,1.002,0.588,0.475,3.776,8.364,6.903,3.819,0.873,0.432,0.009
1989,0.009,0.009,1.149,0.009,0.156,6.29,6.445,8.441,3.802,0.674,0.009,0.026
1990,0.009,2.773,4.968,0.778,4.908,6.048,6.471,7.62,4.346,3.292,3.914,4.735
1991,0.899,0.181,0.009,0.009,0.009,4.363,6.368,7.664,3.655,3.18,1.875,0.769
1992,0.164,2.1,0.009,0.009,0.441,3.923,4.683,8.718,3.655,0.994,1.011,0.009
1993,0.009,0.009,0.156,0.009,0.95,4.562,13.573,8.26,4.406,1.633,0.19,0.009
1994,0.043,2.117,0.009,0.009,0.069,8.225,11.638,7.767,5.521,2.013,0.57,0.009
1995,1.253,0.423,0.285,0.009,7.957,1.676,9.737,10.817,3.318,2.765,3.37,0.009
1996,1.909,0.225,0.043,0.009,0.009,4.899,4.311,4.64,2.678,1.607,0.121,0.156
1997,0.32,0.009,0.665,0.596,0.009,1.417,12.148,7.802,5.711,0.691,0.665,1.979
1998,2.661,2.652,2.264,0.864,0.674,2.748,4.968,6.143,5.91,3.283,1.728,0.009
1999,0.009,0.009,0.009,0.009,0.449,5.547,5.737,6.843,3.672,3.663,1.192,0.009
2000,0.009,2.946,0.009,0.648,1.391,6.843,8.493,7.733,3.275,0.104,0.009,0.009
2001,0.009,0.009,0.009,1.512,0.086,11.681,10.351,8.666,2.134,1.175,1.452,0.009
2002,1.927,0.009,0.881,0.268,0.147,3.767,1.132,7.793,4.692,1.356,0.156,0.009
2003,0.009,0.786,0.648,0.104,0.009,4.631,10.022,7.681,7.137,8.13,0.57,4.052
2004,0.717,0.017,0.138,0.907,0.605,4.873,5.746,11.612,4.787,2.091,0.009,0.009
2005,0.544,0.017,0.631,0.631,1.279,1.244,13.954,4.571,11.12,1.633,0.294,0.017
2006,0.026,0.009,1.106,0.207,1.702,3.188,12.908,13.504,4.553,0.121,0.276,0.009
2007,0.009,0.553,2.903,0.009,1.426,4.069,8.217,8.908,6.903,0.778,0.285,0.009
2008,0.527,0.605,0.639,0.665,0.691,6.618,7.318,10.67,4.579,1.236,0.164,0.009
2009,0.009,0.648,0.095,0.009,1.218,1.097,12.338,6.368,2.981,1.892,0.432,0.009
2010,0.009,0.052,0.009,0.009,0.691,3.11,6.411,5.616,6.955,2.903,0.683,0.726
2011,0.009,2.324,0.475,3.024,2.134,5.175,9.132,8.009,7.949,1.011,0.035,0.164
2012,0.985,0.009,0.009,0.009,0.199,2.29,13.945,10.083,6.445,1.521,3.568,0.397
2013,0.052,0.216,0.181,0.717,0.009,9.634,10.256,7.422,5.011,9.495,0.311,0.009
2014,0.017,0.622,1.201,0.285,0.795,0.821,10.515,2.436,7.439,2.998,0.009,0.933
2015,1.452,0.009,0.544,2.004,1.961,8.951,5.651,6.515,3.421,0.009,0.043,1.685
2016,0.069,0.337,0.924,0.009,0.354,1.443,5.711,8.796,5.158,1.832,0.432,0.009
2017,0.544,0.009,1.503,0.009,0.346,3.603,7.137,4.398,2.627,1.158,0.588,0.009
2018,0.009,0.009,0.009,2.782,1.296,2.419,5.72,6.497,3.56,3.387,0.009,1.521
2019,0.009,0.397,0.605,1.037,0.026,2.713,5.685,6.48,4.216,4.415,0.017,0.294
2020,2.367,2.575,7.465,4.605,1.213,3.211,2.337,10.404,1.457,4.233,0.021,0.0
2021,0.0,0.003,0.0,0.0,0.779,6.075,4.057,3.339,4.243,1.415,1.458,1.656
2022,0.468,0.0,0.001,0.0,1.942,1.491,9.518,6.094,3.138,2.883,0.0,0.0
2023,0.213,0.0,1.389,0.311,0.215,1.922,7.318,1.157,3.506,0.394,0.016,0.492
