Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.069,1.02,2.091,0.009,1.434,22.222,28.374,18.887,9.305,1.702,0.009,0.009
1981,0.259,1.469,3.387,3.75,5.175,11.206,14.861,16.044,6.679,0.009,0.009,2.808
1982,0.009,0.346,1.763,0.009,0.363,8.519,10.757,27.536,3.802,1.175,0.017,0.043
1983,0.242,1.884,0.38,0.009,4.735,8.718,7.335,21.764,11.085,2.238,0.009,0.458
1984,0.423,0.017,0.009,0.009,3.033,12.061,18.93,28.676,8.942,1.071,0.009,0.009
1985,0.19,0.855,0.009,0.009,0.432,3.966,18.144,18.325,9.176,2.1,0.009,0.009
1986,0.311,0.665,1.668,0.406,5.046,8.104,18.516,12.364,7.957,2.082,0.009,0.354
1987,0.855,0.121,3.084,4.035,3.188,1.356,7.854,9.936,11.457,0.786,2.341,0.346
1988,0.009,0.242,0.691,1.348,2.454,14.455,14.455,10.653,3.508,1.27,0.009,0.009
1989,0.009,0.009,0.06,0.009,3.629,10.454,7.828,14.662,5.858,1.806,0.009,0.449
1990,0.009,2.506,1.382,1.391,4.044,11.699,18.533,15.587,11.828,5.988,1.356,3.482
1991,0.683,0.009,0.147,0.009,0.009,6.739,14.913,20.261,7.042,3.059,0.017,0.354
1992,0.009,0.199,0.173,0.009,5.538,4.242,13.038,20.58,7.154,1.097,0.544,0.009
1993,0.009,0.009,0.009,0.76,1.935,5.34,20.088,13.47,14.835,2.428,0.207,0.009
1994,0.009,0.121,0.009,0.009,0.959,13.712,23.725,21.531,10.117,1.382,0.173,0.009
1995,0.207,0.259,0.009,0.009,2.497,3.629,16.165,16.062,15.206,1.633,2.868,0.009
1996,0.043,0.009,0.354,0.743,0.009,13.401,7.897,11.353,5.849,4.035,0.009,0.009
1997,0.328,0.009,0.268,1.832,0.268,4.933,18.896,17.124,13.383,0.588,0.259,1.002
1998,3.214,0.536,1.469,0.009,4.605,8.251,14.723,13.487,10.264,4.415,1.313,0.009
1999,0.009,0.009,0.035,0.009,2.445,7.871,16.641,16.744,12.614,3.568,0.562,0.009
2000,0.009,1.123,0.009,2.627,3.378,9.841,11.811,8.51,10.264,0.104,0.009,0.009
2001,0.009,0.009,0.104,0.009,0.51,21.419,24.175,10.048,5.97,1.175,0.009,0.009
2002,0.19,0.009,0.009,0.804,0.847,8.32,5.659,17.824,10.117,0.674,0.164,0.009
2003,0.009,0.622,0.009,0.665,0.009,6.255,13.962,19.034,16.572,6.644,0.138,3.11
2004,0.043,0.009,0.009,2.195,1.529,7.836,11.189,28.356,13.556,3.586,0.009,0.009
2005,0.216,0.069,0.035,0.873,2.851,3.396,18.179,10.99,14.714,2.013,0.009,0.009
2006,0.017,0.009,1.892,0.631,3.024,6.679,22.853,23.077,10.308,0.147,0.009,0.009
2007,0.009,0.285,0.259,1.426,3.421,5.547,14.861,15.751,17.79,1.521,0.009,0.009
2008,1.434,0.207,0.009,0.458,1.192,22.317,19.846,16.425,6.558,0.881,0.009,0.009
2009,0.009,0.009,0.009,0.009,4.069,2.056,21.954,9.59,10.04,3.672,0.147,0.009
2010,0.009,0.009,0.009,0.009,1.823,7.534,9.841,7.56,8.018,5.564,0.017,1.089
2011,0.009,1.184,0.009,3.784,2.454,12.908,16.442,19.863,17.297,0.933,0.009,0.017
2012,2.281,0.009,0.009,4.519,1.417,4.709,22.723,13.729,8.286,1.65,3.015,0.346
2013,0.009,0.328,0.268,1.236,0.562,14.334,11.085,15.621,10.489,11.327,0.009,0.009
2014,0.009,2.54,0.121,0.009,0.657,2.644,23.0,11.621,12.563,2.393,0.009,0.138
2015,2.212,0.346,0.613,2.566,0.423,5.573,14.04,11.128,2.532,0.216,0.009,0.415
2016,0.475,1.927,0.423,0.009,1.46,1.97,12.355,21.324,4.398,0.588,0.009,0.009
2017,0.035,0.009,0.156,0.06,0.942,8.605,11.897,4.735,3.637,4.519,0.069,0.017
2018,0.009,0.009,0.009,5.884,4.631,5.037,11.344,13.34,9.616,7.543,0.009,1.408
2019,0.009,1.028,0.052,0.009,2.013,6.731,8.415,14.325,6.178,0.726,0.968,0.052
2020,2.264,1.02,2.514,4.277,3.648,4.526,3.161,18.55,2.709,5.445,0.0,0.0
2021,0.0,0.0,0.0,0.146,10.931,4.691,8.183,4.128,6.505,1.711,0.981,1.004
2022,0.95,0.13,0.0,0.0,2.93,0.368,15.715,19.113,11.854,1.527,0.0,0.0
2023,0.0,0.0,0.482,0.654,0.0,3.864,10.661,4.371,12.414,1.611,0.354,0.41
