Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.009,0.009,1.788,2.471,4.968,50.121,58.164,18.55,3.853,2.722,2.791,2.108
1981,2.756,0.009,0.372,1.184,3.888,24.71,31.372,24.702,5.4,7.569,1.892,0.38
1982,0.009,0.009,0.009,0.009,5.849,21.203,55.961,65.517,3.974,5.184,3.612,0.216
1983,0.009,0.009,0.009,0.009,2.16,40.418,41.049,65.215,28.59,3.482,1.763,6.065
1984,0.406,3.119,2.082,6.178,0.009,77.155,43.105,2.324,4.121,3.586,2.134,2.782
1985,2.134,1.322,0.147,1.866,12.684,43.373,43.338,3.56,1.469,2.748,1.512,0.147
1986,2.652,0.026,0.518,1.071,1.624,12.58,10.282,10.515,2.86,4.432,2.868,1.14
1987,0.017,0.009,0.017,0.432,2.229,23.354,12.822,26.94,4.977,4.156,3.11,2.255
1988,1.806,0.017,0.665,4.061,1.875,49.715,32.106,12.977,5.823,0.829,1.374,0.017
1989,0.406,0.009,0.13,1.892,2.039,48.341,40.988,5.806,4.095,2.134,2.307,3.093
1990,1.555,0.009,0.009,0.009,19.215,9.132,23.008,13.85,9.668,2.039,5.262,2.462
1991,1.192,0.328,0.285,2.48,1.555,15.042,28.184,10.221,4.916,4.164,2.696,0.009
1992,0.017,0.017,0.009,1.676,2.333,17.124,27.579,17.963,6.834,2.091,8.199,0.009
1993,0.009,0.009,0.648,0.035,0.916,38.431,47.589,2.065,3.957,4.735,3.214,2.48
1994,0.017,0.026,0.009,1.296,1.555,28.028,36.409,2.851,5.832,6.817,3.724,0.121
1995,1.218,0.009,1.331,2.609,5.547,16.632,16.589,12.502,8.484,5.616,1.374,0.009
1996,0.009,0.717,0.009,3.802,1.495,33.947,49.188,8.554,1.097,6.143,1.184,2.169
1997,4.562,0.397,3.888,9.081,5.556,3.931,33.99,11.664,3.214,2.894,6.705,5.59
1998,0.017,0.017,2.108,4.424,1.806,67.772,19.509,3.076,5.037,4.51,2.238,1.616
1999,0.009,1.261,0.009,1.806,3.344,3.43,20.494,1.434,3.888,7.448,1.598,0.942
2000,0.009,2.402,0.009,2.843,15.12,26.283,9.081,6.817,6.852,4.985,1.547,1.84
2001,0.052,0.009,0.795,3.81,1.382,30.076,7.931,3.689,4.458,2.419,2.592,1.106
2002,0.13,0.026,0.294,1.693,1.866,8.199,1.426,6.35,0.674,8.061,2.333,0.009
2003,0.009,0.017,0.432,0.683,1.313,61.638,34.534,2.627,1.884,5.772,0.354,2.074
2004,2.35,0.432,0.017,1.356,6.169,19.932,19.967,2.428,3.275,4.0,1.002,0.009
2005,0.069,2.532,2.428,2.229,2.886,10.333,8.364,6.782,9.772,9.806,2.773,1.132
2006,0.009,0.009,0.812,2.54,12.813,14.619,1.901,8.07,3.067,1.659,3.223,1.08
2007,0.017,0.441,0.078,1.961,1.65,18.939,1.711,4.812,3.3,5.132,1.572,1.331
2008,0.009,1.495,4.536,2.082,0.553,19.112,8.381,3.525,3.586,5.003,2.436,0.043
2009,0.009,0.052,3.335,3.404,4.38,19.189,23.328,1.676,2.195,3.3,5.037,1.892
2010,2.082,0.009,1.495,3.707,3.413,18.066,39.122,9.945,3.819,5.4,6.143,1.607
2011,0.06,2.471,3.948,5.279,4.571,25.272,22.749,5.409,4.596,5.003,1.78,0.406
2012,0.017,0.397,0.164,2.972,1.624,14.74,3.784,5.409,4.389,3.456,2.065,0.302
2013,0.026,1.184,4.009,5.754,3.18,9.996,11.474,1.633,4.484,6.782,1.97,0.259
2014,0.009,3.128,3.456,8.191,4.562,2.359,7.871,3.214,5.098,5.918,0.553,0.527
2015,0.691,0.017,4.398,6.584,5.53,8.061,9.409,3.56,6.661,4.355,3.257,0.216
2016,0.147,0.017,1.521,2.618,5.573,16.658,8.709,1.305,1.149,2.791,1.884,1.676
2017,1.14,0.009,0.942,0.812,5.858,28.659,11.439,3.957,5.357,4.778,2.765,0.268
2018,0.086,0.415,3.931,7.102,6.964,29.134,37.428,5.331,6.463,4.458,5.262,2.436
2019,0.769,2.557,2.411,3.275,1.02,65.655,33.255,16.692,11.448,12.036,5.849,1.14
2020,1.46,0.009,4.294,3.603,3.367,31.42,50.666,5.486,5.486,2.111,2.881,1.212
2021,1.005,1.987,0.4,5.048,8.985,3.207,4.614,2.191,2.028,5.891,7.221,1.476
2022,1.445,0.061,4.567,1.587,2.525,19.72,12.023,3.76,2.394,4.981,4.283,1.613
2023,0.044,0.0,0.564,0.728,3.346,1.426,28.154,1.334,2.9,1.052,1.273,0.939
