Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.112,0.415,0.147,0.475,0.717,22.576,18.17,11.189,6.782,5.53,0.225,1.166
1981,0.225,0.786,3.18,2.678,3.983,10.161,8.459,8.51,3.439,0.06,0.095,2.411
1982,0.138,1.305,1.097,0.009,0.009,9.66,4.994,13.401,5.849,2.272,0.242,0.017
1983,0.302,3.3,0.458,0.415,2.635,6.817,3.776,14.316,7.206,7.871,1.097,0.052
1984,1.4,0.017,0.009,1.14,0.613,8.64,11.059,18.395,13.746,0.035,0.009,0.017
1985,0.112,1.287,0.052,0.009,0.328,3.56,14.653,13.34,8.398,3.56,0.121,0.009
1986,0.337,0.276,0.423,0.389,3.577,5.4,12.269,10.29,6.134,1.823,3.154,0.492
1987,0.415,0.242,1.814,0.821,0.881,2.013,8.787,5.132,5.875,3.542,4.018,0.225
1988,0.009,0.302,0.017,0.639,0.976,6.117,8.364,6.661,6.566,2.713,4.035,0.009
1989,0.009,0.009,0.294,0.009,2.946,8.683,7.379,11.232,2.92,1.132,0.009,0.026
1990,0.009,3.741,3.465,2.03,4.329,10.178,10.575,14.792,6.938,10.066,3.249,6.497
1991,1.227,0.052,0.009,0.933,0.009,5.365,10.973,12.658,6.031,6.549,1.633,0.233
1992,0.199,0.907,0.009,0.009,1.78,6.618,9.755,10.126,4.847,2.48,0.639,0.009
1993,0.009,0.009,0.804,0.009,1.814,7.906,13.539,13.029,10.092,5.884,0.32,0.009
1994,0.13,0.276,0.009,0.009,2.946,12.839,18.991,15.725,11.18,1.572,0.743,0.009
1995,0.95,0.683,0.009,0.009,8.139,3.076,10.066,17.427,7.327,5.91,9.02,0.009
1996,0.916,0.026,0.017,1.512,0.112,10.351,3.171,6.221,5.149,5.374,1.175,0.043
1997,0.13,0.009,2.523,1.339,0.009,4.009,17.721,15.094,16.433,0.406,0.026,0.181
1998,2.22,1.97,0.994,0.19,3.767,6.506,10.022,12.329,7.439,6.394,7.145,0.009
1999,0.009,0.009,0.009,0.009,0.838,3.162,11.871,10.143,6.048,8.096,0.432,0.009
2000,0.009,1.469,0.026,1.063,1.624,9.124,11.604,10.662,7.361,1.115,0.017,0.009
2001,0.009,0.009,0.009,0.726,0.026,13.928,14.057,7.206,5.279,2.333,6.463,0.009
2002,0.294,0.009,0.009,0.276,0.32,5.175,2.35,13.833,5.702,3.612,0.795,0.009
2003,0.009,0.009,0.009,0.812,0.009,6.722,12.39,16.14,10.368,10.437,0.086,3.516
2004,0.518,0.017,0.009,0.173,1.08,8.372,6.765,22.499,11.75,6.748,0.009,0.009
2005,0.017,0.017,0.354,0.009,0.631,2.125,15.699,7.551,17.608,3.516,0.009,1.132
2006,0.13,0.009,1.331,0.251,1.875,5.875,21.591,18.455,8.804,0.121,0.242,0.009
2007,0.009,0.683,1.529,0.009,2.549,6.67,7.448,18.714,9.971,1.348,0.017,0.009
2008,0.069,0.225,0.009,0.233,1.123,19.276,9.418,13.314,10.524,3.819,0.259,0.009
2009,0.009,0.009,0.052,0.009,1.244,2.894,16.174,9.91,9.115,4.467,0.432,0.009
2010,0.009,0.009,0.009,0.009,2.756,7.318,5.322,5.53,9.461,7.534,0.069,1.685
2011,0.009,1.59,0.009,1.512,7.137,10.359,13.02,8.346,13.686,1.771,0.017,0.095
2012,0.605,0.009,0.017,0.449,2.955,3.456,17.928,7.836,6.808,2.981,1.901,0.657
2013,0.052,0.13,0.086,0.009,0.795,14.567,10.714,10.1,10.964,11.448,0.009,0.017
2014,0.009,0.838,0.631,0.009,0.242,2.877,17.816,5.823,10.1,4.441,0.009,1.071
2015,1.788,0.259,0.354,1.02,0.354,8.104,12.303,9.59,2.298,0.009,0.086,0.657
2016,0.078,0.095,0.795,0.009,2.592,3.188,8.942,14.403,8.027,4.519,0.864,0.009
2017,0.276,0.009,1.685,0.009,0.164,6.903,12.174,5.728,2.92,3.586,1.348,0.112
2018,0.052,0.009,0.009,0.657,1.659,5.754,7.059,7.888,7.163,7.145,0.009,0.562
2019,0.009,0.173,0.32,0.337,1.382,3.948,9.521,10.688,4.916,4.968,2.186,0.199
2020,1.806,1.728,3.482,3.577,2.495,2.925,4.179,17.34,4.774,11.554,0.0,0.0
2021,0.0,0.0,0.0,0.167,6.543,9.366,8.516,6.969,6.286,2.442,1.454,2.794
2022,0.338,0.0,0.011,0.0,3.376,1.32,12.269,12.665,11.127,6.294,0.0,0.0
2023,0.0,0.0,0.724,0.355,0.151,1.961,9.782,2.891,6.232,1.26,0.435,0.009
