Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.674,2.264,2.799,1.564,0.562,0.484,2.255,0.959,0.527,0.838,0.622,1.987
1981,1.754,2.532,5.21,0.968,2.54,1.02,6.212,9.901,0.017,0.397,0.691,0.009
1982,1.849,3.612,4.778,6.895,1.719,1.123,4.527,2.074,2.834,4.484,0.441,2.074
1983,2.756,2.73,2.454,8.165,3.948,4.717,5.59,0.501,1.356,1.564,0.181,0.588
1984,0.907,3.257,1.115,2.272,0.026,1.797,0.579,7.232,2.955,0.043,0.708,1.875
1985,1.78,0.346,0.907,1.305,0.095,3.439,7.344,1.313,0.57,1.227,0.095,2.627
1986,0.06,4.493,4.363,3.041,0.553,2.35,2.039,2.134,0.968,2.436,0.726,1.14
1987,1.063,3.041,2.678,3.404,4.977,1.417,2.713,3.802,0.32,1.21,0.009,0.009
1988,0.691,1.391,3.853,1.65,0.536,4.156,10.48,14.178,2.903,0.035,0.035,1.659
1989,2.722,1.555,4.018,1.642,0.864,3.309,5.072,3.041,0.76,0.009,0.648,0.916
1990,0.052,3.905,3.093,0.225,1.08,1.598,8.83,12.243,3.525,1.875,0.32,2.704
1991,0.181,4.415,3.292,2.359,2.108,0.942,0.372,1.175,1.676,0.104,0.009,1.296
1992,4.32,3.283,2.557,1.201,1.305,0.017,6.437,8.13,0.985,0.251,0.527,0.06
1993,2.678,2.514,4.812,0.743,1.624,0.881,1.469,2.108,6.739,0.009,1.391,0.009
1994,2.134,2.756,1.322,2.074,2.091,0.942,11.707,16.468,3.637,0.622,0.104,1.287
1995,2.851,4.208,2.471,1.486,0.864,4.389,1.987,5.409,0.968,0.683,0.372,1.011
1996,1.797,3.344,3.387,0.164,2.748,4.182,2.255,12.951,2.765,2.169,0.009,0.009
1997,1.477,1.175,2.367,2.436,4.26,2.54,3.56,0.622,1.356,5.054,0.847,1.21
1998,0.708,5.962,3.629,5.227,1.158,2.48,3.862,5.711,4.536,1.227,0.009,0.009
1999,2.817,0.786,1.279,0.665,3.162,0.907,8.208,13.107,3.145,0.052,1.011,0.069
2000,1.702,3.309,1.175,0.683,1.538,3.257,5.227,3.387,2.808,0.009,0.009,0.648
2001,0.899,1.529,5.737,4.035,5.124,5.711,11.051,5.011,1.495,0.009,1.175,0.873
2002,0.95,1.331,3.352,1.901,1.469,1.184,2.514,8.493,2.186,0.596,0.501,0.648
2003,2.514,3.491,2.575,3.05,2.065,1.089,4.329,4.13,2.497,0.009,0.467,1.909
2004,4.432,0.259,0.009,6.385,1.935,2.013,2.644,7.439,0.423,1.797,0.354,1.4
2005,3.3,5.409,2.851,1.521,3.43,0.475,5.072,5.659,1.693,0.009,0.009,0.009
2006,1.909,1.538,3.758,1.184,1.408,2.765,8.061,9.107,5.365,2.894,0.553,1.486
2007,0.009,3.983,4.0,1.693,2.713,4.216,7.102,12.39,3.923,0.009,0.112,1.65
2008,4.061,1.434,0.06,3.275,3.465,5.685,9.867,14.757,1.763,0.406,0.173,0.449
2009,0.743,2.566,1.028,2.989,1.892,1.788,8.096,4.787,2.367,0.06,1.227,0.026
2010,0.683,2.298,0.804,2.056,2.281,6.204,12.442,11.465,5.746,0.769,0.017,1.46
2011,1.348,3.439,1.365,3.24,2.22,2.1,3.931,7.085,5.711,0.804,0.009,0.536
2012,2.177,2.454,1.011,4.596,1.711,0.536,4.346,5.357,4.346,0.086,0.32,1.745
2013,1.279,7.603,3.672,0.924,0.484,1.719,3.871,5.305,1.201,0.337,1.192,0.492
2014,1.253,5.4,5.746,2.376,3.793,0.441,4.285,1.184,3.102,0.06,0.009,1.408
2015,1.797,4.726,7.586,3.81,0.251,2.03,5.124,4.346,0.726,0.38,0.795,0.302
2016,0.397,0.821,2.782,1.547,4.562,2.264,17.755,6.463,0.933,0.009,0.026,0.138
2017,2.644,1.754,1.685,3.447,1.071,3.612,8.139,3.482,3.007,0.009,0.838,0.769
2018,0.544,2.065,3.828,1.477,3.75,1.987,8.787,6.229,3.404,0.501,1.002,1.452
2019,4.26,6.765,2.644,2.056,3.335,1.08,7.508,14.178,3.724,2.022,1.676,1.633
2020,5.4,2.264,4.614,4.406,6.418,6.667,7.773,8.58,0.576,0.0,0.684,1.092
2021,1.364,1.506,2.114,2.987,0.504,0.24,3.092,0.842,0.112,0.469,0.283,1.144
2022,5.611,2.859,0.039,1.379,1.768,3.861,3.167,0.704,2.337,1.249,1.015,0.091
2023,2.748,0.952,2.68,3.612,5.277,3.907,5.495,0.276,0.277,0.994,1.266,0.032
