Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.458,1.011,1.702,0.009,0.596,0.959,5.037,3.992,0.942,0.06,0.009,1.849
1981,1.348,0.752,3.128,0.104,1.028,2.428,6.247,5.34,1.996,0.009,0.389,0.026
1982,3.646,1.642,3.007,3.076,4.285,1.495,4.363,2.48,0.147,2.082,0.009,1.071
1983,2.566,0.691,1.244,5.365,2.488,1.149,3.257,2.722,6.48,0.423,0.009,1.097
1984,0.251,3.154,1.002,1.261,0.009,0.631,2.618,8.813,2.376,0.009,0.009,0.527
1985,0.32,0.009,0.743,0.829,0.181,0.881,14.61,5.46,5.288,1.054,0.009,0.855
1986,0.536,2.143,2.661,1.979,0.242,1.14,4.916,10.308,0.726,1.443,0.337,1.322
1987,0.899,2.436,0.838,1.123,4.164,0.095,2.955,6.756,1.192,0.994,0.009,0.009
1988,0.302,1.08,3.223,0.51,0.026,1.711,13.193,12.061,1.607,0.009,0.009,0.985
1989,2.134,0.363,1.495,0.06,0.432,2.004,5.486,3.914,1.002,0.009,0.492,1.08
1990,0.009,4.337,1.27,0.026,0.346,0.38,18.274,18.412,6.843,0.147,0.095,2.29
1991,0.026,2.307,3.698,0.605,0.717,1.356,0.717,2.22,4.648,0.009,0.156,1.884
1992,1.054,1.115,0.769,0.259,0.588,0.302,9.979,11.543,2.013,0.009,0.639,0.009
1993,1.633,1.866,2.704,0.181,1.002,0.052,5.27,1.858,5.772,0.009,0.009,0.009
1994,2.497,2.281,0.009,0.743,1.322,0.57,15.206,13.98,2.549,0.009,0.009,0.009
1995,3.257,2.16,1.408,0.009,0.009,2.739,5.201,7.059,1.158,0.009,0.009,0.147
1996,1.374,3.983,0.639,0.484,1.037,3.689,3.551,17.358,6.333,0.285,0.009,0.009
1997,1.227,0.527,0.683,1.521,2.549,1.054,5.115,6.117,2.972,1.313,0.873,2.307
1998,0.441,4.061,2.687,2.091,0.924,2.955,12.934,12.424,4.933,0.06,0.009,0.086
1999,1.624,0.086,0.173,0.009,1.702,3.119,7.24,10.29,5.149,1.132,0.009,0.069
2000,0.976,1.452,0.804,0.38,0.423,4.458,4.614,5.011,3.646,0.009,0.009,0.207
2001,0.579,0.752,3.499,0.847,2.454,3.352,8.571,4.761,0.743,0.596,0.276,0.009
2002,1.503,4.32,2.402,0.657,0.717,0.337,3.05,10.359,4.83,0.13,0.026,0.199
2003,2.134,2.843,0.994,1.261,0.432,0.76,9.487,6.748,5.167,0.009,0.121,1.944
2004,3.11,0.017,0.009,2.229,0.829,4.225,8.58,8.459,2.748,0.691,0.009,0.078
2005,2.86,2.791,1.693,0.648,1.892,1.555,15.569,6.903,7.154,0.009,0.009,0.311
2006,0.639,0.527,4.337,0.838,2.73,4.19,9.858,7.949,2.998,1.84,0.268,0.562
2007,0.009,3.603,4.415,0.337,1.598,7.767,11.007,13.236,2.376,0.009,0.009,0.397
2008,1.236,1.322,0.086,1.633,1.477,13.53,20.252,11.854,3.974,1.659,0.009,0.009
2009,0.069,1.572,0.786,2.402,2.091,0.406,11.932,10.169,2.894,0.156,0.708,0.164
2010,0.285,1.529,0.527,2.29,1.166,4.726,13.211,8.752,9.4,0.069,0.337,1.391
2011,0.916,2.765,0.985,2.393,1.642,2.082,14.887,20.39,5.469,0.06,0.009,0.397
2012,2.143,2.324,1.02,1.763,1.14,0.89,4.476,12.096,4.873,0.009,0.009,0.527
2013,3.309,8.683,1.78,0.19,0.458,3.689,4.329,9.366,2.549,0.181,0.605,0.899
2014,2.532,5.797,2.1,1.512,3.335,1.002,5.642,1.814,1.797,0.164,0.009,2.1
2015,0.873,3.223,8.018,3.128,0.156,0.363,9.081,9.331,0.579,0.017,0.311,0.009
2016,0.043,0.372,1.884,0.795,3.948,9.15,16.347,6.515,1.175,0.276,0.009,0.199
2017,2.385,0.449,1.313,2.065,2.065,3.084,8.951,9.763,3.75,0.009,0.164,0.674
2018,0.527,2.48,2.843,0.674,1.486,2.748,14.36,6.895,7.404,0.009,0.225,0.674
2019,2.609,7.845,0.838,2.748,3.041,0.57,11.163,9.487,5.106,0.527,0.415,1.244
2020,3.041,1.633,2.316,0.76,0.273,1.459,5.364,2.982,0.051,0.0,0.771,0.428
2021,1.302,2.046,4.035,3.992,2.939,0.351,4.103,0.46,0.248,0.341,0.017,1.723
2022,4.479,2.109,0.354,1.536,2.007,2.707,9.933,4.349,6.263,3.607,0.085,0.0
2023,2.581,0.112,3.776,4.061,6.094,4.215,11.34,3.915,0.977,0.457,1.633,1.174
