Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.009,0.009,0.19,0.009,1.564,3.231,6.653,4.268,1.063,0.112,0.009,0.518
1981,0.009,0.009,0.276,0.009,0.899,0.985,12.744,5.08,0.406,0.199,0.294,0.009
1982,1.702,1.011,1.063,4.752,5.685,1.884,7.249,6.782,0.078,0.717,0.035,0.441
1983,1.927,0.009,0.181,2.644,6.696,1.728,5.452,7.923,3.905,0.078,0.009,0.207
1984,0.294,1.201,0.009,1.21,0.009,0.095,6.687,7.802,5.547,0.009,0.009,0.009
1985,0.104,0.009,0.181,0.328,0.069,7.24,8.165,5.106,1.054,1.538,0.009,0.173
1986,0.657,1.331,0.294,0.052,0.804,1.089,6.299,3.879,0.052,0.009,0.009,0.017
1987,0.829,0.009,0.743,0.467,5.201,1.797,4.64,2.212,0.009,0.38,0.009,0.009
1988,0.51,0.009,0.838,0.13,0.104,1.892,1.849,4.648,1.788,0.009,0.009,0.518
1989,0.181,0.009,0.302,0.009,0.078,1.391,2.411,3.879,0.51,0.009,0.009,0.009
1990,0.009,0.449,0.009,0.009,0.164,0.726,6.964,5.417,3.059,0.009,0.32,0.095
1991,0.009,0.268,0.009,0.069,0.13,5.374,0.544,5.521,1.382,0.009,0.009,0.009
1992,0.475,0.276,0.294,0.009,0.268,0.734,7.111,4.553,1.927,0.009,0.009,0.009
1993,0.009,0.475,0.19,0.432,0.121,1.771,8.83,1.564,4.242,0.009,0.009,0.009
1994,1.728,0.752,0.009,0.009,0.415,1.521,9.608,4.044,2.16,0.009,0.009,0.009
1995,1.339,0.838,0.138,0.009,0.009,1.097,6.411,7.811,3.084,0.009,0.009,0.009
1996,0.743,1.702,0.009,0.613,0.778,4.087,5.314,4.372,3.888,0.579,0.009,0.009
1997,0.354,0.009,0.086,1.503,2.074,6.869,10.653,11.102,1.037,2.583,0.648,2.765
1998,0.009,0.683,0.76,0.57,0.009,1.702,9.115,4.873,1.555,0.311,0.009,0.009
1999,0.51,0.406,0.009,0.009,1.175,1.996,8.7,2.281,3.283,0.536,0.009,0.009
2000,0.069,0.683,0.112,0.052,0.052,0.778,4.38,3.05,0.89,0.009,0.009,0.086
2001,0.156,0.199,0.164,0.786,4.182,2.428,5.244,2.082,0.19,1.115,0.009,0.009
2002,0.613,1.607,0.13,0.121,1.521,0.674,1.935,5.296,0.734,0.009,0.009,0.086
2003,0.743,0.985,0.009,0.009,0.631,0.527,8.588,5.668,3.007,0.009,0.009,0.631
2004,0.933,0.009,0.009,0.475,0.276,2.566,2.385,8.355,0.112,0.51,0.009,0.009
2005,0.164,0.095,2.748,0.907,2.246,0.855,14.135,0.544,5.27,0.009,0.009,0.009
2006,0.017,0.259,3.067,0.078,1.529,2.22,9.305,4.795,3.594,0.89,0.086,0.415
2007,0.009,5.27,1.849,0.121,1.46,2.108,8.027,5.391,3.326,0.009,0.009,0.043
2008,0.043,0.009,0.415,1.771,1.555,5.642,7.525,4.735,2.938,0.009,0.009,0.009
2009,0.009,0.164,0.691,0.423,1.598,0.009,7.629,4.139,3.136,0.285,0.225,0.009
2010,0.181,0.864,0.285,0.086,0.544,1.253,4.968,3.024,5.599,0.009,1.4,0.233
2011,0.009,1.028,0.156,1.953,1.434,3.136,10.04,11.578,2.264,0.009,0.009,0.009
2012,0.216,0.069,0.294,2.73,0.536,0.829,4.044,3.119,0.752,0.009,0.009,0.009
2013,1.382,6.169,0.009,0.942,0.009,2.67,2.903,4.035,2.272,0.009,0.613,0.069
2014,1.935,2.609,1.979,1.374,1.547,0.276,2.333,3.689,2.341,0.009,0.009,1.46
2015,0.406,1.46,4.83,1.512,0.009,0.605,5.547,2.436,0.57,0.302,0.009,0.009
2016,0.009,0.009,2.212,0.112,0.432,3.931,6.221,9.642,0.225,0.017,0.009,0.009
2017,0.769,0.009,0.009,0.138,0.881,2.307,4.864,1.84,1.797,0.009,0.009,0.337
2018,0.035,0.847,0.225,0.095,0.475,0.769,2.134,2.411,5.331,0.009,0.009,0.838
2019,1.486,0.501,0.121,3.551,2.359,0.086,7.068,8.13,1.858,0.207,0.475,0.475
2020,1.261,0.181,3.093,0.397,0.002,0.625,2.132,4.194,0.36,0.0,0.154,0.0
2021,1.451,0.359,0.964,0.198,3.153,4.205,3.806,0.265,4.375,0.445,0.317,0.306
2022,2.323,0.0,0.077,0.338,1.286,1.965,14.3,6.812,4.496,4.136,0.0,0.0
2023,0.473,0.0,1.512,0.356,3.646,5.915,10.935,6.715,4.111,0.429,0.529,0.0
