Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.199,0.873,1.063,2.877,14.913,5.106,9.158,8.027,8.346,2.868,0.009,0.009
1981,0.156,0.778,4.622,5.711,11.716,11.526,5.193,9.262,8.856,0.855,0.035,1.192
1982,0.06,0.251,1.806,8.364,3.992,7.258,6.445,6.731,6.782,0.285,0.302,0.086
1983,0.104,0.838,1.668,9.763,11.137,9.374,17.781,11.241,10.169,4.562,0.518,1.244
1984,0.311,0.086,0.207,2.532,12.329,16.917,12.07,7.188,8.199,1.08,0.017,0.423
1985,0.035,0.847,2.013,2.436,5.478,8.934,12.044,9.132,8.925,2.177,0.017,0.181
1986,0.017,0.009,0.492,8.122,3.923,7.353,6.48,10.117,8.813,5.193,0.268,0.259
1987,0.121,0.648,1.754,6.186,5.193,15.638,8.519,10.912,10.852,1.4,0.026,0.017
1988,0.009,1.849,1.486,7.05,7.474,15.794,14.671,12.286,10.351,7.664,3.966,0.052
1989,0.069,0.181,0.026,1.598,7.741,13.409,10.472,5.625,9.91,10.973,0.121,0.069
1990,0.441,0.553,4.743,4.424,7.525,9.089,6.852,3.18,5.124,3.551,0.017,0.51
1991,0.769,1.071,1.918,2.402,8.268,18.913,10.869,5.469,8.821,2.722,0.017,0.363
1992,0.104,0.596,0.052,0.242,5.651,10.273,10.437,5.581,9.737,5.988,0.441,1.512
1993,0.354,1.892,3.223,5.478,13.85,17.332,13.798,10.981,14.878,2.333,0.017,0.017
1994,0.311,0.035,4.121,3.318,7.871,13.634,4.069,6.35,4.45,2.022,0.017,0.009
1995,0.009,0.95,0.268,2.186,4.044,14.705,9.996,8.657,9.323,1.089,1.089,0.009
1996,0.207,0.536,1.676,1.858,3.102,11.69,6.368,7.629,11.025,4.087,0.043,0.009
1997,0.242,0.147,1.823,7.076,6.834,7.396,9.53,10.93,10.532,0.078,0.389,0.078
1998,0.173,0.017,3.007,7.223,3.724,8.882,11.431,13.064,7.888,5.391,1.236,0.328
1999,0.009,0.009,0.009,1.253,17.859,11.949,11.906,7.897,2.661,5.08,0.812,0.302
2000,0.95,0.294,0.924,3.223,10.705,14.783,2.955,6.402,6.558,0.847,0.017,0.009
2001,0.009,0.009,0.406,0.458,12.632,17.781,8.294,3.819,8.027,3.335,0.043,0.009
2002,0.009,0.009,1.555,3.56,14.057,12.286,12.139,4.7,10.1,1.832,1.089,0.017
2003,0.017,0.147,0.778,2.678,2.411,23.034,9.867,8.355,5.046,3.024,0.009,0.069
2004,0.138,0.009,0.009,5.694,8.588,7.819,17.159,9.53,8.545,1.918,0.017,0.078
2005,0.009,0.009,5.685,0.691,2.557,17.755,8.303,7.448,6.238,3.154,0.009,0.026
2006,0.009,0.233,0.009,1.253,13.608,13.003,5.616,7.007,4.355,0.821,0.302,0.009
2007,0.009,1.287,0.112,2.272,8.148,16.416,13.738,7.042,8.631,5.867,1.693,0.017
2008,0.596,0.311,0.726,0.812,8.968,11.854,10.973,7.18,6.108,6.152,0.017,0.216
2009,0.009,0.009,2.652,2.22,6.212,11.647,12.58,9.815,5.219,3.957,0.017,0.017
2010,0.017,0.009,0.968,6.515,5.884,18.827,11.223,6.722,6.765,8.096,0.276,0.156
2011,0.017,0.156,5.927,6.083,11.206,10.342,11.37,15.777,8.104,4.527,0.639,0.164
2012,0.346,0.32,0.009,7.059,5.711,26.326,22.17,15.552,16.442,8.381,0.346,0.147
2013,0.009,0.7,1.987,7.966,20.952,27.276,22.196,24.486,25.125,15.042,0.363,0.492
2014,0.104,0.251,3.637,4.087,12.364,30.853,10.714,12.614,11.344,4.285,0.121,0.035
2015,0.985,0.06,0.527,7.733,3.396,10.714,18.369,9.573,16.433,8.07,0.328,0.337
2016,0.302,0.596,2.022,9.236,14.178,17.954,17.228,9.383,12.303,6.549,0.752,0.276
2017,0.51,0.086,3.162,14.628,14.645,25.073,15.224,13.28,16.252,10.532,0.57,0.501
2018,0.035,1.071,2.272,9.495,12.113,22.395,11.915,10.109,13.841,0.881,0.095,0.778
2019,0.009,1.512,3.499,6.169,8.856,15.863,11.837,8.865,9.124,7.551,1.089,0.579
2020,0.536,0.985,1.365,9.21,9.649,15.33,22.86,19.058,16.033,10.697,0.683,0.086
2021,0.005,0.0,0.375,1.404,12.235,13.446,19.056,12.721,10.151,4.498,0.023,1.014
2022,0.008,1.919,0.964,7.241,14.205,17.069,6.388,5.272,4.328,3.943,0.004,0.005
2023,0.004,0.0,4.569,0.894,3.494,14.717,12.028,17.638,13.211,5.127,1.392,0.764
