Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.009,0.017,2.48,0.009,0.259,28.218,12.347,16.252,2.843,0.276,2.195,0.389
1981,0.492,0.009,0.052,0.009,1.14,8.027,29.73,13.271,5.806,3.171,2.186,1.728
1982,0.009,0.009,0.009,0.009,1.426,24.667,39.675,13.401,5.754,2.186,1.192,0.009
1983,0.009,0.009,0.009,0.009,0.009,20.01,65.431,12.83,5.21,0.639,0.562,1.434
1984,0.276,0.838,0.726,0.492,0.009,11.742,21.453,4.467,3.084,1.184,1.901,0.605
1985,1.054,0.009,0.009,0.009,0.527,7.629,19.855,5.426,3.136,3.033,0.009,0.458
1986,0.017,0.683,0.009,0.009,0.596,22.948,9.547,6.756,1.426,1.071,2.255,1.598
1987,0.009,0.009,0.009,0.009,0.009,54.804,22.706,14.705,4.026,2.186,2.16,1.763
1988,0.009,0.009,0.009,1.158,0.579,27.19,46.63,7.949,7.43,0.199,0.423,0.009
1989,0.009,0.009,0.147,0.009,0.121,18.032,9.219,8.536,2.929,0.994,0.726,0.432
1990,0.009,0.009,0.009,0.009,3.931,5.219,8.744,9.547,8.009,2.411,2.402,0.009
1991,0.009,0.009,0.009,0.752,0.009,8.052,16.546,10.394,3.387,0.268,0.778,0.009
1992,0.009,0.009,0.009,0.026,0.009,6.281,12.036,8.925,5.728,2.652,3.223,0.009
1993,0.009,0.009,0.009,0.009,0.026,6.981,14.532,4.501,2.868,3.015,0.708,0.389
1994,0.017,0.009,0.009,0.363,0.181,11.31,10.748,5.201,2.713,2.661,1.261,0.009
1995,2.411,0.009,0.017,0.009,0.588,1.486,28.529,5.59,3.836,2.912,0.302,0.009
1996,0.009,0.009,0.009,1.063,0.009,12.312,10.99,10.247,4.199,5.167,0.009,1.028
1997,0.354,0.009,0.881,1.521,1.02,27.881,11.932,16.165,4.441,0.631,3.128,0.812
1998,0.009,0.009,0.009,0.009,0.346,7.309,12.182,7.482,6.333,4.562,1.02,0.009
1999,0.009,0.147,0.009,0.009,0.786,7.154,21.133,5.668,2.696,3.992,0.156,0.017
2000,0.009,0.009,0.009,0.009,2.609,9.85,9.081,6.895,2.212,2.048,0.009,0.095
2001,0.121,0.009,0.009,0.804,8.951,11.12,8.977,7.551,1.02,5.504,0.933,0.009
2002,0.017,0.009,0.009,0.009,0.847,19.492,5.452,9.202,2.514,1.858,0.518,0.009
2003,0.009,0.009,0.095,0.035,0.009,27.994,14.256,5.348,2.177,1.849,0.017,0.164
2004,0.225,0.017,0.009,0.009,1.754,24.356,10.912,10.195,4.208,1.115,1.452,0.009
2005,1.503,0.691,0.009,0.009,2.393,40.185,11.517,7.102,7.75,4.372,0.009,0.121
2006,0.009,0.009,0.924,0.009,2.713,18.481,13.055,9.089,5.884,3.499,0.942,0.009
2007,0.009,0.009,0.009,0.156,0.009,27.683,4.536,7.033,5.357,0.086,0.181,0.043
2008,0.009,0.89,3.862,0.009,0.009,45.472,8.329,8.675,5.728,1.331,2.454,0.225
2009,0.009,0.009,1.218,1.78,0.147,5.046,14.031,5.27,4.933,2.125,1.339,0.104
2010,0.363,0.112,0.052,0.441,0.035,17.669,24.702,10.964,5.374,3.862,5.132,0.441
2011,0.043,5.469,0.052,1.78,1.737,38.543,14.377,8.605,4.156,1.944,0.009,0.009
2012,0.017,0.009,0.009,0.009,0.829,6.8,10.031,6.687,4.743,3.732,0.38,0.112
2013,0.009,0.017,0.017,0.536,1.452,12.286,13.236,6.679,3.94,3.802,1.59,0.026
2014,0.026,1.806,3.784,2.601,4.596,16.537,11.232,5.34,4.0,2.324,0.389,0.553
2015,0.449,0.207,3.015,2.877,5.149,54.484,10.765,7.102,4.942,4.726,1.123,0.017
2016,0.009,0.009,0.13,0.009,1.279,28.814,21.168,5.702,5.193,1.158,0.009,0.51
2017,0.449,0.009,0.009,0.009,1.115,22.991,13.211,3.974,4.562,1.227,0.009,0.164
2018,0.009,0.009,0.009,2.998,0.009,10.1,22.931,7.093,3.24,0.242,0.017,0.009
2019,0.017,0.078,0.657,1.071,0.009,26.646,12.2,7.94,9.469,7.068,2.497,1.253
2020,0.795,0.285,1.365,0.009,1.323,16.765,51.118,9.414,14.935,11.666,1.64,0.158
2021,1.441,4.512,4.073,2.483,5.711,7.298,8.624,6.836,4.674,4.748,3.879,2.215
2022,0.008,0.112,0.493,0.282,0.0,5.03,11.726,8.348,4.149,3.225,0.709,0.442
2023,0.168,0.0,0.85,0.0,0.0,25.521,30.043,3.512,4.071,0.222,0.687,0.0
