Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.294,0.026,0.484,0.009,0.19,9.677,5.219,13.375,2.808,0.268,0.916,1.356
1981,2.981,0.009,1.21,0.095,1.927,4.968,11.69,10.308,8.657,1.348,0.009,0.009
1982,0.009,0.009,0.855,0.51,0.708,5.253,6.42,2.367,5.054,0.648,0.544,0.009
1983,0.009,0.294,0.009,0.285,1.106,4.044,26.827,3.888,7.085,1.434,0.199,0.821
1984,1.02,2.125,0.009,0.225,0.009,3.724,4.847,2.004,4.752,1.244,0.017,0.57
1985,0.994,0.009,0.069,0.432,0.389,1.719,6.843,6.013,2.514,1.961,0.009,0.285
1986,2.678,0.812,0.009,0.164,1.201,3.992,4.985,3.033,1.443,0.804,0.354,0.804
1987,1.4,0.009,0.562,0.268,0.432,8.303,7.119,6.048,1.4,1.763,2.065,0.052
1988,0.009,0.009,0.017,1.244,1.693,3.663,5.832,4.605,4.942,1.166,0.674,0.009
1989,0.017,0.009,1.892,0.009,0.855,4.795,2.436,4.484,2.316,0.7,0.009,0.829
1990,0.009,0.009,0.009,0.363,5.409,4.596,2.16,5.34,3.741,2.091,0.035,0.017
1991,0.017,0.086,0.009,0.449,0.052,4.977,3.689,3.819,2.212,0.38,2.255,0.043
1992,0.009,0.009,0.052,0.009,0.717,2.86,3.905,4.553,2.402,1.616,1.823,0.009
1993,0.009,0.009,0.285,0.354,0.268,1.961,4.303,3.413,4.406,1.27,0.492,0.259
1994,0.104,0.017,0.009,0.32,0.259,6.212,2.557,2.471,2.255,1.771,1.581,0.009
1995,1.495,0.009,0.544,0.009,0.363,1.452,11.059,5.132,3.3,5.365,0.328,0.009
1996,0.009,0.19,0.544,0.009,0.009,4.363,4.804,5.694,3.715,3.162,0.622,0.009
1997,0.207,0.009,2.652,2.756,1.771,28.158,10.394,4.311,6.523,0.475,0.173,0.821
1998,0.251,0.337,0.052,0.009,0.518,2.125,7.672,4.692,5.841,3.715,1.002,0.009
1999,0.009,0.009,0.009,0.009,1.365,4.942,9.202,4.164,2.799,2.618,0.052,0.138
2000,0.009,1.719,0.009,0.207,3.853,4.614,5.944,5.581,2.359,0.009,0.009,0.017
2001,0.613,0.009,0.778,0.259,2.229,6.86,4.009,5.676,1.918,2.488,0.415,0.009
2002,0.181,0.009,0.009,0.017,0.907,2.929,4.674,7.767,1.503,1.201,0.009,0.009
2003,0.009,0.009,0.009,0.06,0.009,4.761,6.549,6.54,4.458,3.845,0.112,0.302
2004,1.123,0.009,0.009,0.147,0.665,12.977,7.862,4.32,4.38,1.642,0.173,0.009
2005,1.192,0.449,0.562,0.009,1.979,14.99,9.564,2.627,5.486,4.355,0.017,0.009
2006,0.009,0.009,1.037,0.881,2.186,8.735,6.791,2.22,4.501,1.711,1.071,0.009
2007,0.009,0.873,0.009,1.322,0.009,11.189,2.151,5.556,6.506,0.035,0.553,0.009
2008,0.009,0.51,1.935,0.441,0.052,1.676,5.27,10.584,4.337,0.613,0.968,0.009
2009,0.009,0.009,1.331,0.259,0.838,4.355,8.268,5.46,2.67,2.402,0.052,0.017
2010,0.017,1.296,0.052,0.086,0.017,4.329,8.381,9.806,6.316,2.229,3.62,0.544
2011,0.009,0.164,0.078,1.348,1.417,9.66,6.644,7.975,6.869,0.786,0.009,0.017
2012,1.322,0.009,0.009,0.233,0.009,2.601,6.445,8.018,5.4,0.804,1.65,0.104
2013,0.009,0.242,0.397,1.685,0.639,14.956,15.828,8.821,4.761,5.607,1.287,0.942
2014,0.009,0.613,1.901,1.996,4.588,1.918,6.445,5.314,2.514,0.311,0.009,0.199
2015,0.328,0.009,0.337,1.944,4.882,8.035,6.549,9.487,2.67,0.553,0.518,0.009
2016,0.035,0.251,0.346,0.562,0.985,9.746,8.562,2.722,6.808,1.305,0.009,0.009
2017,0.009,0.009,0.337,0.009,0.518,12.252,8.389,4.769,1.814,2.514,0.009,0.009
2018,0.009,0.009,0.009,2.514,1.175,10.93,7.068,3.309,0.579,0.009,0.009,0.242
2019,1.21,0.449,0.147,2.989,0.009,2.004,10.264,7.439,7.154,5.357,0.311,0.009
2020,0.985,4.139,2.765,2.566,0.632,9.691,6.898,6.909,7.989,2.888,0.926,0.0
2021,0.0,1.209,0.0,0.0,5.58,6.561,6.924,7.735,9.425,0.979,0.52,0.601
2022,0.72,0.001,0.523,0.001,2.254,4.007,8.718,6.309,4.816,3.51,0.0,0.821
2023,0.009,0.0,0.895,1.229,1.222,9.167,6.758,2.589,2.149,0.094,0.0,1.341
