Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.009,0.009,0.009,0.035,0.009,5.633,13.815,1.944,1.339,0.389,0.009,2.73
1981,0.086,0.009,0.104,0.242,1.149,2.48,5.149,5.201,3.724,0.06,0.173,0.225
1982,0.942,0.372,0.346,0.795,4.38,1.953,2.298,5.288,0.216,0.251,0.251,0.242
1983,0.346,0.009,0.009,0.233,0.924,0.613,5.806,5.227,2.35,0.631,0.009,0.009
1984,0.086,0.009,0.009,0.009,0.32,1.21,6.057,5.633,0.821,0.009,0.009,0.009
1985,0.009,0.009,0.708,0.06,0.009,1.184,3.534,4.389,0.095,1.97,0.009,0.104
1986,0.147,3.067,0.009,0.009,1.529,0.752,4.199,1.927,0.009,0.009,0.009,0.009
1987,0.605,0.467,0.009,0.009,0.674,0.57,2.868,6.558,0.009,0.821,0.009,1.02
1988,0.009,0.009,0.009,0.259,0.199,1.46,3.326,3.482,3.456,0.009,0.009,0.009
1989,0.009,0.009,0.104,0.009,0.009,0.855,2.704,4.847,0.233,0.009,0.009,0.009
1990,0.009,0.294,0.009,0.009,1.633,0.415,2.566,8.821,4.735,0.121,0.009,0.147
1991,0.009,0.121,0.009,0.838,0.009,0.778,5.037,1.737,0.069,0.009,0.009,0.009
1992,0.009,0.009,0.164,0.009,0.242,2.004,6.204,6.238,1.659,0.57,0.717,0.009
1993,0.009,0.009,0.397,0.009,0.078,1.287,5.625,0.804,2.566,0.009,0.017,0.009
1994,0.164,0.009,0.009,0.009,0.276,4.398,6.54,6.091,6.722,0.009,0.009,0.009
1995,3.171,0.009,0.104,0.009,0.009,0.553,3.413,3.966,1.788,0.406,0.009,0.89
1996,0.009,0.009,0.104,0.104,1.08,1.27,5.106,3.326,2.039,0.441,0.009,0.009
1997,0.009,0.009,0.009,2.488,0.354,3.387,6.739,7.335,0.674,2.316,1.495,0.743
1998,0.009,0.216,2.255,0.458,0.009,1.106,2.566,3.007,7.94,1.08,0.009,0.009
1999,0.009,1.244,0.009,0.009,0.933,0.76,4.069,0.233,0.674,1.763,0.009,0.009
2000,0.009,0.009,0.009,0.406,0.674,0.89,4.735,1.875,0.38,0.009,0.009,0.069
2001,0.009,0.009,0.233,0.639,0.328,1.538,4.683,1.633,0.009,1.46,0.009,0.009
2002,0.009,1.961,0.009,0.009,0.199,4.778,0.812,3.154,2.402,0.009,0.32,0.009
2003,0.009,0.13,0.009,0.06,0.052,1.21,5.668,3.421,3.404,0.009,0.009,0.009
2004,0.207,0.009,0.009,0.06,0.009,1.814,1.305,7.024,0.415,2.799,0.009,0.009
2005,0.052,0.009,0.121,0.968,0.415,1.166,8.027,3.516,6.782,0.009,0.009,0.009
2006,0.009,0.009,1.08,0.009,0.639,1.529,10.403,12.597,3.378,0.052,0.009,0.026
2007,0.009,0.458,0.043,0.095,0.009,7.69,7.776,8.173,3.11,0.009,0.009,0.009
2008,0.009,0.009,0.13,1.054,0.562,1.503,5.357,7.474,4.812,0.009,0.432,0.009
2009,0.035,0.009,2.35,0.009,2.125,0.95,8.588,3.456,0.605,1.745,0.423,0.009
2010,0.009,0.19,0.017,0.173,0.7,0.51,4.052,5.003,2.938,0.078,3.387,0.406
2011,0.009,0.009,0.009,0.994,1.115,1.823,5.746,7.119,4.415,0.009,0.009,0.009
2012,0.285,0.009,0.009,1.996,1.21,0.899,3.81,9.755,4.847,0.009,0.009,0.009
2013,0.043,1.624,0.302,0.121,0.017,5.91,13.072,9.651,7.655,2.756,0.147,0.017
2014,1.322,1.408,1.728,0.302,1.78,0.354,8.199,1.823,6.661,0.009,0.009,0.251
2015,0.354,0.864,1.089,2.601,0.916,3.966,6.247,2.169,2.834,0.225,0.009,0.009
2016,0.009,0.009,0.769,0.009,0.095,2.1,1.555,9.685,0.389,1.547,0.009,0.009
2017,0.009,0.009,0.838,0.009,1.02,2.48,7.741,3.888,0.432,0.009,0.009,0.415
2018,0.009,0.009,0.311,1.46,0.086,3.318,2.445,3.629,1.529,0.009,0.009,0.009
2019,0.104,0.009,0.009,0.691,0.527,0.864,5.098,6.852,5.175,1.097,0.449,0.138
2020,0.026,0.009,0.121,0.009,0.456,0.862,2.364,5.778,0.0,0.003,0.0,0.06
2021,0.229,0.0,0.46,0.308,2.917,2.145,6.296,0.812,8.774,0.053,0.002,0.699
2022,0.354,0.0,0.0,0.137,0.13,0.915,6.061,5.327,1.631,2.309,0.0,0.0
2023,1.22,0.0,0.311,0.0,0.589,4.551,4.437,0.172,4.691,0.0,0.1,0.0
