Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.035,0.009,0.009,0.009,0.009,2.981,4.285,5.633,1.642,0.009,1.4,1.184
1981,0.864,0.009,0.173,0.009,0.259,3.586,7.56,5.979,4.32,1.348,0.095,1.037
1982,1.555,0.078,0.19,0.035,0.838,1.788,5.452,5.996,2.013,0.328,0.976,0.009
1983,0.06,0.009,0.009,0.009,0.009,2.125,5.357,4.363,4.605,1.158,0.009,0.009
1984,0.406,0.078,0.009,0.009,0.009,1.685,4.13,4.432,3.05,0.009,0.009,0.009
1985,0.009,0.009,0.933,0.726,0.009,1.555,5.02,4.19,1.633,1.322,0.009,0.009
1986,0.009,1.685,0.009,0.009,0.311,2.618,3.162,4.7,0.812,0.06,0.009,2.592
1987,0.285,0.683,0.009,0.009,0.233,1.875,3.698,7.404,0.596,0.631,2.177,1.59
1988,0.009,0.009,0.009,0.009,0.156,1.832,10.014,3.767,5.063,0.337,0.181,0.009
1989,0.009,0.009,1.996,0.009,0.009,5.59,6.558,4.994,2.229,0.009,0.009,0.069
1990,0.372,0.009,0.009,0.009,0.19,4.545,4.044,4.752,3.318,3.223,0.009,0.009
1991,0.009,0.009,0.009,0.786,0.112,5.988,6.515,2.67,0.708,0.009,0.259,0.009
1992,0.009,0.009,0.009,0.009,0.009,1.909,5.124,5.867,1.858,0.164,0.691,0.009
1993,0.009,0.009,0.009,0.216,0.043,1.607,5.91,5.409,4.527,1.348,1.028,0.484
1994,0.009,0.009,0.009,0.009,0.354,3.326,7.551,3.888,2.48,0.294,0.009,0.009
1995,0.821,0.009,0.199,0.009,0.009,1.555,5.132,2.333,1.719,1.201,0.492,0.009
1996,0.009,0.009,0.009,0.009,0.078,3.594,6.636,4.692,2.955,2.022,0.199,0.009
1997,0.009,0.009,0.112,0.622,0.311,20.157,5.918,6.117,2.877,0.942,0.544,2.22
1998,0.484,0.009,0.009,0.009,0.043,2.238,5.659,4.726,4.337,2.73,0.406,0.009
1999,0.017,0.181,0.009,0.009,1.002,3.62,5.797,3.594,3.629,2.402,0.009,0.009
2000,0.009,0.009,0.009,0.009,1.529,3.033,3.551,4.018,1.054,0.009,0.009,0.086
2001,0.009,0.009,0.181,0.009,1.806,6.454,6.722,3.879,0.017,1.391,0.009,0.009
2002,0.009,0.06,0.009,0.285,0.069,5.02,4.234,6.653,1.296,0.009,0.009,0.009
2003,0.009,0.078,0.009,0.112,0.009,2.601,7.681,3.672,4.251,0.441,0.009,0.009
2004,0.19,0.009,0.009,0.009,0.017,5.616,6.333,7.802,3.905,2.696,0.009,0.009
2005,0.354,0.009,0.51,0.009,0.009,24.468,5.772,3.828,6.644,0.812,0.009,0.009
2006,0.009,0.009,1.4,0.009,1.149,8.415,12.174,6.506,4.968,1.192,0.492,0.009
2007,0.009,0.009,0.009,0.009,0.009,8.744,4.622,5.262,4.795,0.009,0.873,0.009
2008,0.009,0.009,0.009,0.631,0.052,3.413,4.571,7.439,4.398,0.415,1.953,0.588
2009,0.009,0.009,0.596,0.104,0.009,1.996,10.679,3.732,2.946,0.855,0.994,0.121
2010,0.009,1.123,0.121,0.009,0.009,0.907,11.12,8.484,4.311,2.436,2.488,0.017
2011,0.009,0.026,0.009,0.242,0.112,8.225,7.595,10.947,8.001,2.333,0.009,0.009
2012,0.009,0.009,0.009,0.009,0.009,3.931,4.614,8.7,10.178,1.313,0.985,0.009
2013,0.009,0.017,0.268,0.009,0.104,8.441,13.435,7.258,4.061,3.568,1.616,0.017
2014,0.933,0.544,1.339,0.199,0.562,22.032,4.467,6.307,2.125,0.985,0.017,0.009
2015,0.121,0.035,0.665,3.715,0.259,10.809,6.402,5.599,1.4,0.009,0.06,0.009
2016,0.026,0.086,2.29,0.009,0.009,7.603,9.78,8.26,4.225,2.86,0.009,0.009
2017,0.009,0.009,0.009,0.009,0.907,7.275,11.241,4.579,2.627,0.657,0.009,0.078
2018,0.009,0.069,0.017,0.009,0.009,3.853,7.258,6.134,0.536,0.009,0.009,0.009
2019,0.009,0.009,0.484,1.123,0.009,11.534,8.562,7.474,9.547,2.549,0.933,0.078
2020,0.043,0.13,0.259,0.009,0.146,9.9,8.625,8.716,6.268,1.941,0.019,0.004
2021,0.26,0.0,3.133,1.129,0.452,2.315,8.467,1.922,8.702,0.534,1.41,0.39
2022,1.058,0.0,0.0,0.0,0.009,3.144,8.727,5.498,5.49,2.115,0.0,0.788
2023,0.002,0.0,3.073,0.606,0.045,18.694,8.083,2.749,2.13,0.0,0.426,0.002
