Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.009,0.009,0.009,0.009,0.086,3.283,1.806,0.752,0.596,0.691,0.052,1.452
1981,0.009,0.009,0.009,0.121,1.434,0.276,9.21,2.713,0.812,0.017,0.086,0.009
1982,0.467,0.449,0.173,3.188,2.575,0.052,2.748,2.903,0.009,0.847,0.009,0.095
1983,0.009,0.009,0.009,0.251,1.313,1.305,5.435,6.16,0.847,0.009,0.009,0.009
1984,0.009,0.009,0.009,0.009,0.009,0.242,3.974,4.916,0.458,0.009,0.009,0.009
1985,0.026,0.009,0.657,0.009,0.009,0.017,3.231,3.05,0.009,2.056,0.009,0.156
1986,0.009,0.899,0.009,0.415,2.039,0.674,4.182,0.354,0.009,0.009,0.009,0.009
1987,0.346,0.009,0.112,0.009,3.612,0.242,1.598,3.015,0.009,0.009,0.009,0.009
1988,0.095,0.009,1.849,0.009,0.017,0.406,2.687,3.231,3.145,0.009,0.009,0.009
1989,0.035,0.009,0.009,0.009,0.009,1.659,4.242,3.62,0.009,0.009,0.009,0.009
1990,0.009,0.009,0.009,0.009,0.32,0.613,4.847,5.011,2.877,0.7,0.009,0.009
1991,0.009,0.147,0.009,0.302,0.009,0.475,1.616,2.73,0.112,0.009,0.009,0.017
1992,0.397,0.104,0.009,0.009,0.009,0.009,9.461,4.424,4.476,0.009,0.043,0.009
1993,0.009,1.953,0.009,0.069,0.121,1.814,8.061,0.026,2.748,0.069,0.009,0.009
1994,0.06,0.009,0.009,0.009,0.043,2.065,7.638,7.828,4.933,0.009,0.009,0.009
1995,0.009,0.19,0.009,0.009,0.009,0.095,5.668,6.368,0.899,0.009,0.009,0.035
1996,0.009,0.009,0.147,0.156,1.011,0.216,1.011,0.821,3.214,0.009,0.009,0.009
1997,0.009,0.009,0.458,0.207,0.346,2.687,6.679,4.666,1.21,2.704,0.009,0.855
1998,0.017,0.164,0.009,0.622,0.009,0.337,2.22,0.907,5.028,0.112,0.009,0.009
1999,0.009,0.38,0.009,0.009,0.829,0.009,2.177,0.121,0.009,0.596,0.009,0.009
2000,0.009,0.009,0.009,0.009,0.112,0.492,4.761,0.311,0.009,0.009,0.009,0.009
2001,0.009,0.009,0.009,1.106,0.657,1.02,5.443,0.415,0.009,0.009,0.009,0.009
2002,0.009,0.009,0.009,0.009,0.181,2.739,0.112,0.346,0.251,0.009,0.104,0.009
2003,0.251,0.397,0.009,0.009,0.009,0.121,6.774,3.456,0.164,0.009,0.009,0.009
2004,0.009,0.009,0.009,0.043,0.009,0.873,0.233,3.689,0.026,0.864,0.009,0.009
2005,0.017,0.009,0.052,4.329,0.596,1.676,4.432,2.635,2.583,0.009,0.009,0.009
2006,0.009,0.009,1.935,0.009,0.009,0.432,4.614,10.61,3.948,0.009,0.009,0.06
2007,0.009,0.76,0.743,0.363,0.009,1.832,7.517,6.705,2.938,0.009,0.009,0.009
2008,0.009,0.009,0.769,2.203,0.518,0.795,1.728,8.096,2.298,0.026,0.009,0.009
2009,0.009,0.052,0.242,0.009,0.13,0.346,5.711,1.702,1.011,0.484,0.009,0.009
2010,0.009,0.311,0.009,0.13,0.009,1.4,7.439,4.795,5.409,0.173,0.855,0.389
2011,0.009,0.138,0.009,0.38,0.233,0.043,2.341,9.348,5.365,0.009,0.009,0.009
2012,0.052,0.009,0.009,0.838,0.173,0.458,0.562,2.523,3.542,0.009,0.009,0.009
2013,0.009,0.06,0.009,0.017,0.009,0.372,3.456,3.439,5.34,0.199,0.009,0.009
2014,0.147,0.009,0.009,0.596,1.002,0.233,3.603,0.259,1.944,0.009,0.009,0.19
2015,0.009,0.009,0.346,0.639,0.527,1.512,8.113,0.337,3.119,0.009,0.009,0.009
2016,0.009,0.009,0.078,0.009,0.009,0.19,0.251,13.504,0.233,0.009,0.009,0.009
2017,0.415,0.009,0.311,0.009,1.132,2.22,7.387,1.477,0.173,0.009,0.009,0.147
2018,0.009,0.009,0.553,0.147,0.009,1.486,0.985,0.441,0.095,0.009,0.009,0.009
2019,0.363,0.078,0.086,0.199,0.536,0.156,3.983,3.033,1.391,1.14,0.95,0.19
2020,0.026,0.009,1.054,0.518,0.0,1.904,1.46,5.271,0.008,0.0,0.0,0.0
2021,0.0,0.0,0.716,1.42,0.859,3.001,1.433,0.193,11.313,0.227,0.0,0.4
2022,0.318,0.0,0.0,0.112,0.0,0.131,7.824,7.453,0.152,0.523,0.0,0.0
2023,0.253,0.0,1.487,0.086,3.708,5.456,3.745,0.005,5.198,0.497,0.208,0.0
