Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.009,1.417,0.121,0.009,0.933,13.824,23.138,15.345,6.584,2.652,0.009,0.069
1981,0.095,1.408,5.659,2.376,3.594,8.424,9.452,10.852,6.877,0.104,0.009,1.918
1982,0.009,0.121,0.363,0.009,0.009,11.949,4.994,22.36,2.644,0.346,0.009,0.009
1983,0.017,0.855,0.251,0.069,0.19,6.368,7.197,21.349,12.787,3.715,0.017,0.51
1984,0.38,0.009,0.009,0.588,0.51,10.126,12.208,25.739,8.968,1.521,0.009,0.009
1985,0.009,0.648,0.009,0.009,0.76,2.575,16.131,18.109,7.62,4.044,0.017,0.009
1986,0.078,0.156,0.104,0.225,2.056,6.8,9.85,7.906,7.733,1.961,0.052,0.078
1987,0.112,0.734,1.668,2.411,0.009,0.372,7.456,12.234,12.666,0.242,1.521,0.259
1988,0.009,0.13,0.207,0.631,1.408,16.235,12.286,8.277,3.396,1.356,3.499,0.009
1989,0.009,0.009,0.095,0.009,5.4,8.718,7.474,8.821,6.54,2.868,0.009,0.242
1990,0.009,2.082,3.456,1.115,4.916,8.459,15.198,10.359,10.195,5.435,1.071,3.568
1991,1.123,0.164,0.009,0.346,0.009,6.247,15.708,16.796,9.288,2.791,0.009,0.026
1992,0.207,1.21,0.009,0.009,2.462,2.592,11.491,16.615,5.098,2.35,0.518,0.009
1993,0.302,0.095,0.009,0.829,2.54,5.072,13.617,16.122,15.025,2.566,1.348,0.009
1994,0.017,0.043,0.009,0.009,3.741,11.811,15.5,15.025,7.776,0.873,0.009,0.009
1995,0.043,0.069,0.009,0.009,1.279,3.758,17.565,13.427,9.461,1.339,4.648,0.009
1996,0.009,0.009,0.009,1.063,0.009,13.409,5.823,9.063,2.488,3.387,0.009,0.009
1997,0.441,0.009,0.009,2.462,0.501,3.11,14.74,14.723,14.403,0.475,0.017,0.302
1998,1.564,0.38,0.968,0.009,2.713,8.372,11.889,13.945,7.914,4.666,0.899,0.009
1999,0.009,0.009,0.009,0.009,2.868,3.758,10.342,11.681,10.152,4.069,0.467,0.009
2000,0.009,0.622,0.009,1.106,1.382,8.562,12.96,8.83,6.454,0.501,0.009,0.009
2001,0.009,0.009,0.009,0.026,0.899,23.077,21.643,6.852,4.925,1.227,0.138,0.009
2002,0.052,0.009,0.009,0.942,0.501,8.251,2.592,9.798,7.629,0.804,0.441,0.009
2003,0.009,0.009,0.009,0.596,0.268,6.696,12.347,14.221,12.442,4.087,0.009,1.426
2004,0.009,0.009,0.009,0.009,0.372,8.113,6.687,20.287,15.111,5.772,0.009,0.009
2005,0.009,0.009,0.009,0.009,0.138,2.817,16.278,6.791,8.899,1.659,0.009,0.026
2006,0.009,0.009,0.804,0.009,1.65,3.275,16.822,17.842,10.575,0.009,0.009,0.009
2007,0.009,0.069,0.009,0.596,0.95,5.78,9.184,10.178,14.55,1.46,0.225,0.009
2008,0.501,0.207,0.009,0.181,0.32,16.537,11.197,11.88,4.778,2.333,0.009,0.009
2009,0.009,0.009,0.009,0.397,1.823,0.924,22.17,7.128,5.098,2.791,0.035,0.009
2010,0.009,0.009,0.009,0.009,0.657,7.344,5.651,4.519,5.46,4.0,0.086,0.268
2011,0.009,0.13,0.009,1.253,0.475,10.809,9.15,16.675,17.868,1.106,0.009,0.06
2012,0.855,0.009,0.009,1.21,0.112,4.527,16.053,10.022,4.467,2.134,0.821,0.242
2013,0.009,0.605,0.009,0.026,2.229,6.057,12.969,13.867,8.571,6.981,0.009,0.009
2014,0.009,1.21,0.009,0.009,0.285,1.659,21.876,15.863,9.867,1.028,0.009,0.069
2015,1.633,1.097,0.32,1.771,0.052,3.352,12.882,8.173,1.84,0.484,0.112,0.026
2016,0.078,0.916,0.086,0.009,2.506,0.994,10.187,20.736,4.329,1.348,0.009,0.009
2017,0.009,0.009,0.026,0.009,1.08,5.244,10.282,5.193,1.849,4.631,0.017,0.726
2018,0.009,0.009,0.009,0.812,4.761,3.681,9.02,9.418,8.7,5.469,0.017,0.311
2019,0.009,0.596,0.354,0.009,2.065,4.743,11.137,13.349,5.132,0.683,1.201,0.017
2020,1.339,0.328,0.363,7.785,5.914,4.109,2.29,16.511,3.312,5.928,0.059,0.0
2021,0.0,0.0,0.0,0.0,7.045,3.277,7.707,4.486,4.492,2.35,0.0,0.388
2022,0.15,0.246,0.0,0.0,1.736,0.406,13.996,15.497,8.32,2.329,0.0,0.0
2023,0.0,0.0,0.517,0.522,0.0,4.553,11.224,3.746,12.331,2.473,0.434,0.007
