Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.51,0.449,0.985,0.19,0.06,12.2,21.565,18.585,8.268,5.452,0.009,0.086
1981,1.244,0.268,3.482,0.009,1.123,4.622,10.325,12.277,5.149,0.242,0.009,0.372
1982,1.78,1.65,1.65,0.346,1.935,1.607,5.184,19.06,4.83,2.238,0.423,0.492
1983,1.028,2.151,0.009,0.631,1.771,5.305,8.208,17.28,13.271,2.238,0.009,0.095
1984,1.452,0.121,0.009,0.026,0.181,4.044,17.28,14.887,4.933,0.009,0.009,0.009
1985,2.739,0.009,0.069,0.985,0.121,4.087,12.355,13.936,5.711,1.719,0.009,0.009
1986,0.181,6.35,0.294,0.009,0.492,4.009,12.519,10.653,8.052,1.443,0.009,2.246
1987,1.4,1.123,1.02,0.078,0.009,0.873,6.618,10.921,6.342,1.702,1.149,0.086
1988,0.009,0.009,1.02,0.527,0.009,4.64,9.504,10.143,3.603,0.881,0.009,0.009
1989,0.19,0.009,1.106,0.009,0.009,4.959,8.052,19.751,5.659,0.363,0.009,1.158
1990,0.009,1.382,0.225,0.372,4.303,6.964,9.901,12.468,6.195,1.305,0.121,0.276
1991,0.389,0.026,0.484,0.086,0.009,9.919,10.143,13.28,3.482,0.285,0.657,0.518
1992,0.009,0.017,0.225,0.501,0.579,4.476,10.221,13.617,6.497,0.786,0.112,0.009
1993,0.009,0.423,0.268,0.009,0.009,2.722,15.552,9.539,8.381,1.106,0.009,0.009
1994,0.104,0.251,0.009,0.622,0.078,3.465,16.995,15.759,7.309,1.158,0.276,0.009
1995,0.743,0.501,1.106,0.484,2.186,2.868,12.338,14.463,7.016,1.953,0.959,0.009
1996,1.106,0.372,1.581,0.009,0.009,3.24,7.595,9.072,4.882,0.769,0.009,0.009
1997,0.043,0.009,0.181,1.218,0.225,3.033,14.316,11.31,4.588,2.428,0.812,1.581
1998,1.797,0.389,1.624,0.683,0.086,3.888,10.23,9.824,11.094,2.048,1.693,0.009
1999,0.009,0.829,0.009,0.009,0.199,3.672,11.206,9.91,10.817,3.007,0.009,0.009
2000,0.009,0.769,0.389,0.078,1.236,6.445,12.951,5.676,5.417,0.009,0.009,0.078
2001,0.009,0.484,1.227,0.285,0.795,9.971,12.874,8.243,3.257,2.609,0.009,0.009
2002,1.512,0.009,0.458,0.009,0.536,3.491,4.812,11.128,4.89,1.849,0.009,0.06
2003,0.009,3.439,1.737,0.276,0.009,1.953,13.703,8.7,8.649,6.005,0.009,0.207
2004,0.622,0.009,0.043,0.078,0.164,5.504,11.923,16.286,5.4,0.752,0.009,0.009
2005,3.205,0.544,0.035,0.009,0.743,1.581,17.461,8.018,7.093,1.184,0.009,0.009
2006,0.009,0.009,3.724,1.711,2.678,5.124,16.442,19.509,6.558,0.397,0.078,0.009
2007,0.009,0.562,0.026,0.121,0.933,5.314,10.135,17.66,8.536,0.017,0.225,0.009
2008,1.65,1.46,0.372,3.655,0.328,10.973,11.958,14.636,4.925,0.89,0.009,0.009
2009,0.009,0.121,0.328,0.579,0.035,2.229,20.399,11.543,4.536,3.007,0.276,0.052
2010,0.009,0.501,0.009,0.009,0.337,0.95,12.606,13.876,9.098,1.59,0.605,0.683
2011,0.009,1.296,0.346,4.527,1.495,5.797,16.52,16.399,13.124,0.588,0.009,0.026
2012,2.186,1.642,0.069,0.458,2.713,2.117,17.824,17.496,14.688,0.821,3.335,0.449
2013,0.181,1.02,4.899,1.728,0.32,13.306,17.461,16.667,8.113,10.886,0.147,0.017
2014,0.769,0.423,3.612,0.691,1.305,0.838,14.662,6.411,10.644,2.471,0.009,0.069
2015,0.605,0.959,1.054,2.929,0.32,11.88,8.925,10.238,4.285,0.009,0.009,0.173
2016,0.881,0.924,0.492,0.009,0.639,7.093,13.193,11.076,6.869,1.65,0.009,0.009
2017,0.043,0.13,0.527,0.009,2.333,6.031,14.645,8.476,3.3,1.607,0.017,0.009
2018,0.009,0.276,0.734,2.238,1.184,4.113,9.357,12.303,3.249,1.78,0.009,2.074
2019,1.106,2.004,1.158,1.711,0.458,3.672,7.439,9.832,6.169,0.778,0.009,0.363
2020,2.212,1.037,5.244,1.849,1.969,2.975,2.565,10.835,3.055,1.548,0.0,0.0
2021,0.0,0.481,0.0,0.052,2.702,2.65,4.045,1.828,6.166,0.686,0.069,0.485
2022,5.213,0.554,0.0,0.0,0.507,1.716,13.157,11.254,3.673,1.468,0.0,0.0
2023,0.004,0.0,1.868,2.248,0.0,6.919,7.702,4.081,6.333,2.485,0.0,2.705
