Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.588,1.452,1.849,0.536,1.555,2.532,2.981,2.195,0.639,1.253,0.354,1.097
1981,1.866,2.03,4.035,0.622,4.337,0.484,10.644,7.465,1.719,0.959,0.225,0.009
1982,1.106,1.382,4.415,3.223,1.503,1.175,4.493,5.581,0.734,1.503,0.311,1.037
1983,1.434,1.08,1.961,5.564,6.316,4.7,7.69,1.417,0.173,1.46,0.717,0.069
1984,0.346,2.834,1.184,1.417,0.138,0.475,0.199,4.942,3.905,0.009,0.346,1.054
1985,0.527,0.19,0.441,2.195,0.009,4.683,3.404,1.633,0.035,0.89,0.009,2.255
1986,0.009,2.004,3.24,4.0,1.814,4.164,1.322,0.873,0.674,1.227,0.173,1.166
1987,0.043,1.4,1.417,1.261,5.685,2.791,2.946,3.283,0.674,0.13,0.009,0.009
1988,0.372,0.881,4.329,0.907,0.156,4.7,6.048,11.802,3.404,0.164,0.009,0.588
1989,1.555,1.011,1.598,1.201,0.743,1.158,8.018,6.834,0.078,0.199,0.138,0.052
1990,0.017,2.989,2.471,0.164,2.143,2.238,3.689,9.089,2.1,0.147,0.009,2.169
1991,0.06,1.901,2.039,2.065,1.581,1.564,1.685,0.225,0.622,0.181,0.009,1.028
1992,3.905,2.704,1.659,1.417,2.048,0.086,3.525,3.56,1.4,0.397,0.19,0.026
1993,1.547,0.475,2.134,1.244,4.113,3.525,1.814,2.246,3.128,0.009,0.501,0.009
1994,0.432,2.272,0.449,3.154,0.544,2.471,7.966,9.323,2.117,0.242,0.009,0.743
1995,1.391,2.445,2.402,1.253,1.054,7.819,4.821,4.942,0.743,0.009,0.009,0.536
1996,1.27,1.331,4.234,0.052,2.065,2.575,4.121,4.968,2.376,1.244,0.009,0.026
1997,1.106,0.251,1.46,0.881,3.43,3.326,3.966,1.512,2.419,6.592,0.397,0.855
1998,0.501,4.562,2.229,5.625,1.745,3.577,8.787,1.763,2.013,2.385,0.009,0.009
1999,2.376,0.726,1.236,0.251,2.799,2.013,8.26,7.085,1.676,0.009,0.009,0.009
2000,1.538,1.771,0.346,1.426,0.812,0.959,8.173,4.64,1.348,0.009,0.009,0.7
2001,0.035,0.994,2.799,4.476,3.188,7.854,11.569,3.56,2.151,0.009,0.449,0.216
2002,0.423,0.57,0.942,0.372,0.829,2.86,5.365,6.1,1.227,0.009,0.233,0.717
2003,1.365,2.86,0.881,2.428,1.287,1.408,5.417,5.979,0.544,0.009,0.147,1.477
2004,2.583,0.095,0.009,4.778,0.864,3.067,1.59,3.119,0.441,1.961,0.104,0.916
2005,1.979,3.093,2.462,0.484,3.802,2.039,3.188,4.234,0.441,0.009,0.009,0.009
2006,1.037,0.804,0.959,0.389,1.158,0.95,7.655,5.875,4.303,1.46,0.467,1.011
2007,0.009,3.828,1.719,1.305,1.201,5.988,4.303,6.195,2.307,0.009,0.009,0.164
2008,3.171,0.268,0.009,3.162,2.186,6.817,6.273,9.323,0.942,0.009,0.009,0.596
2009,0.432,1.331,0.181,2.117,1.763,0.302,7.128,3.309,2.065,0.009,0.518,0.009
2010,0.406,1.763,0.069,0.121,0.838,3.421,9.202,4.51,3.033,0.095,0.009,0.441
2011,0.13,1.598,0.078,2.748,5.314,1.417,2.238,2.246,4.208,0.268,0.009,0.069
2012,0.7,1.417,0.76,2.661,0.112,0.899,1.348,2.359,1.477,0.009,0.095,0.276
2013,0.138,4.216,2.125,1.331,0.009,2.117,2.635,4.285,0.164,0.026,0.285,0.009
2014,0.752,2.151,5.089,3.516,2.86,0.354,2.972,0.657,4.847,0.009,0.009,0.268
2015,0.821,3.102,6.636,3.11,0.009,0.829,9.158,4.121,0.959,0.328,0.026,0.009
2016,0.19,0.104,2.955,1.901,1.356,0.017,13.876,3.655,0.976,0.009,0.009,0.009
2017,2.16,0.985,0.078,2.004,0.415,5.158,4.294,2.402,1.892,0.009,0.622,0.717
2018,0.043,2.22,1.555,0.579,1.642,2.436,8.796,2.35,0.907,0.009,0.51,0.579
2019,2.601,3.015,2.16,2.791,6.86,1.642,14.291,8.588,4.277,1.486,2.851,1.633
2020,3.551,2.886,5.996,6.713,13.927,9.287,11.178,12.453,0.59,0.0,0.878,0.407
2021,0.79,0.297,3.158,2.246,2.814,5.649,7.004,2.96,0.42,1.357,0.409,0.697
2022,3.14,1.69,0.0,2.315,2.552,5.188,4.852,0.951,0.714,0.0,0.881,0.0
2023,1.154,0.235,3.177,3.121,7.247,1.507,10.859,0.736,0.239,0.86,0.712,0.0
