Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.009,0.009,0.009,0.009,0.009,3.482,6.947,5.262,0.838,0.009,1.166,0.873
1981,1.279,0.156,0.009,0.009,0.026,3.888,10.99,8.657,3.888,1.391,0.156,0.06
1982,0.415,0.009,0.017,0.009,0.009,2.955,7.906,10.722,0.648,0.009,1.071,0.009
1983,0.009,0.009,0.009,0.009,0.009,2.704,4.501,7.033,3.568,1.356,0.009,0.009
1984,0.009,0.009,0.009,0.009,0.009,2.955,6.394,8.26,3.283,0.009,0.009,0.009
1985,0.009,0.009,0.009,0.009,0.009,2.419,7.569,8.83,1.434,1.702,0.009,0.009
1986,0.009,0.009,0.009,0.009,0.009,4.622,6.195,7.249,0.821,0.009,0.009,0.147
1987,0.009,0.009,0.009,0.009,0.268,0.553,5.962,8.018,1.512,0.968,0.449,0.683
1988,0.009,0.009,0.009,0.009,0.009,2.549,11.707,4.838,5.936,0.043,0.009,0.009
1989,0.009,0.009,0.959,0.009,0.009,4.657,9.314,5.573,1.132,0.009,0.009,0.199
1990,0.009,0.207,0.009,0.009,0.138,5.607,9.746,9.098,3.257,1.832,0.009,0.009
1991,0.009,0.009,0.009,0.009,0.009,0.76,11.517,6.143,0.916,0.009,0.233,0.009
1992,0.009,0.009,0.009,0.009,0.009,2.696,5.858,6.998,1.495,0.009,0.009,0.009
1993,0.009,0.009,0.009,0.009,0.009,1.892,7.69,6.921,5.098,1.356,0.708,1.175
1994,0.017,0.009,0.009,0.009,0.017,4.769,12.943,7.741,4.735,0.181,0.086,0.009
1995,0.009,0.009,0.009,0.009,0.009,0.89,7.638,3.266,1.305,1.659,0.562,0.009
1996,0.009,0.009,0.069,0.009,0.009,3.62,8.726,5.607,2.817,2.238,0.009,0.009
1997,0.009,0.009,0.009,0.389,0.294,17.885,11.655,9.495,1.745,0.415,0.354,1.201
1998,0.207,0.009,0.009,0.009,0.009,2.894,7.69,5.27,3.525,2.082,0.026,0.009
1999,0.009,0.009,0.009,0.009,1.132,6.523,10.394,6.195,3.421,2.272,0.009,0.009
2000,0.009,0.009,0.009,0.009,1.909,3.136,7.75,7.75,0.821,0.009,0.009,0.009
2001,0.009,0.009,0.043,0.009,0.562,4.951,13.323,3.015,0.052,0.968,0.009,0.009
2002,0.009,0.009,0.009,0.009,0.009,6.644,4.562,9.435,0.579,0.009,0.009,0.009
2003,0.009,0.009,0.009,0.009,0.009,2.86,11.249,7.119,3.033,0.216,0.009,0.009
2004,0.009,0.009,0.009,0.009,0.009,5.685,10.022,14.126,3.551,1.918,0.009,0.009
2005,0.009,0.017,0.009,0.009,0.009,18.766,7.603,6.42,8.96,0.449,0.009,0.009
2006,0.009,0.009,0.449,0.009,0.009,7.655,15.612,11.267,4.545,0.173,0.346,0.009
2007,0.009,0.009,0.009,0.009,0.009,16.381,9.521,8.968,5.331,0.009,0.458,0.009
2008,0.009,0.009,0.009,0.009,0.009,7.5,5.625,7.595,4.147,1.244,1.953,0.95
2009,0.009,0.009,0.009,0.009,0.009,2.497,13.85,2.186,2.687,0.639,0.492,0.009
2010,0.009,0.009,0.017,0.009,0.009,2.825,8.623,10.809,5.443,2.411,2.704,0.026
2011,0.009,0.233,0.009,0.009,0.009,7.508,12.502,10.679,8.839,1.728,0.009,0.009
2012,0.009,0.009,0.009,0.009,0.009,3.974,6.912,11.915,10.42,0.605,0.501,0.009
2013,0.043,0.009,0.009,0.009,0.009,9.962,15.25,6.048,4.735,2.549,0.57,0.009
2014,0.717,0.06,0.121,0.009,0.009,40.254,10.601,6.065,2.782,0.717,0.069,0.052
2015,0.302,0.311,0.518,0.043,0.009,10.593,9.547,4.251,2.877,0.009,0.415,0.009
2016,0.009,0.026,0.138,0.009,0.009,8.104,14.1,10.783,3.931,2.981,0.009,0.009
2017,0.009,0.009,0.009,0.009,0.57,9.72,19.043,5.193,1.953,0.527,0.009,0.57
2018,0.009,0.009,0.009,0.009,0.009,4.294,11.75,8.312,1.002,0.009,0.009,0.009
2019,0.009,0.009,0.009,0.458,0.009,12.148,12.001,11.102,8.908,2.704,1.745,0.009
2020,0.017,0.017,0.009,0.009,0.0,8.047,18.471,12.816,2.87,0.96,0.056,0.036
2021,0.0,0.0,0.055,0.0,0.621,2.691,10.123,2.247,6.235,0.143,0.412,0.213
2022,0.199,0.0,0.0,0.0,0.02,3.08,11.819,6.851,3.002,0.758,0.0,0.545
2023,0.0,0.0,0.58,0.0,0.0,19.213,13.224,3.666,0.964,0.0,0.882,0.0
