Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.216,0.043,0.009,0.009,0.285,5.443,11.336,4.985,2.843,0.648,0.009,0.829
1981,0.009,0.009,1.469,0.009,1.797,1.495,5.486,9.348,4.519,0.752,0.009,0.847
1982,3.482,1.823,0.009,0.976,0.942,1.849,3.983,7.068,2.609,0.924,1.045,0.251
1983,0.009,0.009,0.009,0.086,0.76,3.836,7.776,8.899,5.27,1.719,0.009,0.156
1984,2.359,0.225,0.009,0.009,0.026,3.473,7.785,8.761,1.564,0.009,0.009,0.19
1985,2.246,0.009,0.683,1.581,0.009,2.972,6.048,7.94,1.4,1.901,0.009,0.009
1986,0.112,6.713,0.173,0.009,1.374,2.886,7.811,9.616,0.363,0.613,0.009,2.333
1987,1.65,0.838,0.57,0.009,0.251,0.752,3.663,5.918,1.322,1.27,0.449,0.562
1988,0.009,0.009,0.009,0.181,0.285,3.897,6.705,6.558,3.784,0.821,0.009,0.009
1989,0.086,0.009,1.754,0.009,0.009,2.471,3.845,10.74,1.4,0.009,0.009,0.467
1990,0.009,0.06,0.017,0.009,1.866,2.03,5.46,11.975,4.199,0.38,0.009,0.06
1991,0.009,0.009,0.026,0.13,0.009,7.62,10.973,6.238,0.276,0.009,0.026,0.009
1992,0.009,0.009,0.086,0.147,0.665,3.56,3.249,11.88,1.547,0.631,1.115,0.009
1993,0.009,0.907,0.276,0.009,0.354,3.171,8.839,4.355,4.311,0.717,0.009,0.009
1994,0.458,0.052,0.009,0.13,0.009,3.292,10.152,7.37,5.625,0.518,0.009,0.009
1995,0.346,0.009,0.389,0.026,1.149,1.054,4.484,8.77,3.551,1.477,0.095,0.069
1996,2.506,0.302,1.037,0.009,0.009,1.028,6.515,6.065,1.832,1.944,0.009,0.009
1997,0.009,0.009,0.009,0.916,0.078,2.54,9.245,6.515,2.082,0.976,2.022,2.16
1998,1.875,0.19,0.855,0.009,0.121,2.324,4.519,4.683,7.88,1.089,0.708,0.009
1999,0.06,1.184,0.009,0.009,0.829,1.529,5.167,2.402,4.173,1.115,0.009,0.009
2000,0.009,0.104,0.009,0.216,1.572,3.11,9.323,4.735,1.054,0.009,0.009,0.069
2001,0.035,0.009,1.037,0.423,0.276,5.59,5.737,5.59,0.562,1.788,0.009,0.009
2002,0.873,0.968,0.009,0.233,0.026,3.154,4.268,10.921,2.644,0.769,0.009,0.009
2003,0.009,1.14,0.164,0.268,0.009,2.203,7.707,6.947,2.713,0.518,0.121,0.251
2004,0.579,0.009,0.009,0.009,0.009,2.583,7.975,7.785,1.987,0.536,0.009,0.009
2005,4.752,0.441,0.588,0.372,0.588,4.311,11.569,3.266,5.668,2.048,0.009,0.009
2006,0.009,0.009,5.633,0.009,1.339,2.938,11.811,8.199,3.197,0.207,0.285,0.009
2007,0.009,0.536,0.009,0.043,0.173,4.216,6.739,8.027,5.651,0.009,0.009,0.009
2008,0.017,0.397,2.229,1.02,0.164,1.97,8.217,8.268,5.314,1.296,0.009,0.009
2009,0.009,0.173,0.052,0.009,0.562,1.892,10.273,5.763,1.426,2.324,1.961,0.147
2010,0.009,1.054,0.052,0.009,0.112,0.942,8.562,9.262,8.234,1.063,1.944,0.017
2011,0.009,0.51,0.009,1.495,0.259,2.402,13.936,11.828,6.316,0.009,0.009,0.251
2012,0.449,0.009,0.009,0.406,0.657,1.287,10.143,15.44,12.277,0.216,0.225,0.017
2013,0.389,0.907,2.739,1.02,0.13,10.109,21.997,15.768,4.061,9.668,0.233,0.009
2014,0.639,2.583,2.532,0.009,0.06,0.199,8.675,4.942,8.156,4.545,0.009,0.017
2015,0.078,0.302,0.441,1.668,0.164,9.245,8.51,6.065,3.758,0.216,0.009,0.009
2016,1.123,0.052,1.244,0.13,0.432,5.97,8.562,4.968,4.882,1.002,0.009,0.009
2017,0.017,0.57,0.121,0.009,2.514,5.028,8.467,6.782,1.633,0.855,0.009,0.009
2018,0.009,0.838,0.225,1.737,1.987,3.076,4.787,8.286,2.272,0.009,0.009,0.009
2019,0.734,0.147,2.411,0.7,0.035,3.707,8.199,5.616,8.675,0.76,0.035,0.683
2020,1.417,1.633,3.698,0.726,0.0,2.942,1.556,7.272,0.496,0.301,0.0,0.0
2021,0.0,0.567,0.05,0.564,0.799,2.069,4.757,2.393,8.435,0.505,0.0,0.381
2022,1.787,0.0,0.0,0.001,0.205,1.695,17.978,8.362,3.595,0.803,0.0,0.613
2023,0.002,0.0,2.567,2.245,0.047,5.445,9.342,1.219,2.851,0.0,0.0,0.051
