Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.32,0.829,1.685,0.829,0.743,1.4,5.003,1.953,0.449,0.467,0.009,1.296
1981,1.08,0.233,0.769,0.009,2.696,0.881,10.506,5.694,0.035,0.121,0.838,0.009
1982,1.356,1.218,3.482,2.177,5.564,1.693,6.307,3.499,0.346,1.495,0.147,1.339
1983,1.884,0.138,1.452,3.387,6.748,2.523,9.608,1.685,1.927,0.009,0.009,0.648
1984,0.104,3.819,0.199,2.454,0.009,1.227,3.361,5.072,3.197,0.009,0.009,0.207
1985,0.121,0.009,0.527,0.441,0.13,7.854,7.767,2.583,0.458,1.227,0.009,1.814
1986,0.026,3.309,2.609,0.553,1.106,2.549,4.579,5.27,0.06,1.02,0.06,1.054
1987,0.043,1.097,0.812,0.657,5.772,1.659,4.13,3.862,0.372,0.164,0.009,0.009
1988,0.294,0.104,2.773,0.674,0.406,3.067,6.54,11.474,2.618,0.009,0.009,0.104
1989,1.918,0.052,1.261,0.121,1.071,2.022,5.443,5.469,0.372,0.009,0.009,0.009
1990,0.009,2.039,0.441,0.225,0.104,0.786,10.817,10.731,2.583,0.009,0.026,0.907
1991,0.043,3.275,1.322,0.596,0.017,4.069,0.009,1.495,1.434,0.009,0.009,0.873
1992,1.097,1.089,0.406,0.337,0.821,0.276,5.607,5.348,0.812,0.009,0.009,0.009
1993,1.045,1.434,0.812,0.562,1.331,0.518,8.58,1.287,4.104,0.009,0.009,0.009
1994,1.996,2.039,0.009,2.29,0.95,2.212,8.052,8.51,3.361,0.009,0.009,0.009
1995,1.633,1.572,1.443,0.086,0.026,6.117,5.841,7.007,2.125,0.095,0.009,0.009
1996,1.02,2.264,0.251,0.268,2.177,2.696,3.551,6.204,3.992,0.095,0.009,0.009
1997,1.08,0.052,0.579,1.166,1.529,5.296,5.184,1.866,1.832,2.488,0.743,1.935
1998,0.095,3.093,2.989,0.89,0.311,2.894,9.504,4.83,2.16,0.484,0.009,0.026
1999,2.151,0.458,0.112,0.086,2.341,1.529,10.506,5.08,3.923,0.078,0.009,0.009
2000,0.95,1.227,0.346,0.138,0.078,1.521,4.095,2.782,1.184,0.009,0.009,0.302
2001,0.423,0.57,0.527,1.08,3.62,4.562,6.938,2.799,1.011,0.009,0.009,0.009
2002,1.106,1.132,1.097,0.078,2.255,0.009,4.821,4.769,1.477,0.009,0.363,0.138
2003,1.002,2.056,0.579,0.544,0.7,1.339,6.998,3.966,1.331,0.009,0.009,1.296
2004,3.162,0.009,0.009,3.102,1.002,4.044,3.819,8.355,0.233,0.13,0.009,0.121
2005,1.227,2.065,1.987,0.285,2.359,1.996,11.241,4.372,1.78,0.009,0.009,0.009
2006,1.097,0.242,3.646,0.613,2.635,2.687,10.688,4.242,3.845,1.961,0.207,1.115
2007,0.009,3.923,3.3,0.475,2.341,9.556,5.469,11.146,3.465,0.009,0.009,0.19
2008,1.391,0.086,0.009,1.771,1.443,6.264,10.169,8.139,3.24,0.009,0.009,0.104
2009,0.121,0.553,0.337,2.532,2.229,0.328,8.96,7.396,1.953,0.009,0.251,0.009
2010,0.009,1.037,0.302,0.389,1.979,2.843,9.4,7.266,5.728,0.009,0.017,0.829
2011,0.242,1.045,0.104,2.532,3.974,3.516,11.059,12.753,4.899,0.009,0.009,0.233
2012,0.881,0.415,0.657,1.711,0.337,0.804,4.89,5.754,3.197,0.009,0.009,0.009
2013,1.564,7.353,1.14,1.002,0.009,2.946,3.275,4.562,1.719,0.009,0.622,0.095
2014,1.4,2.748,3.059,1.659,2.791,1.158,3.05,1.659,2.454,0.009,0.009,1.668
2015,0.907,3.516,9.392,3.542,0.009,0.622,4.933,4.951,0.708,0.026,0.009,0.009
2016,0.035,0.553,2.946,0.121,1.693,3.689,11.137,3.862,0.009,0.009,0.009,0.009
2017,1.59,0.251,0.043,0.372,1.46,2.704,5.659,3.629,5.331,0.009,0.734,0.691
2018,0.57,2.246,1.071,0.251,1.149,2.376,7.076,1.996,6.005,0.009,0.009,1.184
2019,2.212,2.307,0.51,2.825,4.795,0.354,12.277,7.975,1.555,0.838,1.071,1.296
2020,2.955,2.22,2.436,1.909,0.712,1.511,7.662,7.242,0.362,0.0,1.309,0.321
2021,1.206,0.377,2.647,1.785,2.543,2.391,2.447,0.807,0.342,0.587,0.001,0.303
2022,2.614,1.742,0.134,1.081,1.439,3.963,6.052,2.423,3.743,2.062,0.038,0.0
2023,2.486,0.0,2.684,1.663,4.599,1.699,10.97,4.062,1.175,0.861,0.579,0.0
