Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.112,0.026,0.613,0.009,1.806,20.408,16.831,9.988,12.139,2.549,6.99,5.504
1981,3.603,0.069,0.588,0.009,0.328,6.903,10.325,10.394,10.057,2.376,3.819,1.166
1982,0.294,0.009,0.009,0.009,0.009,12.407,12.295,14.481,13.729,4.812,1.002,0.009
1983,0.069,1.806,0.009,0.009,0.112,9.711,24.693,11.413,10.325,9.193,4.121,0.251
1984,0.043,0.251,0.009,0.026,0.009,13.781,12.468,7.119,4.147,0.873,1.477,13.297
1985,0.432,0.009,0.009,0.009,0.009,6.186,15.371,15.034,8.554,4.925,1.011,0.121
1986,2.203,0.389,0.095,0.009,0.665,3.784,10.662,9.763,3.361,7.214,2.773,0.009
1987,0.95,0.009,0.104,0.009,0.009,5.927,10.161,8.493,5.625,2.013,5.02,6.117
1988,0.009,0.112,0.13,0.156,1.158,8.493,17.245,9.608,6.523,2.834,0.069,1.486
1989,0.009,0.009,0.009,0.009,0.009,10.204,16.001,10.809,9.271,1.348,0.639,1.166
1990,0.009,1.123,5.279,0.009,6.031,9.107,5.141,9.098,9.081,3.344,3.3,1.78
1991,0.13,0.026,0.009,0.009,0.009,6.523,10.783,11.483,11.448,7.638,6.731,0.216
1992,0.147,0.121,0.009,0.009,1.244,6.42,7.396,12.165,4.985,5.806,4.32,0.009
1993,0.009,0.009,0.199,0.009,0.009,7.603,14.412,4.864,6.696,3.465,5.728,0.268
1994,0.069,0.251,0.009,0.009,0.354,7.776,9.798,5.625,5.478,3.024,6.912,0.026
1995,0.441,0.009,0.017,0.009,3.793,1.495,14.507,17.634,7.664,8.752,1.443,0.009
1996,0.017,0.009,0.009,0.009,0.294,5.201,8.934,10.333,5.944,6.54,0.726,2.497
1997,0.579,0.017,0.631,1.823,0.199,9.66,22.931,10.515,12.442,0.173,2.177,3.188
1998,1.011,0.181,0.804,0.268,0.009,5.244,10.498,7.301,8.182,7.845,5.054,0.017
1999,0.009,0.009,0.009,0.009,0.009,8.122,11.042,8.476,7.629,3.439,1.339,0.009
2000,0.017,0.553,0.009,0.829,2.955,15.206,10.532,10.826,3.81,0.147,1.65,0.251
2001,0.009,0.009,0.06,0.13,0.51,6.411,8.614,9.228,5.504,3.508,8.502,0.026
2002,0.009,0.009,0.009,0.121,0.078,3.283,6.048,12.407,3.188,3.767,1.832,0.009
2003,0.009,0.009,0.017,0.009,0.009,5.435,21.211,9.962,4.951,4.666,0.009,3.136
2004,0.216,0.026,0.009,0.009,1.607,11.327,13.254,4.916,6.152,5.34,2.195,0.009
2005,0.009,0.32,0.009,0.009,0.259,4.743,14.645,5.72,12.468,9.469,0.786,3.612
2006,0.06,0.009,0.017,0.06,6.35,11.465,12.26,6.022,6.566,4.268,0.743,0.009
2007,0.009,0.164,0.199,0.009,0.415,5.331,3.007,4.838,9.789,3.456,1.011,0.156
2008,0.009,0.933,0.009,0.216,0.009,3.983,9.219,15.733,9.297,2.134,2.817,0.009
2009,0.009,0.009,0.009,0.138,0.389,4.173,6.083,10.04,2.903,11.094,1.685,0.009
2010,0.086,0.017,0.009,0.009,0.518,7.335,13.435,11.241,16.744,5.625,9.124,2.298
2011,0.026,0.017,0.009,1.253,0.173,4.882,13.859,8.623,18.213,2.549,0.026,1.97
2012,0.328,0.009,0.009,0.052,0.449,4.363,18.127,12.061,10.947,3.024,3.983,0.009
2013,0.009,0.026,0.017,2.341,0.311,15.034,16.528,10.981,5.037,11.897,1.711,0.648
2014,0.009,0.043,0.009,0.043,0.035,1.253,6.445,4.908,11.699,0.337,0.259,3.067
2015,0.043,0.009,0.104,1.659,0.017,7.595,12.874,15.379,7.016,0.346,3.983,0.043
2016,0.017,0.009,0.009,0.009,1.045,4.968,4.424,6.54,15.068,3.845,2.324,1.21
2017,0.009,0.009,0.337,0.009,0.873,11.059,18.204,10.601,5.452,0.251,3.568,0.06
2018,0.017,0.009,0.009,0.009,0.397,11.75,14.17,6.955,4.562,1.668,1.261,2.549
2019,0.112,0.225,0.069,0.009,0.726,7.733,12.329,15.146,10.126,4.182,0.009,0.251
2020,0.786,1.365,1.287,1.659,0.114,14.175,5.601,7.12,10.783,6.573,5.625,0.038
2021,0.001,0.487,0.0,0.649,5.822,8.038,8.342,5.225,9.8,3.301,8.469,1.054
2022,0.488,0.0,0.0,0.0,3.863,4.857,17.444,5.62,6.188,3.718,2.001,4.551
2023,0.001,0.0,0.308,0.305,0.416,3.872,21.039,4.516,4.861,0.552,0.721,5.592
