Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.009,0.441,0.907,0.009,4.614,8.856,13.72,11.059,6.42,4.562,0.009,0.009
1981,0.276,1.227,1.892,0.302,3.067,5.53,7.335,5.141,4.38,0.009,0.009,1.452
1982,0.06,0.181,1.434,0.009,0.009,11.932,8.709,15.293,3.223,2.117,0.095,0.026
1983,0.009,0.268,0.415,0.086,1.21,8.096,9.21,14.265,8.355,0.812,0.009,0.907
1984,0.164,0.009,0.009,0.078,1.797,10.273,13.53,19.094,6.705,2.246,0.009,0.009
1985,0.06,0.086,0.009,0.518,0.035,4.104,8.459,8.191,3.275,3.145,0.009,0.009
1986,0.009,0.121,0.181,0.397,0.752,7.188,14.291,4.925,7.206,2.687,0.009,0.086
1987,0.613,0.613,0.009,2.471,1.261,1.331,6.385,6.575,7.664,0.294,0.164,0.035
1988,0.009,0.181,0.199,1.737,0.164,8.623,7.361,8.597,1.676,0.268,0.017,0.009
1989,0.164,0.069,0.009,0.009,3.3,7.69,7.672,4.977,6.566,1.071,0.009,0.372
1990,0.009,0.38,1.045,0.311,2.946,9.72,8.778,2.894,8.528,2.661,0.009,0.389
1991,0.216,0.009,0.38,0.009,0.009,9.288,9.236,12.995,4.147,0.104,0.009,1.616
1992,0.06,0.009,0.536,0.009,2.125,3.689,11.889,7.646,5.054,0.207,0.009,0.009
1993,0.13,0.009,0.043,0.009,2.514,2.67,10.273,4.916,17.747,0.683,0.449,0.009
1994,0.035,1.607,0.009,0.009,0.907,12.156,8.234,9.616,2.678,2.341,0.009,0.009
1995,0.372,0.7,0.363,0.009,0.233,2.817,10.1,13.349,14.602,0.337,2.065,0.233
1996,0.009,0.346,0.078,0.009,0.009,10.714,6.359,8.182,2.488,1.486,0.009,0.009
1997,0.311,0.009,0.51,0.242,0.009,4.631,13.064,11.871,7.068,0.847,0.009,1.158
1998,1.788,0.009,1.452,0.674,0.976,5.262,9.72,10.143,6.048,2.981,0.199,0.009
1999,0.009,0.009,0.009,0.009,0.847,3.171,10.187,9.184,13.461,2.912,0.095,0.009
2000,0.009,1.27,0.009,0.069,1.832,4.752,7.171,4.692,10.057,0.009,0.009,0.017
2001,0.009,0.009,0.501,0.207,0.363,13.064,11.318,3.897,4.873,1.184,0.009,0.009
2002,0.363,0.009,0.009,0.121,0.009,9.314,6.359,5.936,6.558,0.009,0.026,0.06
2003,0.052,0.484,0.086,0.717,0.009,3.897,4.208,7.309,8.597,3.724,0.009,0.501
2004,0.354,0.009,0.009,0.251,0.13,12.269,5.124,8.225,3.508,2.013,0.009,0.009
2005,0.544,0.579,0.19,0.389,0.009,6.756,10.385,3.249,4.804,1.581,0.009,0.009
2006,0.009,0.009,1.21,0.06,1.486,2.739,13.928,11.336,5.322,0.078,0.009,0.009
2007,0.009,1.693,0.631,1.737,1.218,7.387,16.511,7.983,9.228,0.484,0.009,0.009
2008,2.125,0.095,0.009,2.048,0.423,14.092,8.605,7.465,2.29,0.354,0.009,0.009
2009,0.009,0.026,0.095,0.009,2.989,1.918,7.05,4.121,3.983,2.229,0.052,0.017
2010,0.009,0.017,0.035,0.009,0.613,1.685,4.908,1.901,2.808,1.788,0.06,0.251
2011,0.009,0.207,0.899,1.979,0.717,13.867,9.469,17.539,16.036,0.017,0.009,0.009
2012,0.337,0.121,0.276,2.765,0.009,7.577,10.956,10.619,6.229,0.147,0.475,0.052
2013,0.009,0.086,0.078,1.469,0.009,14.308,5.832,16.252,5.504,12.442,0.009,0.009
2014,0.009,2.039,0.199,0.009,2.583,2.713,15.552,11.163,6.368,2.143,0.009,0.009
2015,0.613,0.216,0.734,0.354,0.009,6.299,23.043,10.377,2.782,0.285,0.009,0.009
2016,0.665,1.011,0.458,0.009,1.953,2.601,11.578,19.492,5.34,0.432,0.009,0.009
2017,0.017,0.009,0.138,0.086,1.14,4.899,16.062,2.359,1.719,4.061,0.009,0.069
2018,0.009,0.078,0.095,5.772,4.035,6.307,7.232,6.826,6.592,4.847,0.009,1.788
2019,0.017,3.283,0.372,2.134,0.786,6.212,14.075,13.599,6.437,0.276,0.009,0.017
2020,0.847,1.935,2.445,6.463,3.721,10.327,3.454,17.647,5.223,1.74,0.0,0.0
2021,0.0,0.204,0.0,0.069,6.652,4.784,7.102,1.775,7.998,3.788,0.003,0.945
2022,0.741,0.563,0.0,0.0,2.994,0.807,3.514,9.332,6.634,0.517,0.0,0.0
2023,0.0,0.0,0.853,0.058,0.0,6.6,5.324,4.81,11.218,1.711,0.0,0.396
