Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.942,1.339,3.205,4.363,8.908,10.532,5.158,3.231,7.258,8.001,2.1,2.169
1981,1.909,1.106,2.938,6.057,13.072,6.808,3.007,5.746,4.743,0.734,2.618,1.944
1982,1.028,1.918,3.318,11.871,5.849,9.806,5.728,2.419,6.359,2.454,1.607,1.659
1983,1.763,2.022,3.888,6.031,10.325,5.772,8.761,6.065,6.324,6.281,1.486,0.674
1984,1.823,0.372,0.812,4.173,7.931,7.353,5.028,6.152,4.285,3.508,0.138,1.322
1985,1.547,1.711,4.743,4.13,7.845,9.115,7.016,2.54,7.301,3.326,2.22,2.894
1986,0.95,0.657,1.892,9.167,5.167,4.044,8.217,5.27,10.817,4.959,1.737,1.063
1987,1.028,1.261,2.488,6.972,3.974,10.601,3.577,7.206,6.437,2.29,0.873,0.76
1988,0.864,2.195,4.225,6.592,9.046,7.983,8.191,5.659,7.137,11.189,4.13,1.071
1989,1.045,1.417,1.184,7.206,7.508,9.694,6.955,4.216,5.728,6.394,1.633,0.829
1990,1.14,3.43,4.406,10.325,11.284,6.618,3.655,2.661,4.346,5.115,1.659,1.892
1991,2.004,1.97,3.482,4.139,9.193,11.923,4.225,3.162,2.506,2.307,0.32,1.875
1992,1.192,2.341,1.4,3.188,7.94,6.143,7.525,4.121,6.506,5.054,0.786,2.402
1993,3.05,3.862,2.523,5.616,9.245,9.478,6.826,3.672,5.711,1.97,0.415,0.51
1994,1.227,0.613,9.573,5.746,5.927,7.802,4.614,5.124,4.562,2.281,1.858,0.233
1995,0.613,2.013,0.501,1.797,3.767,8.398,7.716,5.642,7.068,1.65,1.495,0.536
1996,0.613,2.696,3.525,2.618,7.491,5.331,6.376,7.603,7.741,4.199,2.609,0.562
1997,0.726,1.607,2.912,5.374,6.048,6.255,6.117,5.754,5.953,2.117,1.132,1.071
1998,0.622,1.184,6.558,6.463,6.748,8.675,5.003,6.445,5.97,3.612,1.253,0.078
1999,0.095,0.579,1.089,0.19,14.748,4.873,7.309,3.836,1.685,3.966,2.436,2.644
2000,0.778,1.02,2.454,6.221,9.539,9.599,2.834,8.83,4.847,1.279,2.091,2.281
2001,0.968,2.1,1.356,1.495,8.104,5.322,4.527,5.063,8.07,4.467,3.18,1.797
2002,1.702,0.769,2.324,4.069,8.303,6.255,4.458,3.3,7.413,2.022,3.525,2.592
2003,1.858,1.21,2.566,3.3,4.484,10.835,4.821,1.771,3.404,5.642,0.13,1.123
2004,1.676,1.071,0.095,8.735,6.35,5.763,7.249,1.607,4.441,4.778,0.251,0.328
2005,0.968,0.665,7.517,0.613,2.989,7.698,3.672,5.443,2.514,3.352,2.436,2.108
2006,1.097,1.555,0.553,3.18,8.571,9.176,4.069,4.726,3.637,1.218,0.423,0.104
2007,0.899,2.264,1.555,8.225,6.679,14.792,4.959,4.026,7.931,8.027,1.65,0.622
2008,3.75,1.201,1.59,2.454,5.988,6.281,2.989,3.897,6.402,3.853,0.147,0.674
2009,0.043,1.348,2.773,2.583,6.022,8.407,4.216,5.581,6.601,3.024,1.08,0.821
2010,0.285,0.769,3.905,9.4,10.472,13.383,6.592,5.037,8.139,6.385,1.175,0.415
2011,1.218,0.605,2.635,2.652,12.632,4.372,6.013,7.508,3.793,5.512,2.436,0.76
2012,2.307,0.881,1.892,9.876,6.955,16.148,5.365,5.676,13.677,6.566,0.778,1.313
2013,1.14,2.195,3.067,9.746,18.274,11.569,9.668,11.75,12.632,11.353,1.365,1.365
2014,1.581,0.648,2.35,3.197,12.597,15.319,9.59,10.23,8.796,3.508,0.778,0.328
2015,0.622,0.458,0.415,10.981,6.592,10.843,10.826,7.759,13.936,4.45,0.432,1.702
2016,1.745,1.659,3.689,9.392,11.18,7.085,11.163,4.899,11.681,6.566,0.933,1.331
2017,1.348,0.907,6.402,10.549,12.442,11.569,4.061,8.519,8.476,8.51,0.933,0.337
2018,0.829,1.572,5.383,6.713,9.184,11.327,7.068,6.67,6.843,1.236,1.97,2.281
2019,0.657,2.799,3.871,6.852,9.107,9.53,6.342,5.823,8.623,6.013,1.547,1.166
2020,2.333,1.469,0.95,7.163,12.124,8.994,11.479,5.831,10.263,10.667,0.985,0.562
2021,0.72,0.613,3.118,2.02,9.795,11.253,14.207,7.695,13.143,4.316,0.538,2.02
2022,1.61,4.617,1.439,9.487,17.922,16.408,5.366,4.496,4.551,4.083,0.175,1.627
2023,0.114,1.875,6.023,4.38,5.669,12.335,9.586,11.878,7.737,7.497,1.787,1.906
