Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,294.18,297.01,299.58,303.63,305.85,301.19,299.51,299.35,299.41,298.72,295.4,292.62
1981,293.07,295.69,299.01,301.93,302.9,302.61,300.27,299.59,299.78,297.64,295.15,292.81
1982,295.03,295.93,299.29,302.64,303.1,302.09,301.37,299.1,299.21,298.28,295.86,293.46
1983,294.59,294.99,300.15,303.41,303.68,303.46,300.98,299.46,299.05,296.49,294.0,292.56
1984,292.96,294.74,299.23,302.91,305.82,302.11,299.45,298.4,298.13,297.15,293.28,292.34
1985,293.39,294.76,299.82,303.69,304.94,303.54,300.08,299.02,299.12,296.48,294.22,293.51
1986,292.0,295.06,299.84,303.47,303.75,303.17,300.13,299.27,300.11,298.19,295.73,294.45
1987,293.11,296.08,299.55,303.45,303.9,303.77,301.0,300.37,299.8,298.6,295.07,293.13
1988,294.09,296.63,299.93,303.22,304.43,302.91,299.87,299.76,299.78,297.49,294.91,293.13
1989,291.71,295.22,299.78,303.89,304.5,301.43,300.47,299.23,299.55,297.7,295.07,293.13
1990,292.54,296.12,298.13,302.82,301.41,300.89,299.66,299.77,299.27,296.94,294.5,291.66
1991,292.44,297.12,301.11,303.45,305.99,302.41,300.25,299.65,299.17,297.57,293.33,292.89
1992,291.76,295.31,299.6,303.6,303.56,302.63,301.19,299.3,299.4,298.15,295.94,291.77
1993,292.75,296.61,299.95,303.23,304.61,302.61,299.98,299.37,299.15,298.23,294.92,291.66
1994,293.1,296.01,301.24,303.55,305.34,302.17,298.86,298.87,298.39,297.72,294.94,291.28
1995,291.46,296.36,299.65,303.62,302.8,304.18,301.2,299.53,299.49,297.61,293.97,292.25
1996,293.48,296.32,301.09,303.35,305.63,301.98,300.93,299.65,299.94,298.18,294.17,291.33
1997,292.82,294.99,300.96,302.12,304.32,303.55,299.84,299.74,299.2,298.86,296.55,294.35
1998,293.15,295.67,298.4,302.84,304.96,303.85,300.64,299.99,299.57,298.35,295.56,291.86
1999,292.35,296.53,299.99,304.79,304.18,302.44,300.47,299.58,299.12,297.75,293.45,291.55
2000,292.24,294.89,299.14,303.12,303.88,301.05,299.63,299.95,299.68,299.0,295.86,290.82
2001,291.81,296.15,300.77,303.36,305.07,300.51,299.26,299.59,299.97,298.43,296.64,292.49
2002,293.74,295.67,300.27,303.7,305.36,302.76,302.73,299.75,299.32,298.48,295.29,293.56
2003,292.53,296.85,299.23,304.72,305.94,304.46,299.65,299.29,299.05,297.62,294.16,291.7
2004,292.5,294.07,299.49,302.97,303.93,302.09,300.53,299.13,299.48,297.94,294.48,293.0
2005,294.45,296.84,301.13,302.95,304.47,304.57,299.62,300.45,299.23,298.1,293.86,292.37
2006,292.72,296.96,299.57,302.74,302.93,302.45,299.98,299.01,299.51,299.0,294.8,291.97
2007,291.71,296.0,298.62,303.18,303.82,302.71,301.14,300.37,299.44,297.07,295.14,292.75
2008,292.71,294.01,300.16,302.26,304.83,300.61,300.84,299.32,299.04,297.98,296.23,292.97
2009,293.99,296.99,300.31,304.47,304.7,305.23,299.64,300.83,300.49,297.94,296.06,293.47
2010,293.1,295.86,302.14,305.42,304.15,303.04,300.44,300.28,299.3,298.76,296.74,291.87
2011,291.08,294.0,299.23,300.55,303.21,302.12,299.84,299.74,298.91,298.73,296.63,292.86
2012,292.63,295.93,300.39,302.93,304.55,305.01,300.0,298.98,299.06,297.19,294.03,292.25
2013,292.71,294.83,298.91,302.06,304.86,300.72,299.23,299.28,299.72,297.81,295.11,292.93
2014,294.18,294.99,299.02,303.03,302.89,303.85,300.85,300.58,299.16,298.57,295.02,291.54
2015,292.75,295.78,299.11,301.16,304.48,301.23,300.02,299.52,299.93,298.79,294.3,293.68
2016,293.61,298.12,300.64,304.21,303.19,302.09,299.18,299.32,298.85,297.36,292.85,291.68
2017,292.73,295.89,300.06,303.59,303.78,301.78,299.48,299.34,299.86,298.02,293.86,291.63
2018,290.79,295.7,300.74,301.48,302.41,302.19,300.0,299.29,299.08,297.71,296.13,292.36
2019,291.96,295.26,299.65,302.82,303.31,303.55,300.15,299.49,299.68,298.31,294.87,293.56
2020,292.19,293.96,297.59,300.75,302.306,301.007,301.179,299.57,300.644,297.837,295.747,292.52
2021,293.562,295.59,300.719,302.661,302.352,301.523,300.484,300.058,299.161,298.641,295.31,293.0
2022,292.005,294.184,300.376,303.182,303.256,302.902,300.131,299.699,299.444,296.884,293.284,293.179
2023,293.514,295.328,298.552,301.718,302.638,302.926,299.821,299.189,299.125,296.432,294.087,291.045
