Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,292.1,295.47,299.68,305.32,306.32,300.71,300.7,300.72,300.65,298.67,294.43,291.93
1981,291.77,293.86,299.37,302.43,303.36,303.01,301.21,300.98,300.53,297.28,293.98,290.39
1982,293.51,294.06,298.35,304.12,306.13,303.44,302.6,300.41,300.34,298.78,294.89,291.64
1983,293.21,293.51,299.29,303.8,305.66,305.22,302.36,300.64,300.16,296.79,293.57,290.28
1984,290.98,293.46,299.5,304.5,307.33,303.0,300.44,300.1,299.48,297.21,292.05,290.28
1985,292.15,294.27,300.48,305.99,307.04,305.32,300.95,300.43,300.33,296.67,293.62,292.12
1986,290.37,294.03,299.69,305.1,304.97,304.33,301.61,300.76,300.39,298.01,294.73,292.86
1987,291.29,295.12,299.84,304.63,306.51,306.15,302.63,301.84,301.03,298.52,294.19,290.53
1988,291.13,296.03,300.03,304.75,306.92,303.39,301.05,300.97,301.22,297.28,294.4,291.92
1989,290.14,294.82,300.61,305.19,305.8,303.05,301.4,300.16,300.67,298.02,294.17,291.14
1990,292.11,295.36,298.72,304.15,304.14,302.84,301.19,300.8,300.57,297.13,294.07,290.36
1991,291.07,296.15,301.0,304.68,308.74,304.69,301.68,301.08,300.37,297.23,292.8,291.79
1992,291.0,294.62,300.5,305.61,305.51,304.97,302.74,300.48,299.94,298.48,295.4,289.95
1993,292.29,297.17,299.59,304.29,306.53,303.95,301.38,300.58,299.88,298.38,294.1,290.18
1994,291.22,294.39,300.99,304.48,307.61,302.86,300.66,300.32,299.32,297.52,294.1,289.56
1995,289.43,295.48,299.17,305.8,305.64,305.82,302.3,300.8,300.56,297.96,293.14,290.63
1996,291.64,295.21,301.24,304.51,308.48,303.38,302.64,301.02,301.07,297.63,292.75,289.63
1997,291.08,294.59,300.74,302.73,306.79,305.75,301.42,300.85,300.16,298.1,295.94,292.38
1998,290.57,294.74,296.67,303.71,305.6,305.02,301.52,300.97,300.77,299.08,295.49,291.34
1999,290.96,295.31,299.47,306.42,306.34,304.13,301.86,300.67,300.07,298.62,293.46,291.08
2000,291.03,293.83,298.99,303.91,305.49,302.54,301.63,301.39,300.47,299.27,295.06,290.76
2001,290.35,295.77,300.41,304.95,306.35,301.38,300.39,300.99,300.53,298.81,296.05,291.1
2002,292.92,294.6,300.49,304.76,307.05,304.21,303.89,300.99,300.24,298.22,294.18,291.75
2003,290.6,295.3,299.03,305.25,306.92,306.1,301.33,300.82,300.28,298.29,293.2,290.29
2004,291.19,294.25,301.05,304.8,306.73,303.72,301.79,300.51,300.17,297.24,293.57,291.88
2005,292.3,295.65,301.78,304.41,306.06,307.54,301.32,301.67,300.62,298.66,293.24,290.67
2006,291.67,297.61,299.74,304.93,304.67,303.75,301.17,300.31,300.44,298.71,294.33,291.16
2007,290.65,295.96,298.67,304.75,305.11,304.48,301.84,301.41,300.56,297.06,294.04,290.03
2008,291.5,292.86,301.05,303.94,306.23,301.35,301.31,300.71,300.13,297.6,295.31,291.79
2009,293.02,295.56,301.02,305.97,305.45,306.73,301.23,302.0,301.23,297.02,294.2,291.19
2010,291.25,294.63,302.37,307.34,306.16,305.08,302.68,302.33,300.85,299.62,297.06,291.1
2011,290.24,294.93,300.98,302.53,304.91,303.08,300.98,300.72,300.03,298.23,296.01,290.04
2012,291.1,294.23,300.0,304.31,306.66,307.25,301.35,300.44,300.23,296.57,292.67,289.81
2013,290.29,293.55,300.39,304.25,306.35,302.17,301.08,300.55,300.77,298.51,293.47,291.23
2014,291.41,293.93,298.94,304.72,305.36,305.27,301.38,301.18,300.35,298.74,293.37,289.21
2015,291.07,295.21,299.47,302.34,305.83,303.54,300.95,300.96,301.6,299.68,295.18,293.05
2016,292.48,298.01,301.61,306.62,304.96,304.05,300.39,300.44,300.34,298.58,293.03,290.58
2017,291.49,295.4,300.15,304.74,304.68,303.22,300.79,300.89,301.36,299.17,293.11,289.93
2018,288.21,295.94,302.0,302.5,303.11,303.46,301.95,300.84,300.17,297.87,295.24,290.76
2019,291.68,294.98,299.17,304.26,305.3,304.92,302.33,301.07,300.88,298.3,294.23,291.3
2020,290.67,293.15,297.88,302.16,303.326,301.9,301.933,301.011,301.127,298.868,293.989,290.714
2021,290.788,295.343,301.943,304.608,303.249,303.024,301.53,300.703,300.437,299.159,294.012,291.82
2022,290.873,293.358,300.907,305.645,304.197,304.17,301.043,300.637,300.494,297.615,292.85,290.658
2023,291.773,295.459,299.583,303.154,304.43,304.893,301.166,300.338,300.207,297.201,294.011,290.066
