Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.25,298.74,300.42,302.32,301.78,297.55,296.5,296.33,297.5,297.86,296.61,295.83
1981,295.6,297.37,300.36,302.03,301.04,297.86,296.69,296.46,297.19,297.36,295.47,294.82
1982,295.97,298.15,301.28,302.71,300.68,298.72,296.5,296.46,296.72,297.52,296.31,295.41
1983,296.79,299.25,302.04,303.9,302.91,299.05,296.69,296.43,296.49,296.93,295.91,295.57
1984,295.97,296.37,297.98,299.47,301.85,297.17,295.98,296.11,297.63,297.15,296.41,295.04
1985,295.57,297.51,300.17,301.78,301.75,296.75,295.85,296.5,297.64,297.02,295.83,295.5
1986,295.32,297.59,300.27,303.36,302.22,298.78,297.08,297.28,298.03,298.19,296.83,296.3
1987,296.59,297.37,299.63,302.78,301.82,298.2,297.01,297.24,297.66,298.27,296.57,294.85
1988,295.48,298.82,300.77,301.28,301.74,298.01,296.62,296.87,297.45,298.19,296.22,296.14
1989,296.97,296.7,300.4,302.55,302.52,297.49,296.5,296.65,297.3,298.43,296.24,295.91
1990,295.11,298.62,300.97,303.64,299.73,297.75,296.53,296.46,297.14,298.06,296.72,295.27
1991,296.14,298.06,301.19,302.52,303.86,299.22,296.84,296.38,297.44,297.36,295.92,295.61
1992,295.29,299.13,300.29,302.73,302.0,299.61,296.75,296.46,297.2,297.23,296.4,294.54
1993,295.73,297.61,300.04,303.13,303.3,297.84,296.76,297.13,297.51,297.29,295.76,294.82
1994,295.98,298.59,300.61,301.46,302.48,297.83,296.89,296.61,297.27,297.23,295.76,294.54
1995,295.71,298.77,299.84,301.95,300.67,299.92,297.33,297.29,297.64,297.69,297.26,295.18
1996,296.63,298.19,301.05,301.21,302.62,299.5,296.97,296.18,297.6,297.05,296.04,294.23
1997,295.45,297.36,299.08,299.45,300.37,299.25,297.37,296.7,297.58,297.8,296.93,296.7
1998,296.75,298.88,301.18,302.1,302.71,298.41,297.16,297.49,297.65,297.16,296.62,295.19
1999,295.59,297.28,301.44,301.6,300.33,298.5,297.46,297.67,298.17,297.57,296.28,294.54
2000,297.21,297.83,300.22,301.96,300.69,298.03,297.42,297.07,298.29,297.33,296.33,294.33
2001,295.46,298.74,300.78,301.22,301.63,297.6,297.16,297.31,298.57,297.42,296.9,294.99
2002,296.37,297.05,300.59,302.82,301.96,299.59,298.67,297.57,298.78,297.66,296.68,295.79
2003,296.75,299.11,300.95,302.83,303.17,298.86,296.76,297.27,298.16,297.78,296.44,294.96
2004,295.78,297.32,300.65,302.92,299.49,297.74,297.06,296.9,297.89,297.53,296.05,295.58
2005,297.89,298.13,300.72,301.38,301.88,299.73,297.63,297.26,297.32,297.61,295.08,295.05
2006,295.89,296.98,300.69,302.04,301.36,298.97,297.28,296.89,297.56,298.41,296.82,295.04
2007,295.5,298.28,301.28,302.68,302.22,298.95,297.96,297.26,297.74,298.1,296.34,295.33
2008,296.04,297.34,297.84,300.88,300.64,297.5,297.73,297.73,297.69,298.07,296.96,295.47
2009,296.37,298.92,300.33,301.49,300.69,298.44,296.64,298.17,297.89,297.95,296.88,295.66
2010,296.3,298.63,300.9,301.73,301.49,297.89,297.06,296.88,297.63,297.49,296.16,294.05
2011,294.54,296.45,298.98,299.83,299.66,297.8,297.11,296.95,297.38,298.07,296.93,295.28
2012,296.63,298.79,301.41,301.67,301.2,298.49,297.3,297.34,297.88,297.82,297.22,296.24
2013,296.31,297.58,299.84,300.82,301.12,297.9,296.9,297.66,298.15,297.61,296.63,294.51
2014,295.6,297.93,299.0,300.63,300.7,299.07,297.65,297.78,297.67,297.81,295.65,294.94
2015,295.09,296.8,299.35,299.68,299.61,297.89,297.8,298.16,299.01,298.62,296.0,294.93
2016,295.65,298.57,301.39,303.03,301.68,298.18,296.47,297.36,297.33,297.87,297.09,295.88
2017,296.04,298.03,300.6,303.23,301.23,297.77,297.09,297.86,297.76,297.9,296.11,295.22
2018,296.26,297.48,299.35,300.84,300.43,298.42,296.92,296.92,298.35,297.86,296.82,296.2
2019,295.57,298.49,300.85,302.07,302.8,298.91,298.05,297.53,297.68,297.95,297.22,295.74
2020,296.78,298.85,299.8,301.71,301.821,298.125,297.197,297.144,297.586,297.591,297.048,295.126
2021,295.391,296.52,299.314,300.994,300.025,298.195,297.01,297.732,298.463,298.355,296.73,296.263
2022,296.778,297.771,299.281,300.966,299.72,297.751,296.948,297.294,297.963,298.039,295.974,295.976
2023,296.03,297.545,300.169,302.276,302.145,299.637,296.483,297.836,297.493,298.302,297.636,296.609
