Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,288.11,292.19,295.04,301.83,305.6,304.34,302.5,302.49,299.4,296.7,290.79,289.09
1981,287.81,291.14,296.25,302.82,305.89,306.5,301.57,301.2,299.53,295.71,290.69,288.03
1982,288.08,289.57,293.6,298.27,300.13,302.92,303.04,301.33,297.83,295.97,291.96,288.82
1983,287.18,288.32,294.28,297.75,301.22,303.25,301.66,301.76,299.18,291.04,288.62,286.95
1984,286.28,287.89,296.1,299.79,304.92,306.83,301.64,301.02,298.06,294.45,290.15,288.58
1985,286.81,290.62,295.27,301.3,303.24,302.46,300.86,301.37,300.15,291.74,289.74,289.3
1986,287.49,288.08,294.01,299.87,302.65,306.56,302.16,302.13,300.82,296.38,293.28,287.84
1987,288.24,292.16,295.81,300.54,301.45,305.02,303.66,303.82,301.59,296.33,291.63,289.72
1988,289.39,292.98,295.05,301.79,305.39,306.17,301.77,300.59,301.01,295.18,290.32,289.06
1989,287.15,290.09,294.31,299.3,305.88,307.76,303.94,302.7,301.47,296.32,292.11,288.62
1990,291.1,290.89,294.4,302.17,305.31,307.14,301.52,300.93,299.58,294.72,291.0,287.91
1991,287.6,291.22,295.83,300.34,304.79,305.41,306.46,302.24,299.35,295.38,290.9,289.17
1992,289.19,289.27,295.83,301.23,304.1,306.69,302.8,301.2,299.25,295.29,291.33,288.07
1993,287.9,291.81,294.49,300.64,305.5,305.2,302.14,302.19,298.24,294.87,291.79,288.44
1994,288.29,289.65,297.77,300.17,306.72,308.56,302.11,301.08,299.3,296.81,291.76,287.99
1995,286.56,290.79,295.04,300.6,304.25,306.81,303.26,300.47,299.38,296.43,291.04,289.03
1996,287.54,291.03,297.81,300.06,303.0,304.05,302.1,300.59,298.2,294.51,289.97,287.71
1997,286.69,289.19,295.21,299.88,303.43,300.96,301.46,300.61,299.47,294.33,291.3,287.14
1998,286.71,290.26,293.0,299.8,304.97,305.76,301.96,301.03,300.57,294.38,291.54,288.88
1999,288.19,291.87,296.61,302.26,304.96,304.63,302.61,301.68,300.48,295.35,291.22,287.38
2000,287.85,287.65,293.33,298.04,304.93,304.57,302.5,302.14,300.77,297.51,292.45,288.79
2001,287.56,291.46,295.66,300.85,304.34,304.19,301.96,302.73,301.73,297.87,292.34,289.54
2002,288.91,291.21,296.57,301.2,305.21,307.22,305.72,301.82,299.63,296.7,292.6,289.24
2003,288.48,290.44,295.95,301.82,304.12,307.56,301.39,301.71,299.42,294.02,290.15,288.57
2004,287.85,290.96,296.96,301.3,304.83,304.47,302.79,301.12,301.18,293.47,291.05,289.48
2005,287.6,290.88,295.68,299.11,302.22,307.61,300.94,302.11,300.62,296.72,291.61,288.04
2006,289.37,294.39,294.75,300.1,304.4,304.07,302.41,301.42,300.68,298.24,292.62,289.66
2007,288.23,290.47,294.16,300.77,303.9,306.11,301.67,301.02,300.05,294.74,291.53,288.66
2008,288.15,290.04,297.79,300.71,303.76,301.98,301.48,300.49,299.0,295.73,291.28,289.41
2009,290.15,291.79,295.65,300.9,304.47,308.65,303.21,301.96,300.47,295.17,290.74,288.56
2010,288.93,290.74,297.69,302.49,305.71,306.83,302.98,301.5,299.33,298.01,293.48,288.83
2011,287.56,290.78,296.35,298.63,304.65,306.22,301.33,299.93,299.71,296.03,293.19,287.57
2012,286.08,289.24,294.61,298.61,304.58,309.35,304.8,300.97,299.76,296.32,291.2,288.4
2013,286.02,289.27,295.51,300.21,305.13,304.71,302.68,301.08,300.35,297.1,291.49,288.9
2014,287.5,289.9,294.15,299.5,304.1,308.65,304.76,302.51,301.06,297.24,292.49,287.4
2015,287.39,291.87,293.68,299.27,304.36,306.01,301.91,300.98,301.23,298.69,294.22,288.07
2016,288.53,291.92,296.37,303.34,306.19,305.29,301.25,300.82,300.49,297.77,292.76,289.66
2017,288.46,292.06,296.9,303.42,306.67,306.77,302.29,301.02,300.88,298.2,292.47,290.13
2018,288.19,292.85,298.2,301.56,305.67,307.33,303.3,301.52,299.0,295.91,292.39,287.79
2019,287.29,290.35,294.72,300.71,303.67,306.34,302.59,301.56,300.41,296.14,293.1,287.03
2020,287.13,289.91,292.94,297.38,300.893,303.44,302.36,301.805,302.415,298.81,293.441,291.076
2021,290.593,294.758,300.201,304.433,304.835,306.064,304.899,303.456,300.75,298.653,293.716,290.65
2022,287.938,290.461,299.742,306.399,307.625,308.394,302.008,300.709,300.015,296.543,292.643,289.039
2023,288.127,292.816,296.122,300.658,302.633,304.102,301.202,300.326,299.965,297.333,292.731,288.764
