Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.84,298.39,300.54,302.26,304.06,302.33,301.34,301.23,301.41,301.06,298.81,296.74
1981,295.71,297.99,300.1,301.86,302.67,302.46,301.45,301.21,301.37,301.04,298.91,296.2
1982,297.13,297.54,299.85,302.02,302.6,302.23,301.64,300.96,301.47,301.24,298.93,297.17
1983,297.05,296.96,300.66,302.59,303.12,303.06,302.11,301.37,301.03,299.42,297.63,295.93
1984,295.27,296.5,299.74,301.67,303.03,302.16,300.85,300.68,300.64,300.22,297.39,296.11
1985,295.82,297.84,300.5,302.16,302.72,303.11,301.3,300.96,300.9,299.6,298.03,296.79
1986,295.43,297.24,300.15,301.9,302.7,302.94,301.53,301.04,301.75,300.32,299.05,296.91
1987,296.11,297.53,299.76,301.94,302.71,303.17,302.13,301.59,301.5,301.17,298.48,296.66
1988,296.97,298.23,300.57,302.35,303.24,303.13,301.42,301.38,301.56,300.78,298.48,297.37
1989,295.9,297.79,300.1,301.85,302.12,301.51,301.3,300.73,301.42,300.77,298.95,296.41
1990,296.84,297.82,299.22,301.8,302.17,302.37,301.36,301.16,301.35,300.03,298.32,296.11
1991,295.51,298.75,301.05,302.19,303.04,302.75,301.65,301.56,301.66,300.55,298.05,296.31
1992,295.44,297.51,300.5,301.97,302.39,302.46,301.85,301.12,301.57,301.12,298.94,296.25
1993,296.26,297.76,300.0,301.84,302.81,302.69,301.52,301.38,301.32,300.89,298.63,296.3
1994,296.22,297.36,300.67,302.07,303.49,302.36,301.08,300.79,300.92,300.99,298.56,296.1
1995,295.1,297.75,300.3,302.67,302.53,302.98,302.03,301.17,301.71,300.37,297.56,296.24
1996,296.06,297.56,300.6,301.97,303.42,302.3,301.63,301.08,301.71,300.92,298.74,296.43
1997,295.65,297.27,300.32,301.14,303.04,303.31,301.55,301.17,301.17,301.36,299.65,296.77
1998,295.83,297.77,299.34,302.46,303.62,303.56,302.31,301.69,301.79,301.28,299.1,296.71
1999,296.18,298.58,301.12,302.55,302.7,302.41,301.62,301.2,301.06,300.38,297.76,296.14
2000,295.8,296.65,299.84,301.85,302.98,301.92,301.56,301.56,301.71,301.89,299.81,296.63
2001,295.24,298.02,300.66,302.46,303.35,302.12,301.15,301.29,301.9,301.4,299.74,296.97
2002,296.12,297.19,300.12,301.74,303.24,302.85,303.18,301.54,301.34,301.44,298.93,297.28
2003,295.51,297.14,299.17,302.23,303.24,303.3,301.14,301.11,300.95,300.54,298.33,295.57
2004,295.36,296.96,300.08,301.43,302.71,302.7,301.97,301.09,301.37,300.2,298.81,296.67
2005,295.96,297.75,300.28,301.46,302.69,303.18,301.33,301.66,301.33,300.84,298.3,296.17
2006,296.24,298.25,300.03,301.68,302.64,302.47,301.8,300.91,301.17,301.72,298.7,296.91
2007,295.73,297.34,299.22,301.72,302.99,302.73,302.12,301.67,301.46,300.35,298.59,296.17
2008,295.44,296.14,299.83,301.37,303.44,302.03,301.33,301.09,301.4,301.15,299.2,297.84
2009,296.99,298.89,300.54,302.29,302.56,303.48,301.41,301.74,301.93,300.98,298.89,297.03
2010,296.47,297.6,301.39,302.91,302.71,302.97,301.47,301.38,301.6,301.49,300.06,296.38
2011,295.51,296.95,299.97,300.57,302.7,302.67,301.34,301.34,301.06,301.33,299.44,295.73
2012,294.6,296.91,300.37,301.55,302.84,304.02,301.29,300.45,300.69,300.26,297.72,295.4
2013,294.99,296.26,299.3,301.34,302.59,301.89,301.06,300.98,301.08,300.24,297.87,296.35
2014,295.62,296.45,299.23,301.93,302.53,303.63,302.21,301.73,301.24,301.25,298.89,295.24
2015,295.35,297.13,299.58,300.93,302.58,302.12,301.56,301.33,301.79,301.53,298.76,296.49
2016,296.02,298.32,300.17,302.24,302.34,302.14,301.28,301.27,301.2,300.89,298.03,296.44
2017,295.99,297.61,299.61,301.35,302.54,302.55,301.33,301.36,301.61,301.04,298.26,295.86
2018,294.81,297.12,299.92,301.1,301.8,302.47,301.59,301.08,300.98,300.74,298.98,295.82
2019,295.0,296.75,299.25,301.68,302.1,302.81,301.79,301.3,301.09,300.91,298.87,296.21
2020,294.56,296.0,298.98,301.07,301.807,301.971,302.157,301.548,302.068,300.782,299.165,296.396
2021,296.181,297.827,300.155,301.028,302.302,302.435,301.925,301.629,301.442,301.314,298.467,296.305
2022,294.918,296.386,300.085,301.241,301.97,302.032,301.397,301.452,301.583,300.331,297.483,296.573
2023,295.995,297.979,299.633,301.233,302.133,302.601,301.378,301.226,301.301,299.904,297.672,294.486
