Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.24,297.89,299.9,302.41,302.74,297.89,297.06,296.99,298.27,298.47,297.36,296.34
1981,296.05,297.44,300.41,302.23,302.1,299.04,297.51,297.24,298.03,298.01,296.3,295.8
1982,295.96,298.21,300.8,303.07,301.94,299.56,296.81,296.89,297.42,297.79,297.16,296.11
1983,296.99,300.26,301.85,304.11,303.71,299.95,296.93,297.06,297.11,297.63,296.64,296.06
1984,296.44,296.48,297.67,300.01,302.76,297.64,296.51,296.95,298.37,298.1,297.38,295.22
1985,295.83,297.51,299.56,302.81,302.72,297.11,296.45,297.29,298.3,297.57,296.53,295.93
1986,295.57,297.28,299.79,302.73,303.24,300.14,298.24,298.44,299.33,299.09,297.44,296.92
1987,296.91,297.19,299.68,302.72,302.34,299.21,297.56,297.8,298.36,299.02,297.59,295.79
1988,295.89,298.34,300.8,301.41,302.92,298.48,297.26,297.69,298.43,298.75,296.94,296.55
1989,296.87,296.99,299.47,302.7,303.78,297.97,297.2,297.3,298.28,298.98,297.02,296.17
1990,295.41,299.12,301.48,303.72,300.31,298.69,297.37,297.33,298.35,298.7,297.32,295.97
1991,296.31,297.96,300.99,302.8,304.49,300.37,297.79,297.68,298.48,298.38,296.77,296.26
1992,295.56,299.31,300.23,302.62,303.29,301.06,297.92,297.52,298.57,298.17,297.23,295.21
1993,295.75,297.79,299.73,302.91,304.15,298.6,297.28,298.46,298.41,298.22,296.61,295.78
1994,296.04,298.11,300.18,302.05,303.42,298.76,298.11,297.99,298.92,297.97,296.75,295.23
1995,295.99,298.54,299.81,302.24,301.74,300.71,298.1,298.13,298.35,298.39,297.64,295.76
1996,296.49,297.7,300.56,301.36,303.59,300.54,297.84,297.17,298.57,297.93,296.94,294.94
1997,295.5,297.12,299.62,299.66,301.17,300.82,298.23,297.7,298.47,298.5,297.7,297.2
1998,297.15,299.33,301.15,302.68,303.64,299.47,298.35,298.74,298.75,298.28,297.63,296.23
1999,296.25,297.81,301.27,302.45,302.03,300.68,299.13,299.56,299.67,298.59,297.47,295.79
2000,297.35,298.69,300.26,302.53,302.23,299.05,299.13,298.43,299.63,298.41,297.26,295.51
2001,295.99,298.28,300.75,301.47,302.65,298.23,298.23,298.68,299.83,298.09,297.53,295.61
2002,296.09,296.73,300.1,302.44,302.93,301.06,301.0,299.15,300.86,298.88,297.65,296.66
2003,297.01,299.17,300.86,303.14,304.42,299.97,297.31,298.12,299.36,298.28,297.1,295.57
2004,296.01,297.02,299.91,303.29,300.15,299.02,298.05,298.31,299.05,298.39,296.97,296.1
2005,297.65,298.21,301.09,301.31,302.66,301.07,299.11,298.65,298.65,298.37,296.31,295.71
2006,295.99,297.03,300.38,302.33,301.86,300.04,299.03,297.99,298.92,299.01,297.4,295.62
2007,296.11,298.31,300.75,302.55,303.63,299.96,299.71,298.62,298.87,298.96,297.0,296.03
2008,296.37,297.53,298.35,301.14,302.12,298.68,298.85,298.45,299.0,298.58,297.57,296.07
2009,296.34,298.22,300.2,302.6,301.72,299.59,297.76,299.24,298.94,298.72,297.72,296.25
2010,296.44,298.21,300.87,302.43,302.71,298.97,297.85,297.89,298.54,298.32,296.99,295.13
2011,295.02,296.87,298.89,300.24,300.95,298.53,297.94,297.77,298.41,298.5,297.63,295.99
2012,296.14,298.4,301.3,301.94,302.56,299.5,298.64,298.82,299.16,298.72,297.76,296.46
2013,296.21,297.43,300.04,301.74,302.77,299.58,298.1,299.06,299.48,298.64,297.08,294.93
2014,295.52,297.52,298.87,301.56,302.23,301.41,299.07,299.2,298.65,298.89,296.67,295.53
2015,295.63,297.0,299.33,300.52,300.84,299.21,299.22,299.12,299.99,299.35,296.88,295.39
2016,295.41,298.37,301.26,303.81,303.02,299.45,297.5,298.92,298.49,299.19,297.75,296.27
2017,296.22,297.35,300.17,304.27,302.49,298.74,298.37,299.11,298.61,298.68,296.94,295.81
2018,296.0,297.28,299.56,301.8,301.66,299.34,297.89,298.18,299.47,298.72,297.36,296.62
2019,295.69,298.4,301.32,302.98,304.05,299.72,298.81,298.03,298.37,298.64,297.93,296.49
2020,297.08,298.75,299.96,301.91,302.843,298.534,298.189,298.173,298.352,298.44,297.739,295.78
2021,295.978,296.803,299.618,301.585,301.076,299.215,298.102,298.922,299.729,299.371,297.479,296.517
2022,296.883,297.619,299.459,301.417,301.24,298.91,297.889,298.61,299.181,298.74,296.646,296.579
2023,296.092,297.174,299.91,302.391,303.212,301.069,297.332,299.26,298.683,299.127,298.335,296.947
