Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,289.36,294.13,297.58,305.35,308.86,308.39,304.88,304.58,302.23,300.05,292.78,289.74
1981,289.39,293.03,298.16,304.83,308.68,310.45,303.27,302.56,303.28,298.42,292.82,289.67
1982,289.43,291.06,295.45,300.69,302.77,306.84,305.06,302.93,302.03,299.57,294.42,290.65
1983,288.71,291.49,296.82,301.33,304.97,307.19,303.89,303.57,301.93,295.42,291.24,289.01
1984,288.02,289.25,298.72,303.1,308.59,310.82,304.22,302.05,299.91,297.15,292.59,289.58
1985,288.74,292.21,298.38,304.46,307.11,304.74,302.27,302.57,302.55,293.93,292.34,291.0
1986,289.27,290.47,296.86,303.38,306.18,309.44,303.83,304.04,304.18,299.36,295.67,289.16
1987,289.9,294.39,299.21,304.14,304.71,307.78,306.19,306.5,304.78,300.33,293.64,291.15
1988,290.96,294.7,297.78,305.87,309.97,309.64,304.26,302.43,303.64,298.39,292.68,290.95
1989,288.3,292.1,297.8,303.06,308.05,309.9,306.63,305.22,304.42,299.49,294.19,290.22
1990,292.42,293.07,296.87,304.5,309.21,310.17,304.05,302.55,301.77,297.54,293.15,288.99
1991,289.13,293.03,298.35,303.32,308.4,309.2,309.87,304.12,302.19,298.32,293.17,291.16
1992,290.73,291.36,297.55,303.4,307.66,310.73,304.81,303.02,301.11,298.18,293.01,290.09
1993,289.52,294.13,296.61,303.61,308.74,308.74,304.23,304.8,300.82,297.88,293.87,289.65
1994,290.15,292.11,299.63,302.97,309.11,310.51,303.95,302.55,300.56,298.59,293.36,289.22
1995,287.82,292.65,297.28,303.52,307.99,309.82,305.79,301.66,301.74,298.97,292.49,290.49
1996,289.09,293.12,299.57,303.53,306.21,307.15,304.12,302.51,300.38,296.91,291.42,288.28
1997,287.83,291.1,297.53,301.92,305.8,302.82,304.06,302.13,301.5,295.88,292.06,288.01
1998,287.94,291.53,295.13,303.08,308.13,308.53,304.0,303.46,303.24,297.67,293.61,290.64
1999,289.83,293.0,298.7,304.37,307.74,308.4,304.49,303.74,303.02,297.69,293.24,289.01
2000,289.47,289.98,296.01,301.29,308.95,307.96,304.56,304.58,303.66,299.86,294.2,290.35
2001,289.13,293.04,298.11,303.29,307.6,306.5,303.32,304.52,303.49,299.51,294.0,291.53
2002,290.23,292.72,298.69,304.02,309.1,310.8,308.32,304.84,302.44,299.88,294.39,291.19
2003,290.14,292.77,298.59,304.41,306.81,310.58,303.25,303.5,301.51,296.68,292.21,290.49
2004,289.82,293.07,299.89,303.93,308.01,307.84,306.68,302.87,303.96,296.22,293.4,291.22
2005,288.82,292.44,297.88,302.0,305.19,310.13,302.52,304.74,302.77,298.13,293.25,289.22
2006,290.64,296.82,297.09,303.1,308.02,307.11,304.69,302.96,302.15,299.71,294.24,290.4
2007,289.92,292.92,296.13,303.72,306.93,308.93,303.97,302.87,301.47,297.15,293.74,289.96
2008,289.06,291.87,300.14,303.28,306.74,305.52,304.76,303.15,301.94,298.69,292.98,291.25
2009,291.66,294.03,298.61,303.62,307.98,310.76,305.18,304.71,303.42,298.55,293.42,291.1
2010,291.1,293.35,300.56,305.88,309.11,309.13,304.75,303.73,300.79,299.65,294.22,289.44
2011,288.73,292.65,298.53,301.17,307.64,309.12,303.2,301.71,300.86,297.53,294.27,288.25
2012,287.7,290.81,296.72,301.24,307.14,311.0,307.4,302.58,301.18,297.78,292.17,289.4
2013,286.83,290.34,297.64,302.55,308.31,308.11,305.18,303.0,302.72,298.98,292.99,289.62
2014,288.95,291.56,296.29,302.73,306.8,311.14,307.56,305.31,302.86,299.73,294.46,288.49
2015,288.76,294.12,295.67,302.18,308.02,308.42,304.05,303.15,303.04,300.75,296.38,289.89
2016,290.14,293.25,298.8,306.14,309.93,308.73,303.36,302.57,303.39,299.78,294.28,290.62
2017,289.93,293.69,299.32,306.81,309.53,308.9,304.41,303.73,302.93,300.26,294.21,291.55
2018,289.31,295.13,301.28,305.85,309.61,310.27,305.89,304.5,300.88,298.75,295.0,289.75
2019,289.14,292.01,297.25,303.9,306.16,309.94,304.51,303.07,302.72,298.74,295.28,288.09
2020,288.38,292.0,294.21,298.02,302.653,305.516,304.732,303.607,303.986,300.672,294.732,292.002
2021,291.577,297.159,302.397,306.519,307.321,308.65,307.76,306.09,302.994,300.626,295.838,291.996
2022,289.62,293.322,302.401,308.871,310.406,310.424,303.43,301.909,302.603,298.392,294.286,290.063
2023,288.825,295.418,298.1,302.818,305.405,306.334,303.072,302.444,302.431,299.531,294.687,289.816
