Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.51,299.13,299.76,304.52,306.06,300.25,297.88,297.05,298.18,298.83,295.6,293.37
1981,293.46,298.11,300.34,304.51,304.58,300.79,297.31,296.25,297.5,296.06,293.21,292.61
1982,295.07,297.5,300.31,302.51,303.8,301.13,298.25,297.05,297.39,298.51,295.94,294.84
1983,294.89,296.86,301.04,304.93,307.08,303.12,298.19,297.78,297.3,295.52,292.44,293.02
1984,295.19,296.33,301.1,304.14,306.87,301.59,297.66,296.92,298.2,298.28,295.08,294.27
1985,297.13,297.74,302.22,305.42,305.81,300.27,297.62,297.04,298.98,296.16,294.81,294.99
1986,294.14,297.56,302.0,304.65,306.39,300.34,297.69,297.5,299.28,298.63,296.52,295.71
1987,295.57,297.79,301.36,305.07,305.12,300.58,297.55,297.46,298.63,297.04,294.84,291.94
1988,295.45,297.95,301.15,304.09,306.28,301.75,297.71,298.0,297.72,296.56,293.34,292.53
1989,295.58,295.31,300.26,303.89,305.62,300.33,298.56,297.14,298.29,298.89,296.75,294.47
1990,295.33,297.53,301.3,305.21,304.18,298.57,297.41,297.47,298.26,296.66,295.05,294.07
1991,295.48,298.64,301.65,304.71,307.61,301.34,298.24,297.13,299.37,298.29,295.14,294.67
1992,294.28,296.43,300.9,305.51,306.65,303.29,299.05,297.3,298.16,298.0,295.4,292.41
1993,294.65,295.93,300.39,304.24,306.23,302.54,298.01,297.45,297.37,297.48,294.41,291.81
1994,295.47,297.89,302.37,303.77,306.87,299.94,297.4,297.04,297.79,297.64,294.74,292.45
1995,292.91,297.78,301.63,304.38,304.6,303.88,298.49,298.09,298.17,296.78,294.49,293.59
1996,296.27,298.8,302.58,304.14,306.58,302.81,298.01,296.75,297.58,296.18,293.29,291.89
1997,293.4,294.9,300.52,302.27,304.82,300.15,297.05,296.62,297.02,297.62,295.88,295.3
1998,295.26,296.61,300.83,304.36,306.6,301.82,298.34,297.7,297.3,297.2,294.36,291.47
1999,293.22,298.66,301.62,304.63,303.94,300.0,297.57,297.41,297.84,297.04,295.39,292.97
2000,295.47,297.19,300.34,305.95,304.15,299.56,297.77,297.85,299.12,299.22,295.72,292.8
2001,294.78,297.5,302.12,304.64,305.14,299.79,297.55,297.66,299.59,297.22,296.18,293.75
2002,294.79,299.32,302.33,305.73,306.63,301.06,298.66,297.26,298.91,299.73,296.36,295.75
2003,296.35,300.37,302.18,305.46,306.84,302.42,298.45,297.84,297.99,297.25,296.73,293.8
2004,294.93,297.17,301.56,305.18,303.69,300.0,297.66,296.97,297.99,296.76,295.24,293.55
2005,295.2,298.26,300.42,303.85,305.22,301.68,297.64,297.45,297.62,296.89,292.58,292.55
2006,293.72,297.58,300.21,304.17,304.69,300.84,297.23,297.3,299.02,298.61,295.63,293.18
2007,293.89,297.89,301.46,304.71,306.11,301.07,298.8,297.51,297.74,297.33,295.43,294.92
2008,294.84,296.61,301.04,304.91,306.4,300.19,298.68,296.98,297.2,297.24,295.34,293.75
2009,296.17,299.87,301.0,304.03,306.01,302.11,297.8,298.87,299.38,298.05,295.91,294.94
2010,294.89,298.89,303.1,305.36,307.12,301.88,298.48,298.01,297.96,297.53,295.61,292.97
2011,292.85,296.11,300.79,302.16,303.94,299.33,297.67,296.95,296.81,297.34,296.26,293.77
2012,294.82,297.86,300.29,304.77,306.05,301.73,298.3,298.08,297.77,298.16,296.93,296.21
2013,296.66,299.01,301.71,304.87,306.83,298.7,296.87,296.93,298.42,296.81,294.74,291.95
2014,294.54,296.06,298.9,302.19,301.13,300.55,298.32,298.24,297.87,297.93,294.44,293.27
2015,293.77,296.84,299.65,302.02,303.16,299.54,298.25,297.69,298.66,299.02,296.01,294.88
2016,294.16,298.95,301.67,305.31,305.32,299.98,296.69,296.57,296.74,295.36,293.6,292.53
2017,294.85,297.5,300.99,304.41,305.93,299.47,297.05,296.76,298.64,297.26,294.33,292.59
2018,293.09,297.11,301.65,304.09,305.91,299.72,297.33,296.89,298.21,297.55,296.19,294.3
2019,294.18,298.88,301.84,305.16,307.26,302.14,298.25,297.29,297.14,297.25,295.55,294.57
2020,295.27,296.95,299.29,303.09,304.809,299.412,298.814,297.378,298.673,297.133,294.841,293.314
2021,296.177,296.429,300.729,302.892,300.411,299.113,298.585,298.376,297.695,297.241,295.583,294.7
2022,293.77,297.28,301.452,304.419,304.691,301.885,297.311,297.494,297.988,296.539,294.012,295.592
2023,295.824,296.307,299.738,302.915,304.154,300.578,297.145,296.763,297.59,296.796,295.38,292.133
