Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,292.45,294.25,299.64,306.14,311.34,304.94,299.99,300.44,299.31,296.98,291.17,288.27
1981,288.43,292.39,297.95,303.49,307.19,306.62,300.63,300.24,300.47,295.95,291.18,288.66
1982,291.8,292.38,296.07,302.75,305.55,306.24,303.16,299.9,299.32,297.69,293.1,290.31
1983,289.42,291.06,297.27,302.05,306.6,306.59,302.03,300.26,299.83,291.28,288.92,288.25
1984,288.82,290.64,298.06,302.82,308.19,306.51,300.48,299.19,298.03,294.76,290.21,288.66
1985,289.77,291.39,297.59,302.76,307.68,306.1,300.45,300.02,300.08,295.83,291.17,290.04
1986,289.81,290.91,296.83,303.33,306.0,306.67,300.44,300.3,300.86,296.67,293.11,289.95
1987,289.8,293.97,297.68,302.84,305.91,307.3,302.57,301.84,300.43,296.81,291.92,288.68
1988,290.86,295.21,298.43,305.1,309.75,307.49,301.54,300.65,301.3,295.39,291.04,288.92
1989,288.44,293.05,296.77,302.42,307.26,306.34,302.18,300.38,300.66,296.64,292.8,288.73
1990,292.06,293.78,297.21,304.25,307.16,305.87,300.55,300.42,299.16,296.08,291.35,288.61
1991,289.82,294.97,298.94,302.56,308.33,306.26,302.92,300.09,299.25,295.34,291.3,290.64
1992,290.24,292.22,298.13,303.13,307.15,307.85,303.6,300.46,299.07,296.75,293.3,288.46
1993,289.68,293.65,296.96,303.96,309.92,307.53,302.12,301.53,299.04,296.19,291.81,287.63
1994,291.15,292.16,298.78,303.28,308.86,307.25,300.22,299.72,298.09,296.12,291.34,287.41
1995,288.01,292.66,296.84,302.99,306.81,309.37,303.33,300.08,299.28,297.13,291.44,290.02
1996,290.09,293.11,299.2,302.6,306.62,306.7,301.94,299.81,299.91,296.23,290.77,286.67
1997,288.85,291.33,298.84,302.71,306.88,305.49,300.83,300.02,299.55,296.82,293.75,290.17
1998,288.61,292.3,294.81,303.53,307.88,306.48,301.72,301.2,300.04,297.01,292.09,288.67
1999,289.27,294.22,298.12,303.96,308.76,306.06,302.95,300.49,299.4,296.29,291.33,288.04
2000,289.7,292.24,297.2,303.14,307.85,304.86,301.49,301.95,300.7,298.73,293.08,288.72
2001,289.39,293.45,298.77,304.04,309.11,304.08,300.64,301.79,301.25,298.03,293.16,290.51
2002,291.12,293.9,299.03,305.13,308.62,307.56,304.89,300.66,299.45,297.83,292.82,291.1
2003,289.31,293.72,298.18,304.62,307.82,309.4,301.36,300.09,299.16,295.03,292.14,289.99
2004,290.49,292.12,299.06,304.88,307.82,305.13,302.18,300.05,301.11,296.4,292.31,290.15
2005,290.22,293.61,298.9,301.1,306.09,309.15,300.52,300.9,299.72,296.51,291.32,288.38
2006,290.24,295.37,297.49,303.96,308.02,306.71,300.68,299.65,299.8,299.0,294.33,290.55
2007,288.82,294.42,297.35,304.57,308.26,307.7,301.03,301.02,300.24,295.38,292.51,289.74
2008,290.91,291.43,300.37,302.67,307.44,302.17,301.19,300.64,300.22,297.41,293.02,290.27
2009,292.14,294.24,298.91,304.52,308.63,310.42,301.23,302.41,301.19,297.08,292.37,291.35
2010,290.46,293.67,301.01,305.59,309.85,308.69,302.46,301.52,299.64,297.53,294.35,289.25
2011,289.15,292.75,298.97,301.43,308.33,306.37,300.81,300.13,299.42,296.62,293.74,287.86
2012,289.17,292.42,297.3,303.36,307.34,309.18,302.91,300.35,299.83,297.66,292.15,290.53
2013,288.88,293.83,297.92,303.14,309.28,304.6,301.0,300.28,300.19,297.22,292.8,290.62
2014,290.45,292.89,297.18,302.58,307.22,308.51,303.21,301.68,299.79,298.26,293.65,288.96
2015,289.28,294.83,296.73,303.09,308.72,306.12,302.07,301.11,300.96,300.36,296.7,291.36
2016,291.38,296.23,299.77,307.31,309.2,306.4,300.34,299.6,300.03,297.59,292.32,288.88
2017,290.98,293.83,299.72,306.7,308.98,306.59,301.25,300.38,300.81,299.6,293.22,290.2
2018,288.53,295.35,301.35,304.49,309.28,307.09,302.1,301.1,299.87,299.01,295.06,290.85
2019,290.53,294.86,298.4,305.29,308.72,308.57,303.1,300.71,300.41,297.18,294.18,290.1
2020,289.35,292.02,296.2,301.46,304.158,302.864,302.744,300.332,300.864,297.941,293.116,290.153
2021,290.389,294.724,301.67,305.114,306.04,304.41,303.027,301.052,300.059,297.851,293.214,291.944
2022,289.51,292.299,300.06,306.928,308.992,307.605,301.401,299.868,300.116,297.247,292.224,290.346
2023,290.076,293.479,298.52,302.937,305.426,304.302,300.893,299.726,299.846,297.063,293.335,288.744
