Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,288.43,293.7,297.47,305.73,309.86,310.15,306.38,306.31,304.05,301.76,293.24,288.97
1981,289.11,292.74,298.29,304.63,309.98,311.69,303.96,303.62,305.28,299.32,292.93,289.51
1982,288.99,290.69,295.38,301.42,304.27,308.9,306.2,303.96,304.66,301.72,295.49,290.43
1983,288.39,291.89,297.02,302.1,307.3,309.3,305.02,304.21,303.0,297.75,291.63,289.09
1984,288.12,288.75,298.8,303.5,310.36,311.72,305.89,303.47,301.32,297.65,293.08,288.7
1985,288.87,292.02,298.17,304.6,308.56,307.44,303.43,303.83,303.9,296.54,293.86,290.61
1986,288.77,290.73,297.52,304.14,307.12,310.04,304.55,304.82,305.86,300.46,295.25,288.15
1987,290.13,294.03,299.82,304.7,305.43,308.57,306.87,307.67,306.81,301.88,293.45,290.32
1988,290.6,294.35,297.95,306.01,311.64,311.53,305.99,303.6,304.82,299.2,292.62,289.97
1989,287.76,291.25,298.28,303.19,307.93,310.85,307.09,306.03,305.51,299.87,294.17,289.7
1990,291.49,293.36,296.96,303.88,310.53,311.01,306.04,303.82,303.5,299.25,293.53,288.9
1991,288.52,292.86,298.1,303.64,309.51,311.04,310.87,305.28,304.0,299.37,293.28,291.09
1992,290.48,291.16,297.09,302.62,308.02,312.35,306.32,303.74,301.92,298.85,292.57,290.19
1993,289.17,294.35,296.32,303.63,310.0,310.54,305.38,306.38,302.97,300.07,293.77,288.88
1994,290.35,292.55,299.57,302.79,309.21,311.2,305.05,303.84,300.79,298.32,293.21,288.6
1995,287.28,292.41,297.13,303.19,308.41,311.05,306.89,302.18,303.19,300.11,292.45,289.82
1996,288.49,293.0,299.28,303.97,307.2,308.46,305.44,303.87,301.76,297.7,290.74,287.29
1997,287.26,290.9,297.36,301.88,306.56,303.97,304.88,303.04,302.92,296.72,291.78,287.51
1998,287.56,291.05,295.47,303.98,308.74,309.54,306.25,305.63,304.52,299.14,293.14,290.1
1999,290.01,292.78,298.93,304.82,309.36,310.78,306.13,305.73,305.51,299.68,293.71,288.6
2000,289.82,291.47,296.83,303.47,310.25,310.32,305.82,306.53,305.67,300.73,294.01,289.78
2001,288.45,292.14,298.18,303.97,309.4,308.18,304.77,306.05,304.49,300.24,293.44,291.43
2002,289.43,292.37,298.29,304.88,311.0,312.23,309.92,307.61,304.55,301.63,294.48,290.87
2003,289.94,293.08,298.42,304.96,307.56,311.84,304.87,304.54,303.74,298.53,292.18,290.29
2004,290.62,292.82,299.44,305.14,309.2,309.39,309.19,304.14,306.07,298.34,293.67,290.74
2005,288.23,291.92,298.3,301.96,305.96,310.81,304.01,306.63,304.24,299.11,293.61,288.47
2006,289.5,297.03,297.76,304.23,310.65,308.93,306.66,304.04,303.07,300.95,295.0,289.56
2007,288.82,293.68,296.25,305.04,308.86,309.97,305.82,304.74,302.26,297.28,293.83,289.2
2008,287.92,290.75,299.55,302.97,308.35,307.86,306.91,304.66,303.83,301.1,293.23,291.08
2009,290.92,293.67,298.65,303.75,309.63,310.89,306.49,307.44,304.89,300.02,293.79,291.29
2010,291.05,293.62,301.65,306.86,310.63,309.59,306.02,304.77,301.27,299.95,293.73,288.47
2011,287.91,292.53,298.54,302.27,309.31,310.75,305.09,303.54,301.54,298.74,295.19,287.99
2012,287.6,290.27,296.23,301.97,307.62,310.96,308.92,304.0,301.94,297.65,291.7,288.6
2013,285.95,290.57,297.7,303.25,309.48,309.99,307.05,304.68,304.37,299.79,293.58,289.99
2014,289.07,292.27,297.42,303.43,307.48,311.47,308.74,306.76,304.18,300.46,294.11,287.35
2015,288.6,294.78,296.43,303.16,309.65,309.15,305.64,304.41,303.79,300.54,295.53,289.08
2016,290.18,292.46,299.21,306.08,311.0,310.85,305.15,304.11,304.68,300.07,293.71,290.52
2017,289.48,293.03,298.93,307.09,310.51,309.11,306.11,305.41,303.65,300.24,294.0,290.68
2018,288.85,295.3,301.88,307.33,310.89,311.53,307.2,306.12,302.49,300.19,295.75,289.51
2019,289.47,291.96,297.71,305.09,307.2,311.36,305.91,304.23,304.4,300.34,296.03,288.22
2020,288.38,292.44,294.55,298.88,304.225,306.511,305.846,304.449,303.058,299.675,293.969,290.675
2021,290.193,296.841,301.869,305.265,306.909,308.398,308.391,307.133,303.689,301.203,295.885,291.518
2022,289.645,293.866,302.64,308.614,311.453,310.166,304.036,302.136,304.071,299.402,294.907,290.248
2023,288.494,296.199,298.825,303.636,306.416,307.179,304.308,303.927,303.691,299.948,295.066,289.915
