Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,288.85,293.82,297.43,305.41,308.56,307.56,304.09,304.99,304.02,302.89,294.65,289.83
1981,289.68,293.33,298.81,304.27,307.84,309.24,302.86,302.92,303.99,301.09,293.44,291.62
1982,289.73,291.53,296.02,302.22,303.81,308.12,305.08,302.78,304.17,302.41,296.1,290.83
1983,288.56,292.55,297.66,302.29,307.75,309.41,304.8,303.12,303.77,300.04,294.46,290.09
1984,289.12,288.76,300.05,304.17,308.06,307.83,303.16,302.11,301.68,299.16,295.5,289.35
1985,289.65,292.3,299.53,304.35,308.7,307.17,302.9,302.95,304.53,299.21,296.97,291.72
1986,289.82,292.42,298.6,304.47,307.35,308.24,303.42,302.89,304.87,301.74,296.03,288.06
1987,290.99,293.52,299.88,304.09,305.69,307.43,304.79,304.88,305.13,302.63,295.31,290.99
1988,291.19,294.29,297.77,305.21,309.59,308.86,304.13,303.14,304.19,300.62,295.0,290.7
1989,288.28,291.7,298.2,302.68,307.06,307.24,304.23,303.81,304.34,300.72,295.45,290.39
1990,291.4,293.24,296.74,303.98,308.34,307.15,304.19,302.14,302.14,299.97,295.16,290.01
1991,288.91,292.58,298.49,302.85,307.78,308.58,305.58,303.34,302.89,300.4,295.01,292.06
1992,289.88,291.45,296.97,302.16,307.15,309.69,304.01,302.44,301.71,300.01,293.82,292.06
1993,289.82,293.39,296.78,303.42,308.05,307.65,303.62,304.62,302.97,302.16,295.46,290.32
1994,290.88,292.99,299.96,302.71,308.41,307.76,302.13,302.0,300.39,299.43,295.25,288.94
1995,287.95,292.55,297.0,302.12,306.91,308.52,304.31,301.81,303.93,301.72,294.02,290.19
1996,288.93,293.66,299.67,302.94,305.92,306.95,303.63,303.06,301.61,299.11,292.0,288.45
1997,288.76,290.82,297.05,301.55,306.0,304.33,303.13,302.55,302.57,297.9,294.28,288.91
1998,289.02,291.61,297.36,304.27,307.82,307.17,304.55,304.64,303.14,300.02,294.96,291.31
1999,290.23,293.55,298.31,303.84,306.92,306.96,305.01,304.73,305.28,301.03,295.18,289.66
2000,289.85,291.73,298.0,304.76,307.77,308.13,304.38,305.13,305.07,301.86,294.59,290.23
2001,288.34,292.46,298.66,303.36,307.8,306.29,303.4,304.39,304.85,302.22,295.61,292.15
2002,288.8,291.99,299.31,304.14,309.04,308.45,306.97,305.5,304.4,302.73,296.44,291.31
2003,290.35,293.98,297.94,304.52,306.88,308.08,302.53,302.91,303.29,300.48,294.2,290.32
2004,291.41,293.94,299.28,305.15,308.06,307.3,306.76,303.38,305.84,300.01,296.84,291.93
2005,288.99,291.41,299.05,301.51,306.37,308.91,303.75,304.93,303.55,300.61,296.37,289.62
2006,289.52,297.07,298.0,303.88,309.17,307.78,304.55,301.02,302.17,301.84,296.7,290.41
2007,289.53,294.6,297.38,305.11,308.07,307.31,303.97,302.91,302.39,299.22,296.8,290.36
2008,288.1,290.79,299.41,302.85,306.68,306.27,305.46,303.17,303.06,303.19,295.26,292.14
2009,290.53,293.57,298.93,303.59,309.24,308.54,304.84,306.08,304.56,300.85,294.96,292.96
2010,291.83,293.7,301.0,306.25,309.8,307.48,304.46,302.95,301.14,301.71,294.6,289.2
2011,287.86,293.23,298.7,303.36,308.56,309.15,303.97,302.49,300.79,301.21,299.09,290.41
2012,288.97,290.67,296.81,303.07,307.04,307.67,306.06,303.45,301.8,300.18,294.63,290.92
2013,288.19,292.63,297.96,303.03,308.84,308.12,304.75,304.08,304.32,300.73,294.77,290.19
2014,289.76,293.11,298.94,304.12,306.94,309.07,306.3,304.73,303.02,301.66,297.44,288.84
2015,290.25,295.68,297.92,304.79,308.64,306.74,303.71,304.05,303.67,301.1,295.2,288.89
2016,290.95,293.5,300.21,304.46,309.04,308.94,303.42,301.79,304.38,299.88,295.28,292.32
2017,289.88,293.47,298.48,304.54,308.2,306.78,303.56,303.59,303.64,301.1,295.18,290.6
2018,290.15,295.4,301.04,305.78,309.32,307.94,304.52,304.06,302.02,300.54,295.36,289.34
2019,288.92,291.85,297.05,304.97,306.79,308.38,304.18,302.46,303.07,300.65,296.12,289.66
2020,288.83,292.84,296.02,302.71,306.701,305.81,304.901,303.003,302.083,299.149,293.544,290.269
2021,289.495,295.873,300.719,303.848,305.896,305.973,305.596,304.53,301.816,299.757,294.779,290.587
2022,288.749,292.915,301.598,306.436,308.314,306.95,301.76,300.157,303.081,299.146,294.782,290.154
2023,287.436,294.839,298.598,303.055,305.155,304.433,302.613,301.942,302.002,299.751,294.884,289.816
