Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.5,299.61,299.87,303.14,303.2,298.86,296.52,296.05,297.27,298.43,296.4,294.75
1981,295.42,298.46,300.85,303.85,302.32,299.38,296.64,295.94,297.05,296.41,294.78,294.11
1982,295.63,298.4,300.45,301.96,302.25,298.78,297.26,296.27,296.29,297.83,296.14,295.39
1983,295.69,297.29,300.98,303.38,304.1,300.21,297.5,297.27,296.76,296.38,294.44,295.08
1984,296.03,297.92,300.72,302.44,303.98,298.95,296.32,295.76,297.04,297.8,295.14,294.26
1985,296.39,297.95,301.32,303.57,302.69,298.37,296.28,296.22,297.43,296.05,295.27,296.1
1986,295.41,297.42,301.42,304.45,303.44,298.47,296.39,296.32,297.9,298.18,296.9,296.43
1987,296.46,298.49,301.21,303.63,303.93,298.42,296.74,296.89,297.56,297.46,296.02,293.99
1988,296.01,298.35,301.19,303.39,303.5,299.23,297.05,296.94,297.1,296.66,294.92,295.05
1989,297.5,297.24,301.05,303.09,302.95,298.92,296.96,296.31,297.12,298.17,296.69,295.93
1990,295.44,297.93,300.58,304.15,301.96,298.28,296.4,296.51,297.05,297.09,296.07,295.34
1991,296.4,298.76,301.98,303.52,304.9,300.02,297.16,296.07,297.08,297.74,295.88,295.35
1992,294.25,297.96,302.04,304.73,303.29,300.36,297.59,296.63,296.87,297.28,296.0,293.36
1993,295.35,296.79,300.48,303.64,303.42,299.9,297.01,296.69,297.17,297.5,295.72,294.09
1994,296.42,298.79,303.06,302.9,304.2,298.68,296.37,296.22,296.69,297.24,295.26,293.99
1995,294.44,298.61,301.54,304.36,302.61,301.37,297.49,297.6,297.64,297.44,296.2,294.87
1996,296.19,298.78,302.66,303.08,303.62,300.03,297.02,295.86,296.85,296.07,294.84,293.55
1997,294.8,296.34,300.49,301.65,302.53,299.18,296.97,296.23,296.65,297.77,296.74,296.44
1998,296.91,297.77,301.56,304.72,304.99,300.48,297.26,296.85,296.97,296.76,295.37,293.84
1999,295.04,298.5,302.6,303.54,301.03,298.37,296.86,296.38,297.26,297.12,296.11,294.62
2000,296.75,297.98,301.29,303.87,301.32,298.53,296.62,296.91,298.01,297.68,296.13,293.82
2001,295.45,299.01,301.13,303.41,302.39,297.85,296.36,296.39,298.33,296.9,296.41,294.61
2002,295.84,298.64,302.09,304.42,303.29,299.35,297.3,296.3,297.34,298.48,296.21,295.74
2003,296.92,300.11,301.93,303.98,304.19,299.97,297.42,296.86,297.23,297.98,296.85,294.86
2004,295.77,298.1,301.95,303.78,301.56,297.81,297.01,296.03,297.08,296.69,295.83,294.9
2005,296.22,298.22,301.16,303.35,302.97,299.81,297.17,296.61,296.77,296.74,294.32,294.72
2006,295.55,297.39,300.52,303.22,303.54,299.05,296.38,296.33,297.81,297.7,296.48,294.37
2007,295.29,298.04,301.41,304.07,302.86,299.22,297.36,296.51,297.03,297.76,296.18,296.08
2008,295.84,297.8,300.27,303.19,302.85,297.83,297.25,296.44,296.7,297.71,296.48,295.29
2009,296.76,299.87,301.36,303.14,303.16,299.77,296.86,297.78,297.98,297.34,296.65,295.81
2010,296.3,299.38,302.06,303.98,304.17,299.13,297.44,296.8,297.43,297.1,295.75,293.82
2011,294.43,296.43,299.98,300.99,301.34,298.16,296.96,296.31,296.61,297.35,297.39,295.46
2012,296.22,298.45,301.55,303.65,302.79,299.56,297.21,297.29,297.39,297.54,297.15,296.58
2013,296.97,298.93,301.81,303.04,303.02,297.86,296.52,296.63,297.99,297.22,296.22,294.19
2014,295.77,297.12,299.8,301.6,300.69,299.03,297.24,297.24,297.42,297.63,295.69,294.96
2015,294.99,297.21,299.62,300.97,301.47,298.23,296.76,297.46,298.27,298.37,296.5,296.03
2016,295.67,298.78,301.63,303.48,303.36,298.29,295.96,296.01,296.0,295.92,295.45,294.43
2017,295.74,297.7,300.86,303.2,303.39,297.75,296.55,296.65,297.86,297.36,295.93,294.68
2018,295.62,296.88,301.09,302.89,303.25,298.44,296.59,296.09,297.07,297.93,296.72,296.07
2019,295.55,299.38,301.18,303.43,304.28,299.99,297.7,297.05,297.0,297.58,296.5,295.52
2020,296.26,298.83,300.18,302.57,303.788,298.623,297.752,296.791,298.036,297.656,296.183,294.753
2021,297.116,297.055,299.968,301.653,299.781,298.278,297.375,297.329,297.443,297.749,296.61,296.157
2022,296.068,298.59,301.254,303.055,301.888,299.05,296.72,296.759,297.389,297.162,295.946,296.523
2023,296.285,297.264,299.611,303.442,303.001,299.8,296.553,296.383,297.557,297.863,297.323,295.585
