Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,289.94,293.74,297.65,305.63,309.5,307.49,303.28,304.05,303.16,301.97,293.69,289.31
1981,289.66,293.47,298.51,304.43,308.41,309.71,302.01,301.83,302.98,300.12,293.07,290.96
1982,290.17,291.52,296.35,302.11,303.44,307.64,304.52,301.74,302.93,301.94,295.89,291.7
1983,288.56,292.37,297.75,302.46,307.79,309.29,303.07,301.89,301.96,297.55,292.29,289.95
1984,289.29,288.4,298.91,303.45,309.02,309.02,302.59,300.95,300.81,298.08,294.44,288.94
1985,289.7,292.04,299.04,304.85,309.03,307.28,301.26,301.36,303.16,297.63,295.8,291.6
1986,290.19,291.99,298.29,304.53,306.94,308.63,302.67,302.08,304.69,301.14,295.56,288.29
1987,291.02,294.58,300.61,304.77,306.09,307.29,304.45,304.18,304.33,301.84,294.74,290.86
1988,291.62,294.74,298.3,305.87,310.61,309.2,303.5,302.07,303.84,299.74,294.07,290.01
1989,288.47,292.15,298.5,303.16,307.93,308.2,304.8,303.53,303.87,299.97,294.94,290.06
1990,291.47,293.76,297.43,304.46,309.15,308.02,303.77,301.28,300.99,299.13,293.83,290.13
1991,288.61,293.25,298.7,302.79,309.09,309.01,305.93,302.49,302.03,299.7,294.51,291.48
1992,290.22,291.91,297.5,302.75,307.77,310.15,303.96,301.49,300.6,299.15,293.26,291.21
1993,289.63,293.29,297.16,303.96,309.17,308.2,303.11,303.78,301.03,300.77,294.45,289.56
1994,291.68,293.06,299.63,303.15,308.84,308.33,301.79,301.33,299.64,298.47,293.73,288.92
1995,287.95,292.92,297.49,302.92,307.71,309.72,304.35,300.75,302.71,300.97,293.47,290.14
1996,289.95,293.66,299.88,303.21,306.44,307.5,302.89,301.64,300.47,297.92,291.91,287.99
1997,288.65,290.74,297.69,302.05,306.46,303.38,302.55,300.86,301.11,296.57,293.68,289.1
1998,288.56,291.75,296.32,304.31,308.64,307.63,303.83,303.78,302.73,299.1,293.96,290.84
1999,290.06,293.42,298.39,303.99,308.06,307.94,304.29,304.29,303.82,300.04,294.63,289.34
2000,290.09,291.83,297.76,304.14,308.43,308.49,303.72,303.93,304.6,301.69,295.06,290.19
2001,288.75,292.58,299.18,303.87,308.28,306.31,302.51,304.27,304.91,301.25,294.69,292.0
2002,289.41,292.73,299.45,304.57,309.93,309.45,307.42,304.48,303.82,302.74,296.23,291.71
2003,290.51,294.27,298.71,305.36,307.39,309.39,302.05,302.38,301.55,298.67,294.8,291.44
2004,291.48,293.35,299.17,305.76,309.1,307.77,306.4,302.27,305.2,299.19,296.19,291.81
2005,289.35,292.05,299.48,301.86,306.41,309.37,302.28,304.38,302.41,299.24,294.99,289.29
2006,289.86,297.05,298.29,304.47,309.35,306.96,303.35,300.64,301.25,300.86,295.94,291.35
2007,289.58,294.89,297.15,305.04,308.87,308.16,303.05,302.47,301.4,298.02,295.54,290.31
2008,288.76,290.64,299.9,303.54,306.97,306.0,305.1,302.51,302.17,302.44,294.71,292.48
2009,291.98,294.35,298.72,304.13,309.48,309.53,304.11,305.52,304.1,300.62,295.56,293.92
2010,292.33,294.91,301.73,307.3,310.22,308.46,304.1,302.45,299.95,301.05,294.34,289.67
2011,288.3,293.47,298.68,303.04,308.89,309.05,302.45,301.45,300.32,300.13,297.89,290.35
2012,289.27,291.42,297.08,302.82,307.64,308.53,306.17,302.24,300.8,299.75,293.35,290.88
2013,287.52,292.34,298.33,303.71,309.64,308.12,303.92,302.43,303.21,299.37,293.58,290.69
2014,290.0,293.48,298.6,304.21,307.67,309.93,305.85,304.26,302.23,301.29,296.43,288.44
2015,289.79,295.45,298.1,304.12,309.42,307.26,303.62,303.29,303.07,301.24,296.52,289.63
2016,291.37,293.82,300.78,306.06,310.49,309.05,302.87,301.1,302.66,299.13,294.3,291.13
2017,290.43,293.83,299.09,305.9,308.92,307.44,303.13,302.36,302.5,300.78,294.44,290.77
2018,290.27,295.99,301.62,306.61,310.32,308.67,304.53,303.85,300.47,300.46,295.48,289.45
2019,289.01,293.1,298.04,305.64,307.13,309.35,303.58,301.53,301.8,299.56,296.33,289.65
2020,289.31,292.74,296.08,301.32,306.099,305.998,305.047,302.561,302.167,299.776,294.324,291.332
2021,291.127,296.402,301.774,305.204,306.625,306.546,306.141,304.04,301.456,299.851,295.183,291.473
2022,289.415,293.896,302.43,307.537,309.577,308.176,301.681,300.369,302.275,298.599,294.455,289.915
2023,288.323,295.289,299.217,303.751,305.602,304.569,302.275,300.843,300.995,299.441,294.902,290.209
