Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,284.42,287.67,292.69,299.12,299.4,296.12,297.21,297.16,296.28,292.91,288.78,286.02
1981,284.95,288.27,291.57,294.56,297.25,297.71,297.48,297.72,296.22,292.54,289.0,285.8
1982,286.79,285.96,290.31,296.29,299.49,298.19,298.82,297.78,296.16,292.49,288.21,284.43
1983,283.93,285.22,292.68,296.95,298.03,300.69,298.51,297.23,296.04,290.61,288.27,284.69
1984,283.83,285.96,287.64,295.0,298.61,297.79,296.81,296.61,294.28,292.17,286.62,284.77
1985,285.17,285.82,291.91,296.74,299.67,300.2,296.84,297.5,296.31,290.96,286.95,286.12
1986,285.04,287.03,291.72,296.97,298.15,298.92,297.42,297.63,296.4,291.98,287.98,286.32
1987,285.61,288.17,292.08,297.15,299.02,301.42,298.5,297.68,296.53,292.97,288.58,286.21
1988,285.32,288.93,291.45,297.04,299.62,297.78,297.76,297.51,297.53,292.08,289.15,286.55
1989,283.86,287.35,292.5,295.95,298.74,297.93,297.31,296.93,296.47,292.21,288.74,285.54
1990,285.73,287.78,290.15,295.81,299.21,298.91,297.71,297.43,296.43,292.66,289.3,285.43
1991,283.82,289.92,291.95,296.8,300.82,299.05,299.18,297.8,296.05,293.24,287.69,286.71
1992,284.6,285.78,293.73,299.84,299.68,300.61,297.77,297.32,296.59,293.45,289.46,282.25
1993,284.9,288.55,292.32,296.47,299.11,299.59,298.27,297.48,295.64,293.13,289.43,286.38
1994,286.83,286.97,292.24,297.4,301.31,299.48,298.74,297.86,296.46,293.29,289.86,285.5
1995,284.97,288.26,293.37,297.79,300.43,300.93,298.12,297.56,296.15,294.05,289.71,285.83
1996,285.19,289.09,295.54,299.61,302.45,299.12,298.64,297.42,295.88,292.41,288.27,285.95
1997,284.74,287.1,294.23,295.52,300.38,300.13,298.24,297.74,295.98,292.75,289.8,286.01
1998,284.82,288.49,289.77,296.35,298.69,299.69,297.56,297.05,296.65,293.21,289.64,286.11
1999,285.64,290.19,293.03,298.05,300.47,300.32,298.0,297.11,296.63,293.27,288.0,285.91
2000,284.84,285.2,290.58,295.55,299.83,298.47,298.66,298.26,295.82,293.3,288.92,285.51
2001,284.6,288.44,293.72,298.54,300.18,298.39,298.19,298.64,296.52,292.93,288.36,284.75
2002,285.94,287.9,292.1,295.83,298.52,299.08,298.64,297.8,296.2,292.59,288.68,285.36
2003,285.69,288.01,291.24,296.71,299.41,301.16,298.68,298.5,297.11,294.28,287.7,285.83
2004,285.63,287.86,293.92,297.5,299.67,298.45,297.4,297.75,296.81,291.4,288.6,285.98
2005,286.11,289.07,293.74,296.95,298.97,302.26,297.72,298.46,297.41,293.58,287.44,285.61
2006,286.84,289.79,292.68,297.27,299.38,299.64,298.5,298.2,296.7,294.04,288.94,286.88
2007,286.05,288.27,290.74,296.83,298.8,299.81,297.54,298.06,296.53,293.14,288.84,285.46
2008,285.8,286.01,293.23,296.32,300.22,297.21,297.08,297.17,296.49,293.83,290.77,287.6
2009,288.16,290.43,293.94,298.23,298.89,300.27,298.37,298.7,297.63,292.6,289.78,286.13
2010,287.31,289.06,294.11,300.45,301.09,300.7,298.69,298.76,297.15,294.07,290.29,286.6
2011,285.25,288.98,293.18,295.08,299.44,298.89,297.46,297.35,296.6,292.81,288.94,284.55
2012,284.39,287.72,291.76,296.29,299.96,301.13,298.27,297.6,297.52,294.26,289.98,287.08
2013,285.9,289.65,294.34,297.87,301.64,298.85,297.82,297.74,297.31,292.57,288.52,285.74
2014,286.26,287.9,291.86,297.66,299.4,300.94,298.44,298.0,296.92,293.11,288.26,285.99
2015,286.49,289.54,292.04,294.79,299.45,299.43,297.73,297.19,297.02,293.63,289.73,285.66
2016,285.33,288.95,293.52,298.8,298.58,299.06,297.09,297.75,296.91,293.98,289.16,287.71
2017,286.68,288.61,291.28,297.53,298.93,299.39,297.72,296.94,296.9,294.56,289.31,288.01
2018,284.98,289.11,293.93,295.28,297.52,298.74,298.2,297.72,296.76,293.22,290.67,286.53
2019,285.88,288.55,290.89,296.3,300.19,300.64,298.26,298.15,296.84,293.46,290.82,286.33
2020,285.05,287.0,291.08,294.66,296.263,297.976,298.338,297.96,297.3,294.271,289.466,286.684
2021,286.502,289.251,293.982,296.788,296.727,297.992,297.865,297.197,296.34,293.886,288.366,286.446
2022,285.077,286.249,294.176,297.954,297.06,299.081,297.922,297.507,296.556,294.128,290.479,287.815
2023,287.415,289.415,294.036,297.906,299.274,300.469,297.888,297.365,294.577,291.774,289.403,286.592
