Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,297.78,298.59,300.35,302.0,303.53,300.82,300.33,300.01,300.81,301.18,299.73,298.06
1981,297.66,298.3,300.35,302.02,303.02,302.15,300.38,300.25,300.55,300.62,299.48,298.05
1982,297.15,298.67,300.11,302.1,302.6,301.57,299.84,299.67,300.24,300.45,299.73,298.27
1983,298.0,299.77,300.64,301.91,303.31,302.15,299.83,300.02,299.93,300.13,299.04,297.73
1984,297.99,298.21,299.27,301.46,303.19,300.98,299.69,300.18,300.62,300.49,299.28,297.42
1985,297.41,298.5,300.11,302.33,303.14,300.91,299.53,300.13,300.63,300.09,298.64,297.75
1986,296.87,297.8,300.04,301.71,303.48,302.03,301.03,300.84,301.56,301.01,299.95,298.8
1987,297.87,297.71,299.65,302.31,302.47,301.68,300.34,300.35,301.15,301.22,300.1,298.35
1988,297.78,298.84,300.91,301.89,303.36,301.11,300.25,300.54,300.89,301.09,299.72,298.25
1989,297.67,297.75,299.31,301.37,303.23,300.84,300.33,300.24,300.81,301.32,299.56,297.9
1990,297.83,299.31,300.78,302.34,301.82,301.6,300.66,300.71,301.56,300.84,299.53,297.99
1991,298.01,298.66,300.43,302.54,303.3,302.22,301.09,300.74,301.42,301.2,299.06,297.76
1992,296.8,299.05,299.89,301.52,302.82,302.35,301.16,300.52,301.38,301.38,299.5,297.45
1993,297.28,297.96,299.94,301.61,303.2,301.53,300.62,301.04,301.16,300.81,299.44,298.25
1994,297.51,298.48,300.0,301.75,303.55,301.9,301.33,300.89,301.44,300.38,299.05,297.17
1995,297.05,298.4,300.43,302.02,302.71,302.85,300.95,301.05,301.16,300.72,299.9,297.88
1996,297.4,297.96,299.71,301.78,303.6,301.82,300.73,300.12,300.96,300.62,299.78,297.55
1997,296.89,298.17,300.27,300.9,302.93,302.2,300.72,300.43,301.05,300.82,299.93,299.1
1998,298.64,299.69,300.42,301.98,303.83,302.62,301.5,301.32,301.25,300.93,300.0,298.69
1999,297.68,298.9,301.02,302.41,302.8,302.42,301.26,301.29,301.29,300.91,299.53,297.71
2000,297.61,298.77,300.04,302.01,303.21,301.81,301.3,300.85,301.59,301.64,299.96,298.24
2001,297.52,298.61,300.58,301.62,303.55,301.31,300.89,301.26,301.98,300.94,299.87,298.17
2002,297.19,297.79,299.81,301.72,303.47,302.6,302.58,301.11,302.11,301.35,299.57,298.3
2003,297.18,298.28,300.01,302.18,304.11,301.87,299.95,300.93,301.02,300.68,299.82,297.84
2004,297.03,297.73,299.64,301.77,301.97,301.28,300.89,300.79,301.15,300.65,299.49,298.17
2005,297.79,298.7,300.21,301.37,302.83,302.29,301.04,301.08,301.12,300.67,299.36,297.93
2006,297.61,298.2,300.32,302.04,302.62,301.77,301.17,300.9,301.32,301.18,299.4,298.25
2007,297.63,298.51,299.95,301.65,303.59,301.98,301.67,301.03,300.96,300.88,299.87,298.46
2008,297.95,298.57,299.87,301.94,303.82,301.66,301.2,300.41,301.09,301.02,299.69,298.52
2009,297.57,298.76,300.31,302.42,302.64,302.16,300.7,301.48,301.56,301.24,300.16,298.66
2010,298.23,298.51,301.16,302.91,303.19,301.96,300.76,300.82,301.01,301.03,299.78,298.16
2011,297.41,298.18,299.71,301.02,302.82,301.06,300.8,300.68,301.03,301.48,300.28,298.51
2012,297.41,298.69,300.91,301.97,303.13,302.32,301.26,301.13,301.23,300.94,299.66,297.83
2013,296.9,297.48,299.74,301.76,303.6,301.89,300.14,300.26,301.09,300.67,299.17,297.22
2014,296.53,297.21,299.22,301.68,302.98,303.17,301.47,300.75,300.68,301.19,299.2,297.81
2015,296.99,297.19,299.73,301.08,302.86,301.34,301.25,300.81,301.37,301.22,299.29,297.82
2016,296.83,298.3,300.34,302.31,303.2,301.66,300.25,301.04,300.45,301.21,299.65,298.33
2017,297.64,297.6,300.12,302.29,303.18,301.59,301.02,300.93,301.27,301.15,299.41,297.88
2018,297.06,297.77,300.0,302.03,302.52,301.8,300.28,300.49,301.22,301.22,299.68,298.14
2019,296.85,298.49,300.73,302.22,303.41,302.13,301.29,300.41,300.35,300.97,300.49,298.58
2020,298.31,298.91,300.18,302.02,303.186,301.414,301.08,300.892,301.153,300.925,300.134,298.184
2021,298.125,298.175,300.122,301.656,302.497,301.694,301.021,301.282,301.456,301.797,299.87,298.626
2022,298.063,298.242,300.458,301.654,302.407,301.552,300.422,301.057,301.471,300.777,298.943,298.539
2023,297.553,298.264,299.675,301.574,302.858,302.27,300.012,300.554,300.865,300.866,299.886,298.337
