Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,290.98,294.49,298.93,305.34,310.42,305.86,301.54,302.15,300.34,297.62,291.92,289.84
1981,289.17,292.86,298.33,304.49,308.18,308.21,302.3,302.11,301.28,296.79,292.32,289.28
1982,290.55,291.94,295.85,302.03,305.05,306.3,304.91,301.81,300.0,298.05,293.32,290.31
1983,289.16,289.9,296.67,301.36,305.94,307.42,303.44,302.12,300.61,289.87,289.94,288.29
1984,288.11,290.38,298.3,302.26,308.04,307.87,301.79,301.06,299.06,295.74,290.78,289.88
1985,288.95,291.84,297.03,303.03,307.8,307.54,301.94,302.09,301.03,295.94,291.34,290.89
1986,289.68,290.2,296.33,303.2,306.33,308.1,302.35,302.24,301.89,297.43,293.89,289.94
1987,290.44,293.73,297.27,303.3,305.67,309.14,304.83,304.02,301.8,296.51,292.18,290.09
1988,290.64,294.47,298.05,304.75,309.19,308.38,302.61,301.71,302.65,296.45,291.73,290.27
1989,288.9,293.07,296.5,302.33,307.24,308.32,303.76,302.44,302.42,297.75,293.57,289.69
1990,293.22,293.61,296.98,304.72,307.99,308.36,301.62,301.8,300.49,296.97,293.25,289.71
1991,289.7,294.42,298.56,303.73,308.78,307.38,305.35,301.86,300.33,296.57,292.22,290.83
1992,290.67,291.82,298.54,304.11,307.63,309.24,304.25,302.12,300.56,297.58,293.77,289.01
1993,290.37,293.77,297.26,303.81,309.56,308.29,303.87,303.24,299.75,297.32,293.09,289.21
1994,291.16,292.15,299.68,303.36,308.94,309.18,302.69,301.92,300.0,297.66,293.06,289.3
1995,288.96,293.26,297.79,303.87,307.95,310.4,304.51,301.67,300.45,298.2,292.28,290.6
1996,289.59,292.79,299.93,303.02,306.51,307.33,303.5,301.35,301.17,297.25,291.96,289.11
1997,288.87,291.99,297.93,302.95,307.2,305.68,302.54,301.46,300.61,296.97,293.65,289.16
1998,288.49,293.04,294.87,302.93,307.88,307.81,302.69,302.04,301.24,297.37,293.48,290.01
1999,289.62,294.5,298.61,304.21,309.06,307.3,304.08,301.74,300.91,297.11,292.8,288.93
2000,289.89,291.32,297.7,303.63,308.71,306.33,303.68,303.49,301.79,299.42,293.92,290.35
2001,289.37,293.61,298.68,304.27,308.82,306.08,302.62,303.85,302.54,299.02,293.96,291.34
2002,291.31,293.48,299.37,304.58,307.74,308.84,306.86,302.93,301.19,298.92,294.44,291.42
2003,290.66,293.42,298.54,305.15,308.13,310.46,303.05,302.32,300.31,295.83,292.23,289.97
2004,290.25,292.85,299.78,305.1,307.94,306.11,303.6,302.17,302.4,297.02,293.08,291.13
2005,290.16,293.64,299.05,301.77,306.13,310.27,301.67,302.59,301.19,297.87,292.6,289.76
2006,290.98,296.56,298.33,304.31,308.35,307.64,302.62,302.13,301.59,300.54,294.99,291.69
2007,290.53,293.75,297.19,304.85,307.81,308.78,302.12,302.33,301.78,296.73,293.26,290.74
2008,291.1,292.32,300.94,303.95,307.42,302.68,301.9,301.45,300.86,297.65,293.0,290.66
2009,292.49,294.83,298.99,304.52,307.97,311.01,303.36,303.71,302.25,298.13,293.29,291.32
2010,291.47,293.69,301.38,305.96,309.35,309.89,304.17,303.13,300.69,299.73,295.57,290.58
2011,290.14,292.92,299.09,301.96,308.75,307.98,302.06,301.09,300.54,297.57,294.55,288.83
2012,288.79,291.72,297.46,302.54,307.92,311.4,304.44,301.73,301.08,297.65,292.4,290.55
2013,288.29,292.56,298.49,303.73,308.51,305.88,302.31,301.86,301.06,297.81,292.96,290.72
2014,289.77,292.41,297.08,302.66,307.41,310.0,304.97,302.76,301.22,298.84,294.38,289.02
2015,289.36,294.99,296.56,302.43,308.55,308.35,303.03,302.48,302.83,300.92,297.87,290.59
2016,291.25,295.3,299.72,307.08,309.11,307.02,301.71,301.32,301.33,298.49,292.82,290.11
2017,290.63,293.66,299.18,306.13,309.35,308.36,302.6,301.42,301.86,299.93,294.19,291.39
2018,289.46,295.08,300.92,304.94,309.43,308.83,303.54,302.03,300.16,298.17,294.08,290.07
2019,290.01,293.77,297.44,304.6,307.92,309.13,304.29,302.61,301.77,298.24,295.47,289.94
2020,289.39,292.32,296.55,302.12,305.085,304.889,303.875,302.144,302.654,299.435,294.098,292.093
2021,291.352,296.036,302.852,305.938,307.119,306.486,304.62,302.538,301.089,298.617,293.466,292.107
2022,289.369,292.234,300.395,307.166,309.146,309.102,303.376,301.561,300.807,297.647,293.659,290.797
2023,289.913,294.074,298.347,302.86,305.458,305.506,301.887,300.544,300.406,297.677,294.115,289.602
