Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,298.19,299.17,300.9,302.07,303.97,301.88,301.36,300.76,301.17,301.52,300.07,298.22
1981,297.4,298.8,300.47,302.04,303.43,303.01,301.05,300.66,300.94,301.12,299.68,297.9
1982,297.66,299.2,300.66,302.1,302.65,302.36,301.01,300.62,300.83,300.83,299.99,298.44
1983,298.33,299.54,301.03,302.15,303.39,302.9,300.8,300.86,300.6,300.48,299.07,297.75
1984,298.06,298.48,299.8,301.77,303.41,301.79,300.7,300.81,300.71,300.63,299.29,297.56
1985,297.65,298.97,300.38,302.54,303.4,302.56,300.66,300.66,300.87,300.52,298.83,298.15
1986,297.08,298.17,300.53,301.86,303.57,302.76,301.56,301.16,302.08,301.1,300.09,298.78
1987,298.02,298.19,299.93,302.24,302.59,302.82,301.18,301.04,301.52,301.51,300.28,298.54
1988,298.24,299.13,301.25,302.34,303.47,302.29,300.95,301.16,301.36,301.32,299.9,298.65
1989,298.02,298.38,299.95,301.53,303.22,301.91,301.35,300.75,301.26,301.64,299.94,297.85
1990,298.36,299.4,300.67,302.31,302.26,302.15,301.3,301.41,301.92,300.94,299.49,297.86
1991,298.08,299.18,300.9,302.73,303.11,302.47,301.81,301.1,301.77,301.24,299.06,297.65
1992,296.81,299.04,300.5,301.58,302.81,302.47,301.83,301.03,301.87,301.55,299.72,297.65
1993,297.83,298.19,300.33,301.95,303.25,302.77,301.69,301.7,301.74,301.35,299.77,298.31
1994,297.98,298.93,300.6,301.98,303.65,302.73,301.59,300.95,301.47,300.76,299.02,297.19
1995,297.12,298.55,300.98,302.18,302.74,303.48,301.56,301.6,301.81,300.95,299.67,298.08
1996,297.77,298.41,300.3,302.04,303.74,302.31,301.49,300.78,301.69,301.07,299.76,298.11
1997,297.27,298.55,300.66,301.28,303.47,302.47,300.96,300.94,301.27,301.36,300.35,299.35
1998,298.67,299.66,300.76,302.2,303.99,303.64,302.1,301.94,301.81,301.39,300.14,298.64
1999,297.94,299.33,301.33,302.45,303.18,302.81,301.65,301.45,301.57,301.22,299.5,298.01
2000,297.69,298.68,300.07,302.08,303.5,302.36,301.52,301.33,301.9,302.08,300.3,298.21
2001,297.52,298.83,300.52,301.79,304.23,302.32,301.51,301.7,302.37,301.58,300.29,298.55
2002,297.44,298.35,300.19,301.8,304.01,303.04,303.22,301.6,302.25,301.78,299.7,298.55
2003,297.33,298.31,300.0,302.43,303.83,302.81,300.68,301.38,301.15,300.69,299.92,297.88
2004,296.89,298.05,299.98,301.84,302.93,302.13,301.41,301.15,301.4,301.02,299.66,298.13
2005,297.79,298.87,300.28,301.76,303.07,303.02,301.14,301.52,301.54,301.06,299.42,298.02
2006,297.92,298.75,300.72,301.87,302.79,302.28,301.52,301.22,301.58,301.67,299.52,298.59
2007,297.74,298.46,300.2,301.77,303.78,302.82,302.1,301.7,301.45,301.07,300.11,298.58
2008,297.98,298.46,300.37,302.04,304.43,302.42,301.69,300.69,301.49,301.47,300.03,298.92
2009,298.0,299.41,300.68,302.44,302.97,303.12,301.26,301.89,302.27,301.58,300.24,298.85
2010,298.18,298.65,301.49,303.15,303.08,302.76,301.56,301.26,301.42,301.45,300.12,298.17
2011,297.15,298.03,299.97,301.09,303.31,302.18,301.45,301.27,301.29,302.01,300.4,298.46
2012,297.28,298.6,300.83,301.93,303.51,303.32,301.29,300.92,301.42,301.19,299.29,297.69
2013,297.07,297.67,299.67,301.58,303.66,301.97,300.05,300.37,301.24,300.79,299.38,297.65
2014,297.17,297.14,299.48,301.7,303.02,303.82,301.92,301.15,301.05,301.26,299.3,297.72
2015,297.24,297.42,299.89,301.18,303.23,301.79,301.72,301.17,301.61,301.5,299.19,298.06
2016,297.29,298.79,300.45,302.0,303.22,302.38,301.06,301.5,300.86,301.06,299.69,298.27
2017,297.61,298.23,300.21,301.78,303.05,302.43,301.18,300.97,301.64,301.48,299.44,297.75
2018,296.97,297.88,300.29,301.65,302.66,302.57,300.85,300.69,301.46,301.42,299.92,297.95
2019,296.89,298.15,300.59,302.11,303.17,303.1,301.58,300.96,300.74,301.22,300.46,298.63
2020,297.81,298.7,300.31,302.05,303.214,302.07,301.704,301.308,301.73,301.173,300.239,298.298
2021,298.464,298.527,300.437,301.447,302.848,302.279,301.586,301.678,301.718,302.035,300.007,298.486
2022,297.839,298.258,300.5,301.603,302.513,301.921,300.71,301.346,301.704,300.965,299.171,298.685
2023,297.942,298.696,299.837,301.428,302.609,302.639,300.509,300.937,301.18,300.941,299.657,297.908
