Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,293.23,296.19,299.27,303.78,304.46,303.36,301.05,300.51,300.6,301.89,298.31,294.77
1981,293.26,295.93,299.63,302.84,304.12,304.08,300.57,300.0,301.67,300.85,296.21,295.15
1982,294.68,295.53,298.6,301.69,303.6,303.71,302.12,300.29,301.48,302.67,298.75,296.1
1983,294.03,294.35,298.51,301.16,303.47,304.21,302.46,301.12,301.81,300.82,297.29,294.5
1984,293.6,294.02,300.7,303.47,304.08,302.98,300.8,299.64,300.9,300.97,297.77,294.23
1985,293.57,295.78,300.54,302.26,304.27,303.45,300.59,300.22,301.61,301.22,298.26,295.62
1986,294.15,296.08,299.88,302.99,304.02,304.36,301.24,299.68,301.39,301.19,297.98,293.68
1987,295.7,296.31,300.44,303.09,304.08,305.05,302.22,301.0,302.13,303.15,299.6,295.74
1988,296.03,296.82,299.05,303.34,304.38,304.33,301.4,300.99,301.81,301.85,297.61,294.23
1989,293.48,295.37,298.96,302.26,304.09,303.28,300.94,300.33,301.97,301.47,299.12,294.31
1990,295.45,296.28,298.75,302.31,304.44,303.32,300.59,300.07,300.11,301.0,298.33,294.79
1991,292.9,295.19,299.53,302.8,304.67,303.89,301.15,299.9,300.85,302.05,298.53,294.94
1992,293.94,295.13,299.04,301.55,303.92,304.25,301.97,300.42,301.33,301.46,298.78,295.63
1993,294.79,296.98,299.33,301.96,304.09,304.22,301.1,301.34,301.67,301.91,298.29,295.42
1994,295.09,295.74,301.38,301.87,304.1,302.92,299.66,299.54,299.25,299.67,297.89,292.98
1995,292.37,295.81,298.38,301.92,305.05,304.56,301.95,300.7,302.0,302.04,297.16,295.07
1996,294.54,296.36,300.77,302.37,303.74,304.04,301.07,299.8,300.6,300.8,296.77,294.66
1997,293.24,294.79,300.06,301.04,303.56,302.63,300.68,300.24,300.18,300.49,298.67,294.55
1998,294.1,295.2,299.68,303.27,305.23,303.96,301.0,300.9,301.21,300.96,297.86,295.19
1999,292.74,297.34,300.5,303.05,302.9,302.54,300.97,301.37,302.2,301.33,298.47,294.85
2000,293.98,295.01,299.31,302.8,303.0,303.71,301.14,301.33,301.97,303.38,298.74,295.18
2001,293.78,295.27,300.12,303.17,303.63,303.02,299.87,300.72,302.48,302.5,298.78,296.03
2002,293.2,295.38,300.43,302.48,304.6,304.46,301.7,300.7,301.04,303.51,299.7,295.62
2003,295.05,296.72,299.58,303.22,303.72,303.7,300.98,300.08,300.38,301.0,298.24,294.71
2004,294.4,296.09,301.14,302.56,304.6,303.06,301.02,299.49,301.41,300.15,298.74,295.52
2005,292.39,294.46,299.02,302.25,303.86,304.46,301.65,300.74,300.57,300.47,297.59,294.09
2006,293.12,298.73,299.67,302.22,304.48,303.66,300.94,299.05,299.89,301.68,297.98,294.61
2007,294.04,296.69,299.51,303.48,304.17,304.04,301.2,300.06,300.86,300.37,298.63,294.78
2008,292.62,293.96,300.49,302.37,303.41,303.38,301.57,300.29,301.73,302.85,298.57,296.09
2009,295.94,296.97,300.44,303.31,304.65,304.11,301.36,302.06,302.44,301.68,298.95,296.54
2010,294.91,295.9,301.09,303.68,305.33,304.8,301.53,300.38,300.58,301.59,297.67,294.25
2011,292.45,295.57,299.44,302.52,304.14,304.36,300.64,299.9,299.49,300.0,299.53,295.41
2012,291.77,293.79,298.12,302.01,303.67,303.05,302.05,300.91,300.23,302.03,298.24,296.48
2013,293.6,296.13,299.63,302.11,305.21,303.01,300.69,300.39,302.08,300.56,297.61,294.41
2014,293.09,295.18,298.99,302.45,304.05,304.64,302.1,300.49,300.92,302.07,299.61,294.54
2015,294.24,297.62,299.9,303.12,304.57,303.76,301.31,301.79,303.02,303.82,299.4,294.53
2016,294.74,296.47,300.53,301.41,304.29,303.54,300.05,299.55,300.53,299.07,296.99,295.15
2017,294.1,296.78,299.35,301.87,304.32,303.28,299.79,300.36,301.11,301.44,297.14,294.59
2018,294.27,297.34,300.26,302.25,304.22,303.79,301.42,300.43,301.46,300.66,298.18,293.09
2019,292.51,295.1,298.61,302.31,303.55,303.53,301.74,300.46,300.98,300.34,298.19,294.8
2020,292.93,295.73,298.44,302.74,304.624,303.322,302.279,300.499,301.303,300.098,296.85,294.275
2021,293.37,296.234,300.279,302.215,303.532,302.775,301.048,300.662,300.367,298.806,296.893,293.1
2022,291.903,294.341,300.111,302.777,303.233,302.564,299.512,299.172,300.468,299.625,296.356,294.844
2023,291.909,296.053,298.956,301.309,303.303,301.93,299.841,299.234,300.123,298.708,296.85,294.628
