Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,291.9,294.42,298.65,304.25,307.48,300.48,299.71,299.64,299.4,297.36,293.0,290.8
1981,290.21,292.97,297.93,302.24,303.52,302.99,300.24,299.99,299.69,296.06,292.44,289.45
1982,293.08,293.23,297.27,302.69,304.6,303.18,302.25,299.41,298.99,297.43,293.54,290.65
1983,291.76,292.28,297.84,302.77,305.24,304.66,301.09,299.57,299.14,294.79,291.37,288.93
1984,290.05,292.58,298.1,303.11,307.26,302.92,299.66,298.87,298.2,295.39,290.28,289.12
1985,290.95,292.63,298.57,303.72,307.03,304.7,300.16,299.35,299.31,295.22,292.4,291.17
1986,289.56,292.59,298.18,303.57,304.09,303.46,300.36,299.57,299.12,296.61,293.25,291.86
1987,290.15,294.25,297.96,302.78,304.87,305.57,301.16,300.65,299.57,296.99,292.67,289.1
1988,291.15,294.89,298.15,303.39,306.7,303.23,300.35,300.1,299.99,295.83,292.45,290.5
1989,289.59,294.33,298.55,303.36,306.19,302.78,300.51,299.31,299.52,296.2,292.94,289.72
1990,291.01,294.39,297.43,302.79,303.0,301.84,299.95,299.87,299.33,295.96,292.26,288.97
1991,290.08,295.54,299.85,303.25,308.13,303.29,300.78,299.78,298.96,295.33,291.56,290.98
1992,289.97,293.49,298.59,303.5,305.21,304.14,301.96,299.48,298.7,296.85,293.88,288.79
1993,290.99,295.76,298.37,303.4,306.7,303.76,300.35,299.48,298.75,296.72,292.79,288.79
1994,290.83,293.83,299.42,303.04,306.88,302.57,299.41,299.24,298.03,295.92,292.44,288.11
1995,288.59,293.99,297.73,303.51,304.3,305.95,301.85,299.71,299.11,296.24,290.99,289.73
1996,290.97,294.27,299.3,302.83,306.88,302.86,301.57,299.86,299.68,296.38,291.07,287.94
1997,289.97,292.89,299.33,302.54,306.24,304.89,300.11,299.58,299.05,297.01,294.64,291.76
1998,289.83,293.4,295.73,302.77,305.51,304.67,300.62,300.18,299.71,297.48,293.66,289.51
1999,290.24,294.97,298.34,303.07,306.37,303.26,300.91,299.54,298.95,297.02,291.57,289.16
2000,289.82,293.12,297.92,303.3,305.49,302.01,300.44,300.34,299.28,298.04,293.64,289.67
2001,289.72,295.03,298.98,303.81,307.09,300.66,299.44,300.03,299.42,297.1,294.76,290.2
2002,291.97,294.06,299.3,304.04,306.59,303.81,303.1,299.74,298.89,297.03,292.61,291.08
2003,289.81,294.72,298.31,304.26,306.56,306.37,300.42,299.73,299.13,296.59,291.79,288.93
2004,290.48,292.65,299.58,304.05,306.18,302.47,300.75,299.42,299.32,296.07,292.5,290.89
2005,291.76,294.82,300.59,302.62,305.96,306.82,300.12,300.59,299.39,297.28,291.95,288.99
2006,290.4,295.86,297.83,303.69,304.44,303.64,300.08,299.1,299.38,297.75,293.27,290.07
2007,289.56,294.89,297.5,303.85,304.98,304.19,300.69,300.49,299.43,295.46,292.46,289.52
2008,290.58,291.61,299.73,302.49,305.77,300.54,300.54,299.81,299.02,296.62,294.21,290.59
2009,292.5,294.73,299.74,304.24,306.13,307.07,299.99,301.06,299.95,295.95,292.92,290.73
2010,290.34,293.88,301.1,306.31,306.3,304.73,301.23,301.06,299.56,297.96,295.51,289.9
2011,289.07,293.2,299.14,300.8,304.85,302.39,300.01,299.69,298.91,296.94,294.81,289.0
2012,290.02,293.14,298.38,303.2,306.02,306.91,300.78,299.52,299.15,295.72,291.59,289.8
2013,290.23,293.41,298.15,302.61,307.45,301.04,300.08,299.7,299.8,297.26,292.94,290.76
2014,291.83,293.51,297.84,303.39,304.57,304.73,300.83,300.34,299.2,297.77,292.55,288.16
2015,290.32,294.61,298.2,301.5,306.11,302.73,300.23,299.89,300.37,298.93,294.51,292.34
2016,291.93,297.44,300.29,306.46,305.26,303.79,299.35,299.31,299.2,296.77,291.4,288.9
2017,291.13,294.54,299.56,305.38,305.44,302.82,299.58,299.56,300.27,298.28,291.51,289.01
2018,288.06,294.99,300.58,302.21,303.39,303.16,300.88,299.77,298.89,296.84,294.24,290.35
2019,290.69,294.17,298.35,303.5,305.32,305.09,301.2,299.87,299.77,296.98,293.36,290.66
2020,289.95,292.13,296.65,300.95,302.776,301.145,301.617,300.052,300.257,297.262,292.539,289.651
2021,290.253,294.445,300.813,304.05,302.617,302.226,300.602,299.767,299.301,297.841,292.748,290.829
2022,290.094,292.201,299.548,305.3,304.628,304.75,300.11,299.47,299.303,295.779,290.294,289.583
2023,291.059,293.971,297.961,302.052,304.089,303.691,299.982,298.826,298.95,295.071,291.614,287.82
