Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.32,298.72,299.71,303.89,304.6,300.1,296.88,296.58,297.79,298.95,295.89,293.62
1981,294.02,298.07,300.17,304.05,304.03,300.31,296.82,295.97,297.28,296.34,293.87,293.58
1982,295.6,297.33,299.9,301.95,303.17,300.14,297.74,296.48,296.86,298.85,296.47,295.21
1983,294.74,295.66,300.3,303.72,305.65,302.17,298.02,297.55,297.18,296.24,293.71,294.29
1984,295.58,297.5,301.47,303.99,305.85,300.39,296.73,296.15,297.65,298.37,295.51,294.36
1985,297.09,297.22,301.83,304.42,304.47,299.4,296.76,296.47,298.44,296.31,295.55,295.55
1986,295.16,297.35,301.65,304.68,304.7,299.51,296.83,296.74,298.14,298.52,296.62,295.87
1987,296.35,297.56,301.43,304.03,304.64,299.8,297.19,297.1,298.0,297.41,295.74,292.99
1988,295.96,297.82,300.27,304.5,305.34,300.83,297.39,297.33,297.32,296.67,294.21,293.38
1989,295.74,296.01,300.16,303.23,304.6,299.52,297.63,296.42,297.78,298.42,296.88,295.03
1990,295.71,297.26,300.22,304.68,303.98,298.16,296.62,296.7,297.57,296.8,295.69,294.71
1991,294.58,297.83,301.37,304.06,306.14,301.29,297.46,296.3,298.06,297.9,295.92,294.47
1992,293.96,296.29,301.61,305.32,305.5,302.37,298.13,296.9,297.68,297.78,295.8,292.7
1993,294.78,295.93,300.2,304.01,305.13,301.82,297.35,296.89,297.23,297.72,294.91,292.58
1994,295.89,297.57,302.56,303.47,305.78,299.26,296.23,296.41,296.75,297.27,294.7,292.56
1995,292.88,297.48,301.31,304.16,304.16,302.65,297.84,297.88,297.81,297.13,295.09,294.08
1996,296.18,298.85,302.51,303.93,305.01,301.49,297.53,296.18,297.05,296.09,293.95,292.74
1997,293.67,294.72,300.34,302.44,304.07,299.87,296.99,296.28,296.73,297.88,296.8,295.72
1998,295.74,296.21,300.38,304.21,306.19,301.14,297.6,297.12,297.18,297.17,294.92,292.35
1999,293.46,298.82,301.62,304.77,302.66,299.28,296.84,296.61,297.32,296.78,295.6,293.54
2000,295.67,296.64,300.29,304.78,302.87,299.2,296.95,297.53,298.81,298.59,295.88,292.87
2001,295.3,297.75,301.28,304.71,303.72,298.98,296.47,297.05,298.97,297.19,296.15,294.34
2002,294.81,299.18,301.74,305.21,305.42,300.6,297.63,296.48,297.7,299.07,296.41,295.46
2003,296.33,299.46,301.68,304.76,305.19,301.23,298.05,297.07,297.35,297.87,297.41,294.71
2004,295.57,296.74,301.31,304.76,303.47,298.98,297.17,296.15,297.52,296.46,295.74,293.88
2005,294.87,297.74,300.5,303.67,304.73,300.96,297.39,296.77,297.01,296.51,293.6,293.47
2006,294.2,297.38,300.0,303.64,305.0,300.02,296.7,296.33,298.11,297.83,295.93,293.84
2007,294.44,297.65,301.07,304.57,304.58,300.14,297.58,296.69,297.06,297.04,295.78,295.33
2008,294.71,296.15,300.95,304.37,304.64,298.67,297.68,296.67,296.93,297.61,295.88,294.54
2009,296.81,299.68,301.31,304.3,305.49,301.63,297.22,298.1,298.9,298.41,296.66,295.74
2010,295.43,298.84,302.51,305.21,306.46,300.3,297.89,297.17,297.66,297.16,295.77,293.47
2011,293.64,296.4,300.2,302.09,303.38,298.91,297.12,296.43,296.59,297.09,296.67,294.71
2012,294.66,296.95,300.39,303.93,304.8,300.33,297.63,297.48,297.25,298.13,297.35,296.83
2013,296.6,299.11,301.82,304.38,305.85,298.49,296.71,296.69,298.05,297.09,295.53,293.38
2014,295.04,296.14,299.4,302.43,301.73,300.25,297.6,297.47,297.39,297.68,295.0,294.01
2015,294.39,297.36,299.2,301.61,303.17,299.33,297.28,297.5,298.29,298.89,296.97,295.31
2016,294.54,298.22,300.87,303.91,304.79,299.42,296.34,296.04,296.27,295.43,294.03,293.46
2017,295.0,297.82,300.49,303.13,304.7,298.58,296.8,296.48,298.14,297.37,294.99,293.25
2018,293.94,297.07,301.18,304.05,305.18,298.91,296.95,296.23,297.36,297.36,296.05,294.49
2019,294.1,298.35,300.58,304.55,305.49,301.38,297.68,296.91,296.95,297.34,296.13,295.2
2020,295.58,297.98,299.5,303.29,305.744,299.05,298.433,296.995,298.513,297.819,295.718,294.475
2021,297.215,296.977,300.746,302.122,300.391,298.598,297.854,297.647,297.486,297.13,296.21,295.131
2022,294.438,297.46,301.399,303.809,303.957,300.532,296.877,296.924,297.568,296.82,294.739,296.056
2023,296.151,297.14,299.52,303.206,303.752,300.192,296.708,296.296,297.458,297.201,296.452,293.927
