Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,297.52,298.87,300.82,302.09,303.72,302.16,301.2,300.82,300.96,301.24,299.46,297.5
1981,296.67,298.62,300.28,301.86,302.89,302.76,301.07,300.67,300.97,300.93,299.21,297.03
1982,297.46,298.82,300.63,302.0,302.14,301.93,301.2,300.72,300.99,300.78,299.44,297.89
1983,297.73,298.51,300.97,302.56,302.96,302.83,301.42,301.05,300.63,300.04,298.37,296.93
1984,296.94,297.69,299.78,301.39,302.98,301.74,300.65,300.39,300.43,300.19,298.44,297.06
1985,296.94,298.53,300.38,302.03,302.67,302.74,300.97,300.57,300.63,300.08,298.38,297.76
1986,296.42,297.87,300.37,301.9,302.89,302.64,301.13,300.79,301.68,300.65,299.56,298.1
1987,297.21,297.74,299.96,302.06,302.49,302.86,301.48,301.1,301.14,301.09,299.47,297.72
1988,297.7,298.71,301.03,302.23,302.94,302.66,301.02,300.97,301.25,300.94,299.17,297.93
1989,297.12,298.18,299.98,301.65,302.25,301.54,301.14,300.5,301.05,301.07,299.27,296.93
1990,297.55,298.56,299.94,302.06,301.86,301.88,300.93,301.13,301.29,300.34,298.96,297.04
1991,296.85,298.82,301.07,302.43,302.89,302.16,301.41,301.03,301.3,300.62,298.42,297.02
1992,296.12,298.32,300.68,301.55,302.29,302.08,301.51,300.9,301.54,301.16,299.23,296.96
1993,297.24,297.81,300.0,301.88,302.83,302.56,301.35,301.34,301.39,301.0,299.21,297.32
1994,297.31,298.27,300.62,301.99,303.1,302.35,300.88,300.37,300.98,300.68,298.7,296.76
1995,296.34,298.24,300.9,302.45,302.27,302.91,301.55,301.18,301.58,300.51,298.75,297.36
1996,297.22,298.11,300.57,301.84,303.2,302.13,301.31,300.76,301.54,300.78,299.14,297.52
1997,296.66,298.11,300.33,301.15,302.92,302.53,300.97,300.97,301.03,301.34,300.13,298.44
1998,297.91,298.71,300.4,302.17,303.51,303.39,301.99,301.6,301.53,301.14,299.69,297.77
1999,297.25,298.99,301.26,302.32,302.56,302.27,301.36,301.02,301.07,300.65,298.46,297.06
2000,296.9,297.71,299.84,301.76,302.91,301.78,301.19,301.27,301.63,301.66,299.74,297.3
2001,296.45,298.68,300.47,302.0,303.59,302.0,301.22,301.28,301.9,301.37,299.94,297.84
2002,296.82,297.8,299.99,301.86,303.37,302.45,302.93,301.44,301.41,301.33,299.31,298.02
2003,296.56,297.88,299.66,302.41,303.12,302.71,300.66,300.84,300.67,300.38,299.1,296.99
2004,296.27,297.53,299.92,301.39,302.58,302.13,301.22,300.83,301.12,300.48,299.14,297.42
2005,297.27,298.57,300.23,301.49,302.61,302.66,300.83,301.24,301.12,300.76,298.9,297.4
2006,297.32,298.48,300.39,301.54,302.3,302.09,301.31,300.8,301.11,301.54,299.08,297.96
2007,296.92,297.91,299.68,301.66,302.96,302.47,301.75,301.53,301.27,300.58,299.38,297.61
2008,297.17,297.41,300.06,301.51,303.53,301.95,301.35,300.63,301.14,301.13,299.54,298.37
2009,297.69,299.27,300.39,302.12,302.6,303.04,301.04,301.57,301.86,301.26,299.63,298.11
2010,297.37,298.23,301.22,302.79,302.62,302.35,301.19,301.08,301.34,301.14,299.93,297.37
2011,296.43,297.48,299.86,300.56,302.63,302.31,301.18,301.08,300.96,301.45,299.75,297.2
2012,296.28,297.93,300.62,301.59,302.79,303.09,300.86,300.26,300.79,300.7,298.7,296.91
2013,296.51,297.23,299.34,301.23,302.91,301.66,300.23,300.5,301.03,300.33,298.88,297.28
2014,296.94,297.13,299.43,301.68,302.25,303.53,301.96,301.38,300.9,300.84,299.21,296.75
2015,296.63,297.43,299.69,300.95,302.57,301.55,301.44,301.13,301.28,301.07,298.51,297.4
2016,296.82,298.71,300.23,301.85,302.31,301.92,301.14,301.29,300.86,300.88,298.85,297.39
2017,296.71,297.87,299.97,301.42,302.47,302.24,300.95,300.91,301.27,300.92,298.77,296.85
2018,295.88,297.36,299.89,300.96,302.01,302.18,300.93,300.6,300.96,300.82,299.24,297.01
2019,295.8,297.61,299.91,301.74,302.29,302.6,301.21,300.74,300.69,300.89,299.53,297.41
2020,296.35,297.26,299.46,301.05,302.071,301.682,301.503,301.053,301.647,300.698,299.729,297.618
2021,297.578,298.055,300.103,300.919,302.377,302.016,301.621,301.384,301.237,301.363,299.256,297.489
2022,296.604,297.374,299.968,301.104,301.846,301.542,300.982,301.236,301.418,300.603,298.563,297.887
2023,297.135,298.33,299.541,301.061,302.043,302.233,300.692,300.912,301.016,300.345,298.596,296.415
