Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,270.1,269.58,273.67,281.92,277.47,281.83,288.86,288.52,278.51,280.94,275.65,273.3
1981,271.34,271.06,272.73,280.47,286.74,289.1,291.2,289.48,285.66,280.04,275.61,270.42
1982,269.18,268.89,271.89,275.88,275.72,279.9,288.75,288.62,285.75,281.22,273.9,270.97
1983,269.18,272.24,274.49,277.07,278.09,285.84,288.23,282.23,283.15,278.17,273.74,272.14
1984,268.29,268.14,273.77,275.02,277.52,282.31,277.95,290.15,284.78,280.53,275.04,271.21
1985,268.68,272.07,276.35,277.72,277.22,280.0,283.08,289.28,286.28,278.8,273.21,271.8
1986,269.34,270.04,272.41,279.52,278.72,287.32,285.46,291.14,282.69,279.78,275.74,270.11
1987,269.42,271.56,274.23,278.89,275.96,277.56,284.98,289.33,282.33,278.85,274.55,273.14
1988,271.14,270.58,274.45,277.22,278.65,289.68,291.91,289.72,287.43,280.13,277.24,273.29
1989,268.56,269.43,272.57,275.44,283.03,284.62,286.45,288.64,287.43,280.89,275.25,272.28
1990,271.32,271.27,273.31,275.8,281.47,281.89,289.26,291.04,289.09,281.99,274.55,270.82
1991,268.41,271.24,274.12,274.62,276.94,278.15,282.21,279.12,287.07,278.96,274.23,271.53
1992,269.94,269.54,271.56,274.23,278.24,282.87,287.43,290.43,286.03,279.8,274.51,271.72
1993,268.49,274.8,275.12,277.21,276.5,280.08,278.36,287.53,286.42,280.19,276.7,271.17
1994,270.57,269.41,274.81,273.65,275.72,284.55,291.12,290.87,285.56,279.21,274.18,271.66
1995,270.28,270.14,271.18,273.49,276.8,287.24,286.56,286.2,278.68,277.82,275.03,270.48
1996,268.41,271.0,273.17,274.62,275.52,281.62,288.45,290.05,285.4,279.88,273.11,270.67
1997,268.36,269.85,272.45,277.97,280.47,277.4,283.29,279.28,285.9,278.79,274.02,270.51
1998,270.48,271.93,271.72,278.88,285.26,287.82,289.96,290.44,288.25,282.26,277.92,274.74
1999,273.2,275.24,275.85,281.92,286.03,289.1,292.5,291.09,288.67,282.47,277.26,274.1
2000,270.49,269.32,273.03,277.68,285.49,288.18,289.28,289.65,286.08,282.28,276.89,273.78
2001,271.31,273.32,277.99,282.35,287.41,288.71,291.09,289.79,285.34,281.61,276.93,273.55
2002,271.49,271.0,277.03,282.4,287.35,289.4,290.54,291.59,285.33,282.15,276.54,272.72
2003,272.46,272.37,273.01,281.14,284.03,289.25,289.66,289.32,286.49,280.71,275.05,272.04
2004,270.66,271.82,279.47,283.13,286.18,289.3,289.76,290.26,287.1,280.29,277.14,273.74
2005,270.1,271.15,274.84,278.52,282.9,288.66,289.14,289.3,287.55,281.79,275.63,272.62
2006,270.42,276.94,277.99,282.6,288.68,289.8,291.01,290.38,286.55,282.84,276.5,272.36
2007,271.09,274.13,276.86,283.98,287.06,290.25,290.25,291.06,287.76,281.26,278.72,271.44
2008,267.76,269.86,279.77,282.21,287.25,291.85,292.41,291.12,286.21,282.31,277.28,274.15
2009,273.0,274.28,278.85,281.98,286.45,289.06,291.44,291.64,286.79,281.55,276.61,272.33
2010,272.75,272.17,280.63,284.57,287.11,288.42,291.18,291.23,286.65,282.51,277.66,273.35
2011,269.54,271.38,277.26,282.0,287.19,289.76,291.72,291.85,288.91,282.25,278.07,271.71
2012,268.24,270.83,277.28,282.28,285.91,290.24,292.38,291.91,288.17,282.35,276.73,273.57
2013,270.21,273.33,278.89,282.04,287.73,289.66,291.85,291.28,288.6,283.69,276.23,272.33
2014,270.17,271.94,276.73,280.95,285.06,289.72,291.2,291.59,287.83,282.85,276.36,272.94
2015,272.18,273.03,275.59,281.73,286.18,288.57,291.38,290.35,286.94,281.94,277.15,272.79
2016,272.59,274.53,278.86,282.85,287.3,291.05,290.73,290.31,287.38,283.04,277.68,275.17
2017,270.86,274.45,277.09,283.3,287.7,288.61,291.6,290.54,287.43,284.34,277.54,272.53
2018,272.28,273.19,277.68,282.96,285.39,289.54,290.68,290.89,286.55,279.96,276.56,270.98
2019,270.34,270.69,273.56,282.5,284.32,287.48,289.97,289.92,287.06,280.81,275.1,271.57
2020,269.86,272.45,273.88,277.06,283.23,286.648,288.626,289.485,285.277,280.649,274.537,270.13
2021,269.854,271.562,273.304,274.699,276.528,285.224,289.285,287.559,286.542,281.301,272.498,270.562
2022,269.343,269.492,274.673,276.492,282.832,287.359,290.896,289.617,287.931,282.284,277.608,274.421
2023,271.749,276.541,279.9,282.285,284.664,289.152,285.11,277.794,276.394,274.911,273.838,271.426
