Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,296.45,299.25,301.38,304.47,306.25,301.56,299.97,299.57,299.65,299.31,296.83,294.91
1981,294.31,297.62,300.1,302.7,304.08,303.85,300.36,299.08,299.59,298.83,296.52,294.88
1982,295.93,298.66,301.39,303.42,303.45,302.86,300.8,299.23,299.23,298.69,297.3,295.75
1983,296.26,297.94,301.91,304.23,304.83,303.92,300.07,299.91,299.12,297.64,295.2,294.69
1984,295.87,296.33,300.69,303.34,306.19,301.72,299.72,298.79,298.87,298.72,296.09,294.0
1985,295.35,297.51,301.8,304.78,305.68,303.69,300.38,299.08,299.38,297.38,295.16,295.28
1986,293.87,297.04,301.2,303.89,305.2,303.67,300.21,299.52,301.27,299.32,296.99,296.07
1987,295.53,297.42,300.67,304.28,304.45,304.03,300.52,300.21,300.48,299.7,296.7,295.37
1988,296.32,298.33,301.98,303.72,304.97,302.83,299.74,299.87,300.04,298.37,296.3,295.44
1989,295.49,297.46,300.88,304.41,305.86,302.19,300.95,299.42,299.95,299.27,296.85,295.21
1990,294.86,298.4,299.76,304.13,302.35,301.01,299.75,300.23,299.86,298.29,296.4,294.57
1991,295.24,298.78,302.25,304.76,306.22,302.3,300.78,299.77,299.73,298.84,295.31,294.96
1992,293.68,298.33,302.09,303.97,304.75,303.44,301.57,299.78,300.38,299.54,297.44,294.16
1993,294.86,297.76,301.47,304.03,305.39,303.44,300.98,300.12,300.17,299.29,296.64,294.57
1994,295.62,298.08,302.84,304.25,305.82,303.03,299.55,299.08,299.33,298.55,295.96,293.69
1995,293.92,297.82,301.37,303.92,303.21,305.05,301.19,300.4,300.72,298.75,296.03,294.75
1996,295.75,298.13,302.33,304.09,306.5,303.27,301.39,299.7,300.43,299.07,296.1,294.14
1997,294.61,296.97,302.2,301.95,305.13,302.73,299.39,299.57,299.28,299.07,297.19,296.11
1998,295.62,297.71,300.92,303.29,305.69,304.54,300.81,300.56,299.97,298.97,296.52,293.74
1999,294.1,298.02,302.3,305.12,304.61,303.22,300.91,300.31,300.15,299.23,295.92,294.33
2000,295.24,297.07,300.78,304.45,304.34,301.64,299.97,300.24,300.56,300.02,297.34,293.62
2001,294.54,298.35,301.1,303.28,305.97,301.5,300.19,300.26,300.8,299.29,297.37,294.56
2002,295.51,297.73,301.73,303.95,306.63,303.47,302.89,300.07,300.87,299.85,296.28,295.65
2003,295.43,298.67,300.55,305.22,306.66,304.6,299.8,299.74,299.32,298.25,296.24,294.1
2004,294.55,296.44,300.86,303.72,304.34,302.2,300.22,299.38,299.9,298.97,296.03,294.84
2005,296.66,298.85,301.97,303.99,304.95,304.52,299.57,300.48,299.64,298.92,295.55,294.24
2006,295.07,298.53,301.33,302.98,303.31,302.19,300.27,299.9,300.41,299.96,296.61,294.64
2007,294.17,297.4,300.89,304.37,305.56,303.52,301.98,301.18,300.27,298.4,297.44,295.89
2008,295.77,296.45,300.96,303.39,306.3,301.91,301.56,299.02,299.58,298.87,297.31,295.49
2009,296.52,299.84,301.59,305.27,305.38,304.23,299.99,301.12,301.92,299.65,297.94,295.84
2010,295.61,298.26,303.17,305.71,304.52,303.07,300.62,300.15,299.52,299.32,297.32,293.97
2011,293.5,295.91,300.25,301.79,304.07,302.49,300.65,300.05,299.28,300.27,297.64,295.16
2012,294.86,298.16,301.72,304.0,305.54,304.97,299.69,299.26,299.69,298.33,295.59,294.42
2013,295.13,296.25,300.11,302.67,305.37,300.71,298.23,298.99,299.97,298.61,296.61,294.28
2014,295.27,296.0,300.17,303.58,303.25,304.59,300.9,300.74,299.77,299.69,295.98,293.92
2015,294.32,297.09,300.69,301.89,305.26,301.28,300.69,299.71,300.11,300.19,295.78,295.5
2016,295.65,299.14,301.75,304.56,304.22,302.41,299.46,300.18,298.99,297.78,294.6,293.81
2017,294.78,298.17,300.99,304.18,304.56,302.27,299.51,299.11,300.26,299.08,295.97,293.97
2018,293.13,296.8,301.51,302.25,303.65,302.77,299.4,299.0,299.8,298.85,297.57,294.49
2019,294.17,297.0,301.36,303.48,305.05,303.77,300.01,299.43,299.26,299.14,297.01,295.9
2020,295.23,296.31,299.54,301.88,303.735,301.493,301.002,299.452,300.535,298.413,297.133,295.065
2021,296.154,297.359,301.528,302.666,303.01,301.64,300.81,300.464,299.93,299.975,296.902,295.021
2022,294.416,296.315,301.564,303.56,303.791,303.069,299.581,299.848,300.006,298.187,295.618,296.04
2023,296.034,297.34,299.74,302.157,303.265,303.225,299.307,299.632,299.495,298.387,296.594,294.084
