Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.484,0.24,1.63,0.013,0.009,1.229,1.858,5.338,1.208,0.105,0.127,0.465
1981,0.536,0.671,1.258,0.016,0.009,0.009,0.919,3.36,0.425,0.337,0.207,0.009
1982,0.061,0.089,1.881,1.17,0.009,0.409,0.343,5.937,0.057,0.811,0.062,0.357
1983,1.06,1.507,0.963,2.323,0.116,0.416,4.68,11.119,4.319,0.652,0.108,0.405
1984,0.157,1.177,0.362,0.016,0.009,0.009,4.185,8.693,3.299,0.021,0.009,0.083
1985,0.107,0.016,0.013,0.351,0.009,0.018,8.378,3.774,0.852,1.609,0.064,0.478
1986,0.037,1.58,0.924,0.096,0.009,0.009,0.268,2.501,1.536,1.68,0.07,0.059
1987,0.405,0.19,0.385,0.185,0.138,0.699,0.936,5.262,1.075,0.336,0.009,0.009
1988,0.084,0.298,1.44,0.142,0.009,0.009,1.492,7.253,2.606,0.024,0.189,0.101
1989,0.58,0.236,0.498,0.069,0.009,0.054,3.008,4.371,0.272,0.011,0.061,0.208
1990,0.009,0.776,1.399,0.233,0.079,0.009,2.146,8.336,3.183,0.339,0.17,0.175
1991,0.09,0.787,0.626,0.632,0.062,0.459,0.779,1.708,2.985,0.011,0.067,0.152
1992,0.564,0.611,0.193,0.009,0.009,0.009,2.762,5.807,2.254,0.201,0.546,0.009
1993,0.21,0.667,0.351,0.448,0.009,0.022,5.256,1.278,4.416,0.013,0.03,0.009
1994,0.413,0.531,0.062,0.665,0.009,0.009,2.503,6.202,1.772,0.015,0.009,0.009
1995,0.327,0.722,0.506,0.952,0.009,0.124,3.779,7.622,1.835,0.273,0.01,0.01
1996,0.118,0.48,0.724,0.009,0.01,1.137,0.143,4.006,3.647,0.29,0.01,0.01
1997,0.675,0.096,0.697,1.53,0.037,0.15,2.271,3.747,0.85,3.814,0.198,0.837
1998,0.009,1.041,0.944,0.182,0.009,0.009,1.937,3.588,2.815,0.301,0.024,0.009
1999,0.434,0.226,0.06,0.009,0.102,0.009,1.24,6.178,1.361,0.01,0.011,0.009
2000,0.111,1.387,0.576,0.009,0.009,0.009,0.696,0.677,0.444,0.009,0.009,0.167
2001,0.412,0.113,0.888,0.569,0.009,0.053,3.899,0.874,1.482,0.029,0.018,0.052
2002,0.246,0.467,0.649,0.082,0.009,0.469,1.443,4.149,3.423,1.438,0.409,0.009
2003,0.361,1.407,0.192,0.799,0.037,0.009,7.459,6.616,2.359,0.179,0.012,0.011
2004,1.899,0.045,0.01,0.153,0.083,0.009,0.691,8.626,3.07,1.448,0.076,0.737
2005,0.425,1.246,2.461,0.048,0.987,0.271,3.693,8.292,3.449,0.177,0.041,0.063
2006,0.071,0.754,2.251,0.014,0.009,0.765,5.382,8.742,6.943,0.945,0.572,0.403
2007,0.062,2.946,2.214,0.035,0.009,0.009,1.351,6.634,7.299,0.292,0.014,0.147
2008,1.566,0.054,0.027,2.048,0.009,0.009,5.445,7.022,2.863,0.057,0.193,0.122
2009,0.167,0.264,0.486,0.405,0.163,0.009,4.314,11.714,2.549,0.729,0.496,0.001
2010,0.038,0.296,0.02,0.0,0.0,0.0,4.524,13.372,5.604,0.029,0.002,1.181
2011,0.056,0.523,0.014,0.45,0.0,0.0,1.79,13.039,6.648,0.166,0.0,0.1
2012,0.167,0.207,0.082,0.071,0.009,0.061,2.387,4.365,3.32,0.289,0.0,0.037
2013,0.119,2.955,1.233,0.15,0.0,0.104,0.325,3.624,2.224,0.792,0.613,0.004
2014,1.528,1.307,1.541,1.692,1.347,0.0,0.693,4.598,4.203,0.276,0.001,0.139
2015,0.045,0.662,3.577,1.171,0.0,0.0,1.008,4.954,1.089,0.302,0.001,0.013
2016,0.104,0.108,2.777,1.459,0.0,0.0,3.999,3.411,3.298,0.017,0.0,0.0
2017,0.658,0.094,0.379,2.718,0.0,0.19,3.071,4.432,4.087,0.118,0.083,0.016
2018,0.008,0.106,0.757,0.026,0.034,0.109,0.316,1.262,0.904,0.056,0.0,0.18
2019,0.772,1.936,0.396,1.303,0.0,0.0,1.722,5.109,2.385,1.458,0.122,0.633
2020,1.462,0.701,2.721,0.888,0.436,0.0,4.358,7.316,1.068,0.017,0.226,0.0
2021,0.314,0.32,0.124,0.914,0.073,0.0,6.067,0.514,1.216,0.949,0.0,0.018
2022,2.215,0.218,0.114,0.022,0.0,1.352,0.802,2.387,1.747,0.748,0.0,0.006
2023,0.471,0.001,0.46,0.909,0.19,0.0,2.462,0.433,0.838,0.25,0.561,0.024
