Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.522,1.135,0.747,0.425,0.009,14.045,14.123,11.061,9.969,3.423,0.782,0.01
1981,1.078,1.039,1.756,0.009,1.754,1.514,10.726,10.316,9.236,1.442,0.136,0.425
1982,1.185,1.744,3.856,0.009,0.082,2.195,9.888,13.048,8.348,3.469,0.27,0.151
1983,0.907,7.036,2.02,3.239,0.039,5.384,10.442,15.601,11.809,2.45,0.518,0.644
1984,1.468,0.426,0.01,2.997,0.151,4.395,15.4,11.631,7.274,3.092,0.033,0.009
1985,1.609,2.446,0.009,0.66,0.009,2.484,10.198,13.004,11.774,4.173,0.472,0.009
1986,0.152,2.133,0.69,0.039,0.677,1.998,10.826,12.309,7.239,3.972,2.778,1.905
1987,1.096,0.361,2.042,0.009,0.124,1.944,3.747,11.274,9.306,4.217,4.869,0.191
1988,0.015,2.375,2.659,2.031,0.504,3.926,14.022,11.381,8.538,2.019,0.373,0.023
1989,0.04,0.009,1.953,0.009,0.026,5.801,12.306,16.842,8.651,2.375,0.088,0.601
1990,0.009,4.639,5.974,1.46,2.517,0.498,8.287,14.557,9.568,6.09,3.19,1.368
1991,1.649,0.721,0.638,0.009,0.009,6.528,12.99,12.905,10.752,6.653,0.74,1.924
1992,0.215,0.201,0.009,0.009,0.009,3.032,9.723,10.802,8.289,4.025,1.228,0.035
1993,0.01,0.94,0.392,0.151,0.009,6.629,13.584,11.164,9.874,6.312,0.4,0.009
1994,0.047,2.144,0.009,0.009,0.514,5.828,13.076,14.201,6.983,5.292,1.661,0.009
1995,0.838,1.755,0.27,0.634,3.466,2.752,10.448,11.616,10.775,6.729,3.755,0.016
1996,0.856,0.681,0.161,0.009,0.009,6.053,7.798,13.465,6.053,3.096,0.629,0.009
1997,1.054,0.009,0.009,0.168,0.009,2.45,13.851,11.34,8.071,1.56,1.418,1.9
1998,2.631,2.597,1.702,0.182,0.117,1.234,10.964,12.169,10.291,7.088,3.031,0.009
1999,0.01,0.009,0.009,0.009,0.009,3.496,9.072,11.901,12.187,6.522,1.517,0.009
2000,0.01,3.906,0.056,0.009,0.553,6.4,10.625,13.71,7.625,3.06,0.162,0.009
2001,0.009,0.176,2.368,2.336,1.782,8.117,13.15,11.168,7.12,4.234,1.94,0.01
2002,0.849,0.01,0.685,0.152,0.037,1.989,6.515,12.487,8.237,3.957,0.569,0.14
2003,0.009,0.562,1.251,0.45,0.01,5.091,14.015,15.012,10.539,11.044,0.579,3.013
2004,0.661,0.307,0.363,0.8,0.027,5.21,11.375,14.387,10.131,4.169,0.012,0.009
2005,0.819,0.176,1.759,0.119,1.406,4.842,11.683,9.691,9.983,5.714,0.73,0.346
2006,0.023,0.009,4.027,0.598,3.185,2.915,12.574,18.611,9.288,1.974,0.884,0.009
2007,0.009,1.46,1.055,0.083,0.69,6.86,8.647,11.566,11.263,3.99,0.577,0.011
2008,0.996,0.812,0.373,1.984,0.009,7.129,13.709,15.926,8.247,1.448,0.141,0.009
2009,0.096,0.216,0.13,0.009,0.281,0.839,14.85,8.325,7.845,3.415,0.965,0.0
2010,0.0,0.013,0.004,0.0,1.317,5.893,15.279,9.817,11.244,5.266,0.523,0.94
2011,0.0,1.248,0.041,5.562,0.0,3.879,14.026,13.929,9.35,3.371,0.001,0.0
2012,1.412,0.452,0.061,0.009,0.023,0.222,18.307,15.947,10.21,2.706,2.781,1.13
2013,0.0,0.222,1.387,1.846,0.0,11.143,16.934,10.751,7.498,8.397,0.0,0.001
2014,0.0,0.424,0.559,0.0,0.221,0.007,9.271,11.612,9.656,3.36,0.002,0.819
2015,0.966,0.0,0.0,0.83,0.008,6.11,11.268,9.31,4.264,0.525,0.313,1.366
2016,0.075,0.655,0.039,0.0,1.351,4.288,13.835,7.603,10.868,2.935,0.969,0.0
2017,0.158,0.0,1.344,0.0,0.962,6.338,15.018,12.158,8.212,4.924,2.162,0.001
2018,0.0,0.0,0.0,1.471,0.0,2.142,12.009,13.237,9.144,5.564,0.651,1.84
2019,0.0,0.418,0.126,0.0,1.072,3.939,12.375,12.649,11.838,5.266,0.054,0.006
2020,1.265,1.621,3.829,2.398,0.003,3.387,9.378,15.422,10.512,7.554,0.229,0.0
2021,0.216,0.0,0.0,0.196,0.933,5.766,13.141,13.257,11.472,7.558,2.564,2.889
2022,0.659,0.2,0.004,0.0,1.475,5.667,18.971,12.066,11.583,4.79,0.0,0.013
2023,0.001,0.0,2.032,0.69,0.0,5.848,17.009,8.018,8.268,1.353,0.068,0.085
