Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.009,0.027,0.009,0.009,0.051,7.783,11.946,10.431,6.703,1.756,0.009,0.009
1981,0.14,0.009,0.009,0.009,0.031,2.283,9.934,7.844,8.577,0.075,0.009,0.009
1982,0.023,0.021,0.3,0.025,0.009,1.234,5.7,10.914,5.186,2.191,0.551,0.009
1983,0.023,0.023,0.009,0.185,0.2,2.579,9.106,7.029,7.681,2.582,0.009,0.428
1984,0.009,0.085,0.009,0.103,0.009,1.432,10.202,10.216,4.959,0.788,0.009,0.009
1985,0.127,0.009,0.009,0.129,0.009,1.214,9.09,8.131,6.731,2.382,0.009,0.009
1986,0.009,0.193,0.079,0.009,0.021,4.11,9.427,6.379,5.823,2.527,0.061,0.242
1987,0.009,0.537,0.015,0.009,0.191,0.044,9.164,7.739,7.45,1.75,0.024,0.009
1988,0.009,0.012,0.009,0.101,0.009,0.669,7.801,9.369,5.743,1.266,0.134,0.024
1989,0.023,0.009,0.057,0.009,0.009,2.163,10.091,8.415,6.695,1.333,0.05,0.432
1990,0.009,0.139,0.021,0.009,0.158,2.44,10.988,7.273,8.14,1.43,0.009,0.178
1991,0.048,0.038,0.009,0.009,0.035,2.659,7.015,11.307,4.661,0.708,0.009,0.237
1992,0.009,0.009,0.076,0.009,0.118,0.784,9.169,7.349,4.545,0.526,0.095,0.009
1993,0.009,0.07,0.009,0.017,0.009,2.991,8.786,8.422,9.82,1.421,0.017,0.009
1994,0.104,0.066,0.009,0.039,0.009,4.819,11.616,10.232,5.154,1.156,0.009,0.009
1995,0.559,0.025,0.064,0.012,0.009,1.128,7.348,9.275,7.268,0.724,0.649,0.239
1996,0.279,0.192,0.009,0.009,0.069,1.723,7.15,8.51,5.375,1.31,0.009,0.009
1997,0.009,0.009,0.009,0.189,0.015,2.58,11.229,11.028,4.809,3.063,0.044,0.37
1998,0.741,0.009,0.648,0.072,0.147,0.379,8.02,7.354,6.789,2.972,1.343,0.009
1999,0.009,0.009,0.009,0.009,0.072,3.215,9.544,9.416,9.458,2.17,0.034,0.028
2000,0.009,0.075,0.488,0.009,0.063,2.712,11.185,5.578,8.191,0.593,0.009,0.009
2001,0.009,0.071,0.086,0.354,0.035,9.202,11.567,5.704,5.157,1.674,0.009,0.009
2002,0.027,0.068,0.009,0.009,0.033,3.038,7.955,8.624,7.326,0.673,0.009,0.013
2003,0.009,0.553,0.009,0.086,0.009,4.999,10.158,9.812,10.2,2.747,0.009,0.044
2004,0.525,0.009,0.009,0.126,0.009,6.819,6.933,10.975,5.179,2.258,0.009,0.009
2005,0.299,1.527,0.627,0.158,0.009,4.91,10.092,8.136,7.989,0.456,0.009,0.009
2006,0.009,0.009,0.043,0.316,0.311,5.314,13.53,11.695,4.881,0.758,0.009,0.009
2007,0.009,1.822,0.278,0.012,0.289,3.536,8.767,8.93,6.714,0.805,0.009,0.009
2008,0.035,0.341,0.021,0.116,0.115,7.691,7.47,6.764,3.967,1.211,0.009,0.009
2009,0.009,0.015,0.022,0.009,0.01,0.324,10.926,6.319,6.131,1.579,0.676,0.0
2010,0.0,0.0,0.0,0.0,0.004,0.803,7.262,6.197,4.596,1.082,0.0,0.412
2011,0.0,0.068,0.0,0.13,0.061,4.816,6.948,10.026,6.871,1.004,0.0,0.009
2012,0.064,0.009,0.009,0.166,0.009,0.02,9.059,9.04,4.962,0.275,0.282,0.0
2013,0.0,0.262,0.029,0.163,0.014,3.915,6.808,8.236,5.581,10.974,0.0,0.0
2014,0.0,0.509,0.574,0.0,0.013,0.0,8.43,9.656,7.885,2.67,0.0,0.001
2015,0.813,0.0,0.003,0.451,0.0,2.611,8.402,8.497,3.683,0.536,0.005,0.0
2016,0.034,0.009,0.887,0.021,0.105,0.588,11.2,11.427,6.255,1.225,0.0,0.0
2017,0.0,0.0,0.0,0.02,0.64,2.995,15.174,9.571,6.518,1.78,0.0,0.0
2018,0.0,0.0,0.024,0.274,0.0,0.443,8.763,9.059,4.918,1.46,0.185,0.125
2019,0.088,0.457,0.266,0.076,0.0,0.69,10.364,13.497,8.967,2.678,0.0,0.033
2020,0.476,0.06,1.422,1.439,0.191,3.256,10.115,13.055,6.474,1.397,0.0,0.0
2021,0.0,0.015,0.005,0.0,1.175,2.983,6.698,6.446,9.537,2.727,0.0,0.096
2022,0.015,0.008,0.0,0.0,0.049,3.624,9.843,11.559,6.096,1.242,0.0,0.0
2023,0.0,0.0,0.004,0.041,0.401,3.564,9.398,8.313,11.199,7.331,0.094,2.235
