Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.01,0.123,0.816,1.548,0.815,6.424,6.793,7.432,4.196,4.754,2.62,0.093
1981,0.735,0.244,0.589,0.582,1.787,7.863,8.398,7.173,7.608,7.688,2.719,0.105
1982,0.458,0.171,0.183,0.175,3.442,3.341,3.578,4.606,3.37,6.549,3.921,0.236
1983,0.065,0.01,0.046,0.041,0.963,5.11,5.378,7.865,5.939,3.453,1.549,2.615
1984,0.508,3.118,2.14,4.008,0.142,4.302,8.971,3.013,4.328,3.751,1.275,3.351
1985,1.434,0.194,0.606,1.126,0.648,5.565,5.469,5.912,4.85,3.52,2.487,1.383
1986,1.443,0.723,0.187,0.482,0.787,3.216,3.438,3.744,3.541,3.038,4.09,1.218
1987,0.728,0.064,0.041,0.183,2.072,3.752,2.596,5.187,5.227,6.736,4.109,2.095
1988,0.044,0.066,0.657,1.867,1.016,5.114,7.57,8.032,6.514,2.609,1.443,0.849
1989,0.009,0.01,0.784,0.065,0.174,5.23,3.548,5.66,5.42,7.516,2.084,0.457
1990,0.015,0.286,0.269,0.285,1.509,3.013,4.823,5.744,3.62,4.592,1.922,0.369
1991,0.028,0.869,0.187,1.076,1.55,4.983,4.383,2.524,5.825,6.946,5.622,0.127
1992,0.24,0.286,0.009,1.557,1.01,7.107,4.63,5.394,6.017,5.909,6.103,0.064
1993,0.009,0.009,0.125,0.847,0.609,5.012,7.116,3.225,3.351,7.124,3.57,1.883
1994,0.851,1.32,0.081,1.683,1.766,2.352,5.416,5.268,2.562,6.293,2.54,0.009
1995,0.351,0.547,0.987,1.498,3.889,2.02,4.945,9.719,2.678,6.679,2.921,0.009
1996,0.105,0.412,0.278,2.658,0.782,5.303,4.715,4.738,3.847,6.903,2.952,2.208
1997,0.385,0.43,0.085,2.957,2.458,1.816,6.727,5.012,4.54,5.586,6.437,3.237
1998,0.534,1.391,1.11,2.759,2.345,3.857,6.943,9.734,7.082,6.997,4.783,0.431
1999,0.054,0.094,0.54,0.411,2.253,1.75,5.156,3.25,2.824,8.357,2.283,0.474
2000,0.201,1.937,0.155,0.613,1.266,5.711,3.766,6.742,6.079,6.371,2.294,2.66
2001,0.352,0.33,0.301,3.118,0.359,2.443,4.011,2.663,3.53,4.686,3.607,0.393
2002,0.02,0.903,0.379,1.018,1.615,2.967,3.348,2.647,1.632,7.615,2.089,0.094
2003,0.019,0.031,0.634,2.599,0.023,2.751,3.073,4.925,1.6,7.454,1.01,0.137
2004,0.655,0.02,0.74,2.707,6.334,6.121,7.342,2.094,4.417,4.986,1.054,0.009
2005,1.183,1.388,2.869,1.479,1.957,4.899,9.09,5.013,6.025,10.576,4.226,2.149
2006,0.02,0.181,1.525,1.557,1.952,4.033,2.635,4.604,5.898,6.05,2.66,0.39
2007,0.045,0.155,0.221,1.793,0.031,2.265,3.479,1.84,3.003,5.179,2.311,1.157
2008,0.376,1.028,3.39,0.696,0.208,3.444,4.906,3.276,3.928,5.54,4.344,0.04
2009,0.344,0.177,1.353,0.895,3.326,4.26,1.875,4.172,2.727,2.382,3.532,0.996
2010,0.645,0.373,1.012,3.029,2.77,4.326,4.096,6.708,5.385,6.358,8.263,3.3
2011,0.733,1.498,1.252,4.875,5.225,4.95,4.586,3.543,3.352,5.282,0.903,0.368
2012,0.267,1.233,0.225,0.359,0.29,2.604,2.017,2.428,2.864,3.519,4.498,0.615
2013,0.086,1.777,1.54,6.768,0.501,7.481,4.22,2.731,3.864,5.177,1.689,0.226
2014,0.027,1.653,1.926,3.482,3.092,2.14,3.281,4.306,3.856,5.987,0.544,0.347
2015,0.126,0.371,0.623,4.857,3.981,2.309,0.787,2.54,4.196,3.732,7.04,0.388
2016,0.102,0.883,1.191,3.735,3.096,3.759,2.128,1.09,1.107,1.118,1.205,1.48
2017,0.693,0.0,1.748,0.871,3.089,2.937,3.816,7.46,6.567,5.793,2.701,1.659
2018,0.119,0.838,1.461,2.429,3.23,4.657,3.447,2.787,3.51,6.542,2.847,2.168
2019,0.662,2.489,2.124,1.942,0.736,7.325,3.681,6.231,8.816,9.91,4.383,2.24
2020,0.794,0.712,2.124,1.371,2.491,4.979,7.614,2.832,5.88,4.443,5.301,0.655
2021,0.977,0.251,0.046,3.213,3.363,3.213,6.754,3.827,3.014,7.01,13.349,0.864
2022,0.824,0.205,0.718,1.716,1.459,1.277,2.842,3.713,2.992,4.409,2.084,2.717
2023,0.095,0.0,1.791,2.147,3.119,0.991,1.78,0.339,4.027,5.711,6.569,2.019
