Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.315,0.392,0.009,0.009,0.009,6.702,9.885,9.367,4.403,0.547,0.186,0.375
1981,0.902,0.009,0.009,0.009,0.009,0.34,10.181,10.828,6.741,1.084,0.2,0.009
1982,0.519,0.01,0.009,0.009,0.009,0.989,7.391,8.551,4.283,2.01,0.232,0.175
1983,0.373,2.618,0.009,0.009,0.009,2.971,9.487,10.177,8.505,2.717,0.017,0.638
1984,1.695,1.545,0.009,0.009,0.009,2.425,7.671,7.428,3.636,1.286,0.009,0.563
1985,3.379,0.022,0.064,0.044,0.009,0.5,5.905,6.683,3.61,2.572,0.009,0.009
1986,1.75,2.12,0.009,0.009,0.026,1.912,4.656,8.206,3.504,1.706,0.852,2.333
1987,0.862,0.353,0.009,0.009,0.009,0.341,2.431,7.842,4.606,2.994,2.412,0.413
1988,0.009,0.009,0.181,0.009,0.009,1.065,9.929,9.639,6.92,1.153,0.106,0.009
1989,0.009,0.009,0.141,0.009,0.009,0.944,10.676,7.143,4.142,0.847,0.106,0.892
1990,0.013,0.009,0.009,0.009,1.499,0.432,6.381,9.485,6.217,3.181,0.009,0.009
1991,0.015,0.015,0.096,0.009,0.009,4.778,7.776,6.108,2.825,0.496,0.079,0.054
1992,0.009,0.009,0.009,0.045,0.009,0.463,4.62,8.13,3.513,2.675,0.531,0.009
1993,0.009,0.168,0.437,0.009,0.009,1.511,4.014,4.714,5.069,1.206,0.009,0.009
1994,0.267,0.255,0.009,0.009,0.009,1.914,9.679,7.224,4.856,2.107,0.295,0.009
1995,1.043,0.009,0.009,0.009,0.009,0.341,6.284,6.745,3.845,3.673,0.263,0.009
1996,0.033,0.066,0.009,0.009,0.009,1.128,5.835,8.188,4.85,1.672,0.012,0.009
1997,0.766,0.009,0.009,0.986,0.009,2.728,9.852,6.753,4.721,3.072,0.928,2.202
1998,1.777,1.49,0.734,0.016,0.009,0.68,8.406,9.221,7.567,3.121,0.814,0.009
1999,0.009,0.009,0.009,0.009,0.122,1.322,6.796,6.886,4.855,1.976,0.02,0.009
2000,0.009,0.707,0.009,0.009,0.009,1.526,8.0,8.855,3.454,0.283,0.009,0.094
2001,0.113,0.009,0.593,0.016,0.009,1.733,8.049,8.508,2.943,3.008,0.499,0.009
2002,0.091,0.02,0.009,0.009,0.009,1.066,4.086,9.056,2.772,1.375,0.009,0.009
2003,0.009,0.009,0.475,0.009,0.009,2.502,11.65,7.345,5.559,3.042,0.444,0.191
2004,0.656,0.009,0.009,0.009,0.085,2.401,7.629,8.326,4.966,2.105,0.619,0.009
2005,2.5,0.964,0.867,0.009,0.031,3.09,9.139,7.843,6.246,2.886,0.009,1.018
2006,0.009,0.009,3.557,0.972,0.278,3.073,8.102,7.326,4.965,2.887,1.387,0.009
2007,0.009,0.094,0.009,0.009,0.009,4.628,6.215,8.16,8.884,0.454,0.047,0.009
2008,0.115,1.522,0.48,0.489,0.009,2.06,9.03,10.137,4.143,1.626,0.448,0.009
2009,0.009,0.071,0.015,0.009,0.009,0.04,11.981,8.304,4.065,2.173,1.188,0.001
2010,0.036,0.501,0.0,0.0,0.0,1.727,10.482,9.208,6.464,3.233,1.37,0.571
2011,0.0,0.8,0.039,1.734,0.0,0.548,8.601,11.121,6.193,0.376,0.0,0.05
2012,0.408,0.009,0.009,0.009,0.009,0.653,6.419,9.697,7.386,2.193,1.517,0.072
2013,0.028,0.494,3.331,0.143,0.0,4.55,12.588,10.758,3.739,4.07,0.038,0.0
2014,0.095,0.816,0.191,0.0,0.0,0.0,3.207,6.138,4.138,0.304,0.0,0.34
2015,0.247,0.005,0.428,1.138,0.0,2.496,5.585,7.552,3.224,0.209,0.0,0.0
2016,0.005,0.53,0.358,0.009,0.008,2.938,9.457,4.972,5.687,1.676,0.0,0.0
2017,0.0,0.0,0.125,0.0,0.029,2.836,7.045,8.214,4.39,2.575,0.007,0.0
2018,0.0,0.008,0.407,0.0,0.0,3.887,7.023,5.852,3.203,0.021,0.05,0.548
2019,1.236,0.159,0.029,0.236,0.0,1.539,9.707,8.594,8.608,2.884,0.226,0.021
2020,0.787,1.488,2.631,0.0,0.0,3.2,10.606,11.513,4.702,2.706,0.014,0.0
2021,0.132,0.0,0.0,0.0,0.0,0.478,7.878,6.669,10.063,1.929,0.171,0.651
2022,2.189,0.0,0.0,0.0,0.035,1.908,13.973,8.784,5.64,3.408,0.0,0.006
2023,0.107,0.0,1.161,0.927,0.454,2.85,12.474,4.217,5.319,0.041,0.002,0.701
