Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.348,0.321,0.448,0.009,0.094,10.687,11.27,9.209,6.877,0.737,0.009,0.349
1981,1.875,0.181,0.23,0.501,0.034,5.161,12.206,9.476,7.528,0.387,0.703,0.75
1982,2.809,0.561,1.588,0.3,0.475,2.151,10.007,11.921,9.079,1.68,0.217,0.367
1983,1.633,0.772,0.832,2.739,2.042,3.995,9.976,11.134,9.449,3.447,0.211,0.763
1984,1.207,3.76,0.146,0.223,0.914,11.353,11.008,13.803,7.723,0.644,0.263,0.203
1985,0.885,0.304,0.226,0.029,1.394,3.713,11.989,9.88,8.095,2.756,0.432,0.382
1986,0.467,1.827,0.487,0.303,1.51,11.308,12.854,11.612,11.098,3.157,0.055,3.109
1987,1.707,1.185,0.537,1.222,0.867,0.61,12.027,10.337,8.407,1.328,0.009,0.012
1988,0.627,0.258,0.874,0.684,1.355,6.187,9.807,9.289,6.792,0.999,0.224,1.171
1989,1.589,0.361,0.649,0.116,0.61,7.993,16.146,8.636,8.004,1.462,0.306,0.722
1990,0.106,2.982,1.916,0.194,0.788,7.805,13.2,8.556,7.771,1.415,0.124,0.941
1991,0.515,1.261,0.719,0.17,0.01,6.569,8.389,11.908,8.576,0.218,0.571,1.963
1992,0.722,0.811,0.122,0.009,0.758,3.225,7.933,9.562,5.713,1.248,0.363,0.363
1993,1.294,0.843,2.019,0.289,2.886,4.984,12.294,12.789,7.644,0.942,0.198,0.009
1994,1.571,2.415,0.276,0.3,1.673,10.222,13.522,10.525,5.818,0.291,0.146,0.035
1995,2.714,1.615,0.236,0.009,0.125,3.773,12.107,9.26,8.355,1.349,1.648,0.488
1996,2.224,2.742,0.009,0.048,0.009,6.024,11.039,10.096,5.637,3.367,0.009,0.009
1997,0.613,0.051,0.162,1.419,0.009,4.777,15.253,11.405,9.383,3.461,0.777,4.773
1998,1.375,0.533,1.158,0.017,1.008,5.598,13.822,7.995,6.758,2.127,0.661,0.009
1999,1.304,0.071,0.009,0.009,0.846,5.19,13.909,10.884,6.73,1.972,0.156,0.863
2000,0.118,2.297,1.812,0.009,1.182,5.496,10.358,10.203,7.268,1.887,0.02,0.024
2001,0.549,0.395,0.535,0.767,1.946,9.718,11.115,8.276,6.828,1.599,0.26,0.013
2002,1.598,3.493,0.429,0.562,0.654,2.745,9.922,11.882,5.214,2.8,1.007,0.213
2003,0.58,2.148,0.085,0.009,0.009,7.288,11.696,6.941,5.98,1.08,0.009,1.087
2004,2.182,0.111,0.009,0.512,0.492,9.071,14.694,9.334,9.277,3.835,0.066,0.175
2005,3.064,1.217,2.006,1.373,1.472,7.828,14.127,9.962,9.366,4.749,0.552,0.461
2006,0.009,0.009,1.506,1.788,2.454,4.41,10.96,10.535,6.395,4.596,0.538,0.648
2007,0.009,4.421,4.159,0.174,2.178,7.808,11.397,11.121,11.09,1.484,0.215,0.064
2008,0.549,0.506,0.009,2.381,0.644,22.016,21.24,11.751,7.093,3.18,0.009,0.009
2009,0.136,0.69,0.569,0.042,0.772,0.788,13.672,13.057,6.869,2.793,0.407,0.198
2010,0.261,0.325,0.001,0.0,0.246,1.514,11.353,9.855,6.477,1.81,0.0,0.144
2011,0.099,2.241,0.155,0.0,0.0,5.834,9.977,10.79,6.376,1.238,0.004,0.315
2012,1.962,1.35,0.552,0.941,0.009,0.012,14.155,15.091,12.254,3.505,0.0,0.533
2013,0.755,1.655,0.0,0.0,0.0,2.368,18.242,15.76,14.445,3.843,0.001,0.0
2014,1.205,1.921,0.876,0.0,0.0,0.0,13.476,19.328,12.69,6.054,0.0,0.872
2015,1.249,0.492,2.779,0.77,0.0,2.84,11.819,15.133,8.177,2.63,0.114,0.0
2016,0.164,0.263,1.626,0.0,0.563,8.513,17.146,15.447,13.152,4.208,0.022,0.0
2017,1.075,0.029,1.177,0.01,0.978,5.514,17.159,13.867,11.525,3.371,0.455,0.013
2018,0.374,0.164,0.084,1.117,1.041,3.609,18.465,16.417,8.661,3.439,0.301,0.452
2019,3.565,4.464,0.034,0.471,0.0,1.502,18.245,12.706,18.784,1.681,0.109,1.254
2020,2.751,1.264,4.05,3.074,0.697,4.709,16.049,9.275,11.269,0.273,0.737,0.0
2021,0.208,1.186,0.0,0.631,3.435,1.351,13.336,15.905,12.961,7.816,0.0,0.821
2022,1.373,0.765,0.0,0.0,2.409,5.035,15.478,11.474,11.863,6.282,1.478,0.0
2023,0.279,0.001,0.077,0.904,2.464,5.82,14.663,12.218,9.919,6.79,3.849,1.155
