Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.009,0.074,0.009,0.009,0.009,7.798,11.422,9.503,3.248,0.579,0.113,0.229
1981,1.669,0.009,0.009,0.009,0.009,1.545,10.536,9.278,6.42,3.037,0.885,0.334
1982,0.067,0.019,0.009,0.386,0.455,2.304,7.403,8.163,3.848,2.68,0.375,0.009
1983,0.08,0.431,0.7,0.009,0.009,3.575,9.62,8.699,6.563,2.391,0.221,0.865
1984,1.201,1.182,0.009,0.009,0.009,4.483,7.689,4.99,4.041,3.084,0.016,0.59
1985,1.046,0.009,0.318,1.33,0.279,1.946,7.397,5.386,2.738,2.987,0.009,0.533
1986,1.761,1.019,0.009,0.009,0.513,4.722,3.917,4.692,3.59,1.287,1.692,2.118
1987,0.507,0.114,0.018,0.009,0.164,4.06,5.514,6.202,3.793,3.47,3.658,0.555
1988,0.009,0.009,0.2,0.266,0.009,2.657,8.744,7.928,8.196,1.115,0.076,0.009
1989,0.009,0.009,1.838,0.009,0.043,3.837,7.989,5.967,4.027,1.065,0.083,1.276
1990,0.104,0.009,0.009,0.009,0.858,2.929,6.943,6.735,3.597,3.1,0.028,0.009
1991,0.013,0.012,0.009,0.01,0.009,5.312,7.662,7.233,3.04,0.717,0.061,0.031
1992,0.009,0.009,0.009,0.072,0.009,0.627,4.856,7.47,2.983,3.78,0.616,0.009
1993,0.009,0.031,0.023,0.009,0.009,2.891,5.007,5.118,3.548,2.45,0.009,0.509
1994,0.012,0.016,0.009,0.009,0.009,4.174,8.732,4.471,3.062,2.612,0.351,0.009
1995,0.865,0.009,0.166,0.009,0.009,1.587,6.722,4.533,3.812,3.86,0.595,0.009
1996,0.009,0.009,0.094,0.067,0.009,3.046,5.984,5.946,4.619,2.81,0.109,0.009
1997,0.615,0.009,0.597,0.272,0.508,4.032,9.672,6.673,4.499,3.497,2.027,1.025
1998,0.241,0.27,0.496,0.2,0.07,1.227,9.221,7.32,5.84,4.343,0.897,0.009
1999,0.009,0.009,0.009,0.009,0.019,2.631,7.369,5.567,3.138,2.364,0.079,0.009
2000,0.009,0.705,0.009,0.009,0.491,2.441,6.945,6.227,4.847,1.252,0.009,0.121
2001,0.125,0.009,0.024,0.086,0.141,3.077,7.778,7.095,3.883,2.876,1.098,0.009
2002,0.342,0.359,0.009,0.009,0.009,1.945,5.559,5.168,1.765,2.705,0.049,0.009
2003,0.009,0.009,0.166,0.042,0.009,2.467,11.352,6.613,3.651,2.664,0.369,0.397
2004,0.342,0.262,0.009,0.071,0.699,4.474,5.69,5.826,4.027,2.852,0.152,0.009
2005,1.089,1.863,2.258,0.028,0.091,3.88,9.252,8.08,6.642,3.508,0.009,0.105
2006,0.009,0.009,2.039,0.203,0.53,5.677,8.119,4.48,6.359,3.773,1.579,0.009
2007,0.009,0.009,0.009,0.009,0.009,5.872,6.491,5.918,6.54,0.426,0.107,0.031
2008,0.009,2.25,2.25,0.171,0.009,4.487,7.318,8.016,4.055,1.891,1.365,0.03
2009,0.009,0.009,0.276,0.009,0.009,0.985,9.235,7.327,5.027,2.378,1.538,0.002
2010,0.208,1.044,0.0,0.0,0.0,2.383,8.965,8.525,7.14,3.225,3.117,0.281
2011,0.045,1.626,0.043,1.369,0.058,3.498,6.844,8.749,6.032,2.064,0.0,0.103
2012,0.125,0.009,0.009,0.012,0.009,1.282,5.646,6.982,7.869,1.447,0.779,0.001
2013,0.487,0.024,1.572,0.007,0.001,6.549,10.857,6.788,4.661,3.601,0.186,0.064
2014,0.074,0.847,1.943,0.385,0.403,0.528,4.988,6.356,2.479,1.051,0.023,0.603
2015,0.525,0.297,0.566,2.128,0.079,3.642,4.856,5.816,4.102,1.363,0.001,0.01
2016,0.001,0.523,0.56,0.395,0.281,3.092,7.03,3.848,4.308,1.024,0.0,0.002
2017,0.0,0.0,1.481,0.0,0.432,5.138,7.281,5.747,5.09,3.306,0.413,0.0
2018,0.0,0.022,0.213,0.998,0.0,3.504,8.301,5.035,3.024,0.384,0.012,0.024
2019,0.383,0.072,0.289,0.407,0.086,2.659,6.284,9.2,9.765,3.89,1.562,0.063
2020,0.529,0.636,0.831,0.094,0.186,5.346,10.57,10.962,6.928,5.837,0.536,0.0
2021,0.622,0.417,0.0,0.85,0.561,6.67,7.495,7.247,9.491,3.65,1.305,0.406
2022,1.289,0.0,0.0,0.0,0.079,2.28,13.552,6.783,6.424,4.515,0.0,0.2
2023,0.014,0.0,1.398,0.816,0.506,3.506,11.105,4.641,6.228,1.321,0.396,0.056
