Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.015,0.134,0.009,0.009,0.009,7.046,9.553,8.667,3.033,0.645,0.609,0.669
1981,0.795,0.009,0.009,0.009,0.009,0.757,9.671,9.31,8.565,3.512,0.333,0.01
1982,0.009,0.009,0.009,0.026,0.041,1.286,6.983,6.502,4.939,2.775,0.196,0.016
1983,0.009,1.279,0.012,0.009,0.009,2.167,9.048,8.345,7.551,4.078,0.368,0.616
1984,0.489,1.922,0.009,0.009,0.009,2.604,6.398,4.435,4.282,3.174,0.013,0.191
1985,0.988,0.009,0.023,0.135,0.009,0.477,5.685,5.122,2.307,3.275,0.009,0.015
1986,1.835,0.366,0.009,0.046,0.03,2.681,3.075,4.467,4.598,1.797,1.698,0.819
1987,0.455,0.009,0.009,0.009,0.118,1.927,2.441,6.078,3.37,3.4,3.536,0.232
1988,0.009,0.022,0.135,0.009,0.009,0.914,7.825,8.283,8.94,1.615,0.059,0.019
1989,0.009,0.009,0.334,0.009,0.009,1.215,8.38,5.996,4.389,1.13,0.009,0.828
1990,0.04,0.009,0.009,0.009,2.027,1.181,4.713,6.67,5.606,3.644,0.306,0.043
1991,0.009,0.048,0.009,0.009,0.009,5.223,5.045,5.899,4.101,0.972,0.197,0.128
1992,0.009,0.009,0.009,0.009,0.009,0.168,4.651,7.357,3.564,4.599,0.634,0.009
1993,0.009,0.009,0.099,0.009,0.009,1.31,3.479,3.284,3.87,2.332,0.009,0.013
1994,0.024,0.198,0.009,0.009,0.009,2.359,6.431,3.724,3.642,2.351,0.503,0.009
1995,1.057,0.009,0.009,0.009,0.009,0.708,5.336,5.622,4.371,4.878,0.485,0.01
1996,0.009,0.194,0.013,0.009,0.009,1.337,5.05,7.411,5.586,2.771,0.17,0.009
1997,0.562,0.009,0.022,0.898,0.072,2.679,8.748,6.064,6.83,2.351,0.758,0.869
1998,0.195,1.062,0.44,0.009,0.009,0.705,9.433,7.335,6.643,5.503,0.933,0.009
1999,0.009,0.009,0.009,0.009,0.331,1.066,5.828,5.16,3.721,1.901,0.027,0.009
2000,0.009,0.948,0.009,0.009,0.249,1.062,5.224,6.706,4.435,0.516,0.032,0.024
2001,0.448,0.009,0.026,0.406,0.009,1.425,5.846,7.79,3.816,3.601,0.569,0.009
2002,0.029,0.009,0.009,0.009,0.009,0.34,2.757,5.218,1.305,2.414,0.024,0.009
2003,0.009,0.009,0.234,0.009,0.009,1.492,11.127,6.679,4.629,4.261,0.164,0.091
2004,0.877,0.046,0.009,0.009,0.227,2.707,6.459,5.744,4.232,2.908,0.089,0.009
2005,2.079,0.902,0.916,0.009,0.364,2.489,7.728,7.47,7.399,3.541,0.021,0.512
2006,0.009,0.009,1.356,0.409,0.501,5.506,6.959,4.972,5.901,3.114,1.587,0.009
2007,0.009,0.131,0.009,0.009,0.009,5.808,5.377,6.774,8.339,0.924,0.065,0.009
2008,0.047,2.463,0.969,0.47,0.009,1.61,6.53,8.745,4.649,1.73,0.843,0.009
2009,0.009,0.009,0.009,0.009,0.009,0.505,7.418,7.415,5.095,2.394,0.659,0.002
2010,0.468,0.801,0.108,0.0,0.0,1.111,7.882,8.962,6.909,4.478,3.419,0.746
2011,0.054,2.079,0.01,1.871,0.016,0.755,6.394,8.345,6.269,1.317,0.0,0.046
2012,0.101,0.009,0.009,0.009,0.009,0.293,3.198,6.463,6.858,1.096,2.848,0.006
2013,0.407,0.37,1.3,0.687,0.035,3.277,9.27,7.287,4.022,4.016,0.238,0.0
2014,0.0,0.14,0.652,0.027,0.017,0.173,2.41,5.7,2.313,0.752,0.0,0.337
2015,0.741,0.0,0.567,1.48,0.003,3.509,4.288,7.033,5.142,1.033,0.0,0.001
2016,0.0,0.36,1.272,0.0,0.256,3.087,6.15,3.476,6.126,1.166,0.0,0.0
2017,0.0,0.0,0.838,0.0,0.351,2.753,5.235,7.337,5.062,3.352,0.407,0.0
2018,0.0,0.0,0.153,0.012,0.0,1.783,5.426,4.82,3.9,0.125,0.005,0.583
2019,1.375,0.108,0.295,0.382,0.01,0.974,6.472,9.263,10.979,3.982,0.688,0.101
2020,1.167,1.966,3.007,0.174,0.055,3.846,11.895,10.878,7.794,4.657,1.513,0.0
2021,0.024,0.009,0.0,0.113,0.196,3.323,7.728,7.809,10.542,2.93,0.773,0.183
2022,2.609,0.002,0.0,0.0,0.0,2.192,13.485,7.57,7.412,4.979,0.0,0.251
2023,0.001,0.0,1.086,0.79,1.148,1.742,11.26,4.605,7.356,0.171,0.004,2.265
