Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.009,0.009,0.009,0.009,0.009,5.238,8.409,7.388,2.284,0.04,0.076,0.739
1981,0.037,0.009,0.009,0.009,0.009,0.683,11.951,10.556,6.914,0.713,0.204,1.511
1982,2.163,0.009,0.009,0.045,0.009,2.004,6.556,8.646,2.374,4.489,0.491,0.082
1983,0.199,0.009,0.009,0.009,0.009,2.071,7.051,9.331,5.852,1.841,0.016,0.148
1984,1.486,0.831,0.009,0.009,0.009,1.735,7.108,8.577,3.647,0.339,0.009,0.009
1985,0.009,0.009,0.009,0.476,0.013,0.542,7.639,6.038,1.862,1.529,0.009,0.653
1986,0.193,0.045,0.009,0.009,0.219,2.19,3.317,7.341,2.474,0.639,0.009,0.058
1987,1.982,0.117,0.009,0.009,0.009,1.252,5.49,7.184,2.157,1.964,1.719,0.477
1988,0.009,0.009,0.009,0.009,0.009,0.099,8.6,7.347,6.518,0.606,0.138,0.009
1989,0.009,0.009,0.101,0.009,0.009,1.518,7.979,5.728,2.19,0.165,0.368,0.188
1990,0.24,0.009,0.398,0.009,0.009,0.509,7.67,9.252,4.228,1.619,0.031,0.01
1991,0.009,0.009,0.009,0.009,0.009,1.811,8.885,5.715,0.361,0.009,0.477,0.009
1992,0.009,0.022,0.009,0.009,0.009,0.134,4.589,6.538,2.567,2.317,0.324,0.009
1993,0.009,0.009,0.599,0.068,0.009,2.529,4.985,3.936,4.45,0.53,0.009,0.009
1994,0.05,0.009,0.009,0.009,0.009,3.103,10.728,7.7,4.859,0.039,0.346,0.009
1995,1.281,0.009,0.027,0.009,0.009,0.211,7.672,4.531,2.726,2.166,0.009,0.018
1996,0.019,0.009,0.009,0.009,0.009,1.57,6.142,5.2,3.307,1.429,0.03,0.009
1997,0.012,0.009,0.009,0.009,0.009,5.026,9.806,8.357,2.241,3.104,3.398,3.666
1998,0.234,0.009,0.063,0.009,0.009,0.153,8.289,6.679,6.74,2.466,0.84,0.009
1999,0.009,0.149,0.009,0.009,0.009,1.429,7.265,4.964,2.791,2.658,0.009,0.009
2000,0.009,0.218,0.009,0.009,0.009,0.629,7.017,6.256,2.59,0.571,0.009,0.055
2001,0.009,0.009,0.03,0.009,0.009,1.583,9.069,5.656,2.325,2.43,0.143,0.009
2002,0.065,1.133,0.009,0.009,0.009,2.606,5.363,9.642,3.479,0.037,0.423,0.009
2003,0.009,0.055,0.009,0.009,0.009,3.152,9.955,7.314,4.463,0.637,0.013,0.009
2004,0.009,0.009,0.009,0.009,0.009,1.467,6.603,8.655,4.001,2.585,0.501,0.009
2005,0.009,0.222,0.263,0.009,0.009,3.319,9.244,8.068,7.981,0.735,0.009,0.009
2006,0.009,0.009,1.644,0.009,0.043,4.225,12.006,10.178,4.702,0.486,0.144,0.009
2007,0.009,0.112,0.009,0.009,0.009,5.867,9.7,8.968,6.086,0.009,0.083,0.028
2008,0.009,0.009,0.009,0.009,0.009,3.394,7.261,8.504,6.018,1.146,0.909,0.037
2009,0.285,0.009,0.077,0.009,0.009,0.41,9.788,8.27,2.105,1.576,1.484,0.001
2010,0.001,0.005,0.288,0.0,0.0,0.916,8.943,9.378,4.953,1.483,4.181,0.247
2011,0.0,0.376,0.0,0.0,0.027,0.799,7.793,12.582,6.992,0.187,0.0,0.205
2012,0.009,0.009,0.009,0.009,0.009,0.17,6.499,11.552,8.224,0.176,0.0,0.035
2013,0.11,1.506,0.401,0.0,0.0,3.9,13.752,10.558,3.498,2.939,0.042,0.026
2014,0.049,0.237,2.315,0.0,0.0,0.009,4.951,5.061,4.059,1.194,0.0,0.399
2015,0.687,0.0,0.468,1.264,0.0,3.493,5.928,7.09,2.107,0.276,0.0,0.0
2016,0.0,0.0,0.036,0.0,0.041,2.454,7.869,6.672,2.257,1.06,0.0,0.0
2017,0.0,0.0,0.0,0.0,0.0,2.01,10.705,6.245,3.259,1.051,0.009,0.001
2018,0.0,0.0,0.114,0.0,0.0,2.058,8.565,7.405,1.358,0.001,0.23,0.0
2019,0.0,0.0,0.0,0.399,0.0,1.333,10.041,9.151,9.109,2.029,0.924,0.17
2020,0.033,0.0,0.143,0.0,0.047,1.079,9.208,10.778,4.023,2.356,0.0,0.055
2021,0.326,0.017,0.0,0.0,0.424,0.722,5.179,1.47,7.498,0.717,0.418,0.005
2022,0.142,0.0,0.0,0.0,0.0,0.877,11.664,8.538,5.3,1.304,0.0,0.495
2023,0.022,0.0,0.097,0.128,0.0,3.401,9.556,2.339,3.724,0.002,1.107,0.154
