Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.199,0.804,0.371,1.034,0.009,15.208,15.712,12.773,8.707,2.9,0.009,0.009
1981,0.113,0.541,1.012,1.539,2.81,7.207,14.185,11.991,9.582,0.346,0.009,0.777
1982,0.009,0.379,0.499,0.352,0.009,9.234,10.052,15.512,7.049,2.836,0.641,0.009
1983,0.094,0.434,1.597,0.527,0.555,8.589,11.505,14.155,9.611,3.105,0.113,1.026
1984,0.041,0.024,0.009,1.247,1.632,9.353,13.362,14.293,7.501,4.003,0.009,0.009
1985,0.015,0.303,0.009,0.009,0.152,5.016,11.439,11.991,8.431,4.55,0.041,0.009
1986,0.091,0.046,0.009,0.115,1.902,8.169,11.901,10.402,9.161,3.923,1.715,0.118
1987,0.135,0.347,1.419,1.812,1.142,4.475,11.18,14.498,11.042,2.177,1.358,0.009
1988,0.009,2.04,1.308,0.507,1.599,13.153,12.603,10.535,8.138,0.851,0.56,0.075
1989,0.009,0.009,0.332,0.009,2.627,6.377,13.005,12.584,8.011,4.047,0.041,0.319
1990,0.009,1.497,3.571,3.21,1.596,6.648,14.582,10.9,10.316,4.366,2.367,0.854
1991,0.345,0.091,0.125,0.009,0.009,6.759,11.818,17.102,9.403,3.564,0.146,0.589
1992,0.098,0.075,0.009,0.009,1.945,5.591,14.021,11.289,6.698,3.473,0.357,0.009
1993,0.177,0.157,1.298,0.219,1.616,10.091,12.416,11.401,10.661,5.191,1.324,0.009
1994,0.222,0.778,0.009,0.161,2.747,10.604,15.334,14.493,7.434,3.383,0.576,0.009
1995,0.015,0.234,0.009,0.032,3.392,5.195,15.998,12.428,13.115,5.035,4.641,0.009
1996,0.103,0.019,0.009,1.074,0.038,8.179,11.862,12.649,6.204,3.154,0.017,0.009
1997,0.091,0.009,0.009,0.33,0.186,6.31,14.728,12.561,9.1,1.257,0.115,0.237
1998,0.398,0.429,1.424,0.435,0.155,3.487,11.35,11.002,9.645,9.295,1.464,0.009
1999,0.009,0.009,0.009,0.009,1.483,6.951,11.159,12.496,10.801,8.052,1.229,0.009
2000,0.018,2.107,0.023,0.923,2.958,9.715,13.699,10.22,11.665,2.956,0.009,0.009
2001,0.009,0.009,0.485,2.094,5.429,12.637,14.907,9.662,8.439,3.942,0.244,0.009
2002,0.125,0.009,0.547,0.12,0.562,10.394,10.29,13.823,10.848,4.048,0.31,0.04
2003,0.009,0.207,0.172,0.072,0.256,6.968,15.136,13.411,10.753,6.742,0.185,0.699
2004,0.009,0.027,0.009,2.656,1.283,10.402,11.404,14.614,11.33,3.747,0.009,0.009
2005,0.009,0.009,1.658,0.347,2.011,8.94,12.721,9.025,10.886,4.816,0.047,0.245
2006,0.009,0.009,0.244,0.637,3.992,5.354,17.255,15.794,10.901,1.31,0.011,0.009
2007,0.009,0.849,0.025,2.559,5.268,7.042,12.32,12.178,12.704,2.732,0.15,0.009
2008,1.247,0.284,0.327,0.888,1.709,14.938,12.955,11.186,7.357,2.471,0.01,0.009
2009,0.009,0.009,0.009,0.009,4.334,2.898,13.248,8.465,10.421,2.718,0.471,0.0
2010,0.0,0.0,0.041,0.052,1.533,8.434,12.094,9.495,7.182,3.953,0.236,2.369
2011,0.0,0.003,0.053,3.536,1.97,9.17,11.449,12.728,11.37,2.748,0.002,0.026
2012,0.397,0.009,0.009,0.257,0.409,0.916,13.145,12.392,9.223,1.874,1.07,0.113
2013,0.0,0.087,0.0,1.171,1.405,10.9,14.382,12.529,8.413,9.978,0.001,0.0
2014,0.0,0.674,0.0,0.0,1.115,0.243,11.537,11.36,8.574,2.547,0.002,0.293
2015,2.329,0.0,0.0,0.817,0.0,6.782,12.704,12.263,4.41,0.908,0.009,0.032
2016,0.039,2.719,0.076,0.0,0.404,0.666,12.003,11.278,8.028,1.83,0.259,0.0
2017,0.023,0.0,0.178,0.0,0.999,6.716,15.477,8.044,5.95,4.392,0.355,0.144
2018,0.001,0.0,0.0,1.567,0.194,2.331,10.598,10.718,8.458,5.465,0.518,2.865
2019,0.0,0.882,0.248,0.0,0.56,3.142,11.851,13.575,10.515,3.324,0.563,0.0
2020,0.197,0.181,0.265,5.106,4.008,7.235,9.829,15.528,9.455,6.041,0.214,0.0
2021,0.0,0.002,0.0,0.001,4.721,7.856,13.84,8.622,8.954,5.944,1.292,2.177
2022,0.036,0.596,0.0,0.0,0.45,3.669,13.32,18.239,11.173,3.896,0.0,0.0
2023,0.001,0.001,0.711,0.299,0.04,5.381,12.195,6.798,13.79,4.679,0.963,0.756
