Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.009,0.009,0.009,0.009,0.009,2.739,4.378,1.302,0.02,0.11,0.009,0.492
1981,0.009,0.009,0.009,0.009,0.295,0.446,4.27,3.712,0.467,0.01,0.403,0.009
1982,0.067,0.204,0.045,0.009,1.322,0.07,1.774,5.481,0.009,0.349,0.012,0.021
1983,0.009,0.009,0.009,0.939,0.009,0.287,5.723,8.026,2.462,0.243,0.009,0.01
1984,0.059,0.009,0.009,0.009,0.009,0.077,3.863,3.445,1.895,0.009,0.009,0.009
1985,0.009,0.009,0.009,0.009,0.038,0.781,5.435,2.429,0.009,1.101,0.009,0.009
1986,0.026,1.087,0.009,0.009,0.009,0.19,1.481,1.579,0.26,0.039,0.009,0.009
1987,0.031,0.009,0.009,0.009,0.009,0.595,0.962,1.282,0.009,0.424,0.009,0.671
1988,0.009,0.009,0.194,0.009,0.009,0.066,6.267,5.008,3.485,0.135,0.009,0.009
1989,0.009,0.009,0.009,0.009,0.009,0.409,5.689,3.469,0.108,0.009,0.009,0.009
1990,0.009,0.009,0.102,0.009,0.009,0.009,2.549,6.76,1.322,0.263,0.009,0.009
1991,0.009,0.049,0.009,0.032,0.009,0.009,0.82,1.822,0.036,0.009,0.009,0.009
1992,0.042,0.195,0.009,0.009,0.009,0.009,6.499,5.622,3.605,0.123,0.795,0.009
1993,0.009,1.672,0.009,0.025,0.009,0.364,5.008,0.133,0.777,0.446,0.009,0.009
1994,0.145,0.009,0.009,0.009,0.009,0.916,9.875,8.058,4.209,0.009,0.009,0.009
1995,0.009,0.015,0.009,0.179,0.009,0.19,6.884,4.931,0.233,0.057,0.009,0.009
1996,0.009,0.009,0.009,0.131,0.009,1.922,1.792,1.48,1.609,0.229,0.009,0.009
1997,0.009,0.009,0.171,0.715,0.009,1.033,3.985,2.778,0.381,1.555,0.043,0.009
1998,0.009,0.383,0.039,0.04,0.009,0.104,2.911,1.134,3.745,0.259,0.009,0.009
1999,0.015,0.053,0.009,0.009,1.219,0.063,1.706,0.855,0.234,0.406,0.009,0.009
2000,0.009,0.142,0.009,0.009,0.009,0.013,2.427,0.717,0.104,0.009,0.009,0.348
2001,0.009,0.009,0.255,0.704,0.539,0.676,3.52,3.117,0.173,0.219,0.009,0.009
2002,0.009,0.009,0.009,0.009,0.009,0.179,1.528,2.157,0.3,0.009,0.459,0.009
2003,0.205,0.812,0.009,0.009,0.009,1.454,8.357,4.254,0.804,0.009,0.009,0.009
2004,0.011,0.009,0.009,0.023,0.009,1.939,3.365,7.707,0.637,0.53,0.009,0.043
2005,0.009,0.009,0.009,0.658,0.009,0.427,6.224,1.994,3.107,0.009,0.009,0.009
2006,0.009,0.009,1.1,0.009,0.628,0.794,4.533,13.558,1.964,0.009,0.009,0.009
2007,0.009,0.095,0.221,0.111,0.009,2.119,0.67,6.931,3.466,0.009,0.009,0.009
2008,0.009,0.009,0.009,0.608,0.009,0.764,1.243,8.504,1.815,0.013,0.009,0.009
2009,0.009,0.052,0.082,0.009,0.009,0.196,7.871,2.7,1.305,0.414,0.0,0.0
2010,0.0,0.105,0.0,0.0,0.0,1.552,7.118,7.855,3.616,0.0,1.082,0.17
2011,0.0,0.235,0.0,0.01,0.0,0.249,2.14,6.128,6.509,0.0,0.0,0.005
2012,0.067,0.009,0.009,0.009,0.009,0.009,0.823,2.618,2.965,0.003,0.0,0.0
2013,0.007,0.33,0.0,0.0,0.0,0.599,3.076,3.836,0.868,0.271,0.0,0.0
2014,0.243,0.0,0.017,0.029,0.107,0.083,1.918,2.517,1.854,0.0,0.004,0.184
2015,0.098,0.009,0.535,0.552,0.0,1.268,7.311,2.016,1.572,0.0,0.0,0.0
2016,0.0,0.041,0.0,0.001,0.292,0.96,2.459,10.782,0.266,1.012,0.0,0.0
2017,0.124,0.0,0.104,0.0,0.029,1.855,9.576,3.401,0.949,0.0,0.0,0.121
2018,0.0,0.0,0.187,0.081,0.0,1.267,2.221,1.217,0.613,0.0,0.0,0.0
2019,0.323,0.0,0.0,0.019,0.125,0.608,5.369,5.847,3.223,1.496,1.184,0.025
2020,0.155,0.0,0.265,0.058,0.032,0.346,3.842,9.077,0.021,0.0,0.125,0.0
2021,0.0,0.0,0.0,0.591,1.821,0.207,2.625,0.362,7.985,0.837,0.0,0.008
2022,0.306,0.002,0.0,0.0,0.0,0.618,11.238,13.081,0.297,0.079,0.0,0.0
2023,0.059,0.0,0.469,0.024,0.929,6.573,6.117,0.472,4.128,0.192,0.849,0.0
