Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.028,0.013,0.121,0.009,0.028,3.225,5.521,7.155,2.714,2.248,2.307,1.303
1981,1.042,0.009,0.452,0.066,1.676,1.523,8.259,4.933,7.289,5.503,2.459,0.544
1982,0.025,0.022,0.009,0.015,1.209,0.417,1.887,4.389,3.334,4.836,2.653,0.018
1983,0.034,0.23,0.033,0.009,0.093,2.357,4.795,6.864,3.878,5.013,1.324,1.452
1984,0.189,2.273,0.446,1.807,0.009,1.515,6.154,3.113,4.788,2.671,2.321,2.796
1985,0.214,0.056,0.338,0.136,0.009,0.115,5.412,4.762,3.391,4.049,1.805,1.417
1986,1.611,0.254,0.009,0.06,0.606,1.481,1.38,2.35,4.651,2.323,3.627,2.177
1987,0.886,0.036,0.165,0.009,0.136,1.485,1.114,3.881,3.201,6.643,3.58,2.223
1988,0.014,0.063,0.336,1.5,0.053,0.844,5.318,6.787,5.998,0.997,1.431,0.806
1989,0.012,0.01,0.405,0.009,0.009,1.357,3.819,4.609,4.98,2.475,2.006,0.703
1990,0.018,0.093,1.612,0.428,1.463,0.502,2.356,5.451,6.336,4.052,2.137,0.304
1991,0.055,0.038,0.009,0.684,0.02,2.544,2.185,2.746,4.661,4.096,7.807,0.502
1992,0.338,0.044,0.009,0.272,0.048,0.669,3.43,4.445,4.474,4.864,5.506,0.037
1993,0.028,0.397,0.254,0.018,0.009,0.965,2.07,2.317,4.016,6.493,2.936,2.128
1994,0.959,1.167,0.009,0.071,0.071,0.397,2.788,2.494,2.452,5.178,2.799,0.009
1995,0.622,0.36,0.286,0.161,1.063,0.096,2.916,7.155,3.06,7.441,2.845,0.016
1996,0.062,0.319,0.062,1.134,0.011,1.838,2.802,5.05,5.761,8.648,1.265,1.868
1997,0.61,0.055,0.418,2.357,1.24,0.408,5.855,3.704,6.849,3.397,4.797,1.816
1998,0.438,0.248,1.459,0.721,1.588,1.146,4.942,7.465,5.722,7.397,3.923,0.443
1999,0.01,0.009,0.009,0.065,1.721,0.446,3.806,3.055,2.442,4.756,2.21,0.018
2000,0.021,1.696,0.011,0.067,0.58,1.411,3.21,5.374,6.695,5.279,2.319,1.071
2001,0.321,0.09,0.516,1.951,0.009,0.346,3.65,2.511,6.141,7.13,3.338,0.159
2002,0.099,0.486,0.279,0.206,0.089,1.404,0.617,2.235,2.371,5.933,1.939,0.009
2003,0.014,0.009,0.71,0.273,0.009,0.666,4.414,3.157,3.643,5.151,0.751,0.111
2004,1.208,0.009,0.539,0.733,2.004,0.808,4.546,1.719,5.4,5.872,0.753,0.009
2005,1.082,1.082,1.313,0.891,1.147,1.4,4.828,3.49,5.313,9.339,3.904,1.818
2006,0.009,0.009,0.991,0.907,0.247,2.684,2.297,2.022,5.003,4.031,2.127,0.368
2007,0.015,0.32,0.009,1.066,0.012,3.226,3.962,3.219,4.501,3.682,0.718,1.731
2008,0.08,0.728,1.163,1.832,0.009,0.606,2.286,3.989,2.468,5.609,3.566,0.017
2009,0.013,0.016,0.122,0.02,0.056,0.451,1.219,3.021,4.145,2.608,3.036,0.062
2010,0.485,0.256,0.399,1.659,1.316,0.714,2.909,7.898,4.186,6.548,5.651,2.303
2011,0.314,0.908,0.319,2.495,0.836,0.675,2.733,3.992,3.207,3.173,0.64,0.57
2012,0.14,0.184,0.009,0.338,0.012,0.241,1.563,2.285,2.213,1.347,3.346,0.38
2013,0.026,0.517,1.506,5.095,0.292,1.481,2.478,2.113,3.871,5.431,0.239,0.322
2014,0.019,0.53,0.86,0.675,0.516,0.122,1.686,2.21,0.918,2.424,0.49,0.001
2015,0.095,0.29,1.09,3.864,1.302,0.688,0.571,1.787,3.872,1.018,2.799,0.209
2016,0.028,0.029,0.72,1.181,1.143,2.422,3.319,1.502,1.04,0.338,0.093,2.662
2017,0.007,0.001,1.081,0.045,0.909,0.968,1.957,3.931,4.558,4.064,2.1,0.246
2018,0.036,0.007,0.361,0.148,0.604,2.408,1.655,1.128,4.059,3.836,1.103,0.341
2019,0.787,2.09,0.478,0.125,0.192,1.155,3.381,4.281,7.188,6.333,2.179,0.526
2020,0.427,0.419,2.463,1.37,0.459,2.769,7.008,3.358,5.793,5.445,5.697,0.19
2021,0.302,0.007,0.0,1.02,0.788,2.838,4.916,3.009,2.658,5.664,5.816,0.173
2022,0.551,0.005,0.006,0.088,0.561,1.22,3.773,4.969,3.891,5.587,0.937,3.47
2023,0.043,0.002,3.365,2.468,2.432,0.67,1.585,1.75,6.823,1.741,3.379,1.32
