Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.009,1.416,0.737,0.961,0.009,18.886,20.085,14.644,11.885,5.866,0.009,0.009
1981,0.132,0.908,4.055,8.455,6.089,11.936,18.589,15.591,12.223,0.667,0.009,0.645
1982,0.009,1.178,0.019,1.19,0.009,14.415,13.87,20.108,9.188,2.521,0.749,0.009
1983,0.199,0.358,3.796,0.337,3.508,15.551,15.678,21.398,14.133,5.338,0.243,0.59
1984,0.015,0.016,0.028,0.771,3.435,16.146,16.449,19.348,9.208,4.007,0.009,0.009
1985,0.009,0.113,1.131,1.802,2.166,8.774,16.164,17.414,12.453,6.111,0.354,0.009
1986,0.029,0.039,0.112,1.458,5.61,15.521,18.401,15.252,14.428,5.38,1.758,0.02
1987,0.037,0.474,1.934,3.425,4.84,10.793,16.173,18.294,14.483,2.365,0.892,0.11
1988,0.009,1.894,1.439,2.386,4.495,23.691,16.109,14.944,11.217,3.002,2.439,0.16
1989,0.009,0.009,0.246,0.009,4.773,11.151,15.932,16.064,10.628,8.253,0.025,0.143
1990,0.009,1.365,3.203,3.561,4.398,12.989,20.1,13.202,14.585,6.068,3.516,0.19
1991,0.552,0.108,0.113,0.327,0.009,11.64,17.532,20.122,14.196,7.126,0.106,0.861
1992,0.009,0.443,0.009,0.009,7.739,7.374,17.929,15.421,10.408,6.467,1.326,0.047
1993,0.088,0.63,4.749,2.357,2.91,15.532,15.898,15.633,14.774,5.971,1.389,0.01
1994,0.248,0.376,1.765,6.244,9.663,16.478,21.088,20.909,10.179,5.088,0.917,0.009
1995,0.009,0.599,0.224,0.009,4.718,11.484,20.821,17.71,17.395,5.258,4.688,0.009
1996,0.076,0.377,0.009,3.766,1.324,14.136,14.611,14.662,7.787,5.042,0.254,0.009
1997,0.022,0.181,0.026,6.191,3.134,11.397,22.428,17.482,14.335,1.293,0.869,0.016
1998,0.314,0.208,2.135,4.588,5.998,8.26,15.27,14.153,13.562,10.694,1.943,0.009
1999,0.009,0.009,0.009,0.088,10.177,13.145,14.716,16.521,14.075,9.613,1.116,0.009
2000,0.325,0.844,0.009,2.512,11.985,14.934,19.155,17.574,15.445,5.516,0.356,0.009
2001,0.009,0.02,0.456,1.926,14.1,20.191,19.679,13.045,10.306,5.705,0.769,0.009
2002,0.009,0.009,0.722,2.95,9.692,20.825,14.29,18.643,13.158,5.11,0.651,0.009
2003,0.009,0.028,0.37,0.078,4.047,13.627,19.511,16.233,11.647,5.947,0.084,0.081
2004,0.009,0.009,0.009,4.963,3.201,16.344,16.727,19.244,15.865,6.386,0.009,0.009
2005,0.009,0.009,2.009,1.486,9.447,18.692,17.454,13.886,13.24,7.215,0.012,0.527
2006,0.009,0.009,0.556,0.408,11.912,11.059,21.813,20.34,13.628,3.362,0.274,0.009
2007,0.009,0.426,0.067,6.856,8.705,11.853,14.996,15.954,16.172,3.655,0.219,0.009
2008,0.895,0.577,0.112,2.129,9.162,19.598,16.803,14.91,10.725,5.899,0.01,0.009
2009,0.009,0.009,0.009,0.009,16.615,17.568,17.965,12.366,13.005,4.87,1.201,0.0
2010,0.0,0.0,0.0,2.493,7.86,12.241,16.479,11.981,11.214,6.384,0.299,0.432
2011,0.0,0.058,0.958,5.087,9.659,16.612,16.444,16.406,15.158,4.145,0.016,0.138
2012,0.034,0.009,0.192,6.012,8.203,7.399,15.353,16.103,10.672,2.747,0.564,0.065
2013,0.0,0.001,0.009,1.931,5.74,12.918,16.707,17.733,11.579,10.643,0.001,0.001
2014,0.0,0.687,0.349,0.001,2.565,2.782,17.203,14.058,11.262,3.164,0.0,0.151
2015,1.014,0.55,0.0,3.555,1.557,10.294,18.54,13.502,7.779,2.559,0.275,0.004
2016,0.001,2.048,1.276,0.105,1.41,1.788,13.834,12.027,10.463,3.613,0.909,0.0
2017,0.0,0.001,0.973,0.41,4.422,11.729,18.914,11.387,8.967,6.489,0.531,0.801
2018,0.001,0.001,0.147,2.413,5.072,5.436,13.202,15.135,11.462,3.798,0.528,0.495
2019,0.0,0.866,0.656,0.031,0.61,8.49,14.552,16.676,11.971,3.154,1.56,0.0
2020,0.199,0.002,0.183,6.877,12.45,13.512,12.449,18.817,10.416,8.865,0.832,0.0
2021,0.0,0.001,0.0,0.0,7.202,11.295,15.153,12.161,11.727,4.879,0.629,0.962
2022,0.0,0.787,0.002,0.0,3.093,4.935,14.705,19.769,12.814,4.539,0.0,0.0
2023,0.0,0.0,1.114,0.465,0.803,6.071,16.801,10.339,16.779,4.305,1.651,0.301
