Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.088,0.327,0.28,0.009,0.038,12.33,12.997,12.026,7.622,3.807,0.009,0.009
1981,2.266,0.009,0.431,0.009,0.09,2.103,11.695,12.586,8.695,0.325,0.009,0.092
1982,0.64,0.392,0.009,0.024,0.39,3.164,8.026,13.1,6.584,3.675,0.508,0.043
1983,0.037,2.163,0.009,0.187,0.225,4.465,10.591,13.126,9.779,2.135,0.014,0.788
1984,0.678,2.157,0.009,0.106,0.009,3.341,14.524,12.298,6.082,1.226,0.009,0.009
1985,0.993,0.035,0.009,1.972,0.077,2.102,10.876,11.214,8.279,2.333,0.01,0.009
1986,0.248,1.908,0.15,0.009,0.189,3.623,12.998,10.319,6.148,3.421,1.132,2.036
1987,0.301,0.701,0.137,0.009,0.037,1.89,6.616,12.248,8.923,2.898,4.332,0.034
1988,0.009,0.736,0.244,0.218,0.009,2.357,12.583,10.813,6.449,1.675,0.741,0.171
1989,0.009,0.009,0.93,0.009,0.009,3.608,13.031,14.482,8.179,1.595,0.603,0.946
1990,0.009,0.711,0.179,0.009,0.415,1.275,11.361,11.653,9.605,3.296,0.83,0.606
1991,0.679,0.658,0.129,0.009,0.009,3.689,12.77,12.579,5.596,1.436,0.009,0.849
1992,0.009,0.009,0.009,0.009,0.03,2.296,11.441,10.595,5.855,1.363,0.283,0.012
1993,0.009,0.394,0.256,0.088,0.034,5.453,12.061,9.239,9.443,2.192,0.009,0.009
1994,0.12,0.185,0.009,0.009,0.01,6.964,14.686,14.771,6.764,2.348,0.077,0.009
1995,0.822,0.063,0.362,0.009,0.814,2.313,10.771,10.918,6.48,2.927,1.814,0.257
1996,0.849,0.335,0.148,0.009,0.009,2.69,10.542,11.119,5.416,1.673,0.009,0.009
1997,0.203,0.009,0.009,0.415,0.009,3.069,13.112,11.421,6.479,4.197,0.746,1.351
1998,1.843,0.238,1.185,0.022,0.047,0.77,8.674,10.525,9.723,4.901,3.247,0.009
1999,0.009,0.07,0.009,0.009,0.141,4.145,10.672,12.231,12.945,3.916,0.575,0.013
2000,0.009,0.801,0.504,0.009,0.043,2.704,12.388,9.319,8.561,0.621,0.009,0.009
2001,0.014,0.244,0.85,1.016,0.407,9.256,13.198,9.097,5.685,2.164,0.011,0.009
2002,0.742,0.009,0.277,0.009,0.009,3.372,7.898,13.643,7.241,2.399,0.009,0.136
2003,0.009,1.551,0.334,0.009,0.009,5.651,12.692,12.362,11.333,6.675,0.092,0.134
2004,0.906,0.009,0.009,0.07,0.009,6.268,11.607,14.659,7.635,2.366,0.009,0.009
2005,0.737,0.547,0.583,0.065,0.685,5.786,13.778,9.163,10.481,2.309,0.112,0.073
2006,0.009,0.009,0.462,0.748,0.2,3.983,15.132,16.986,7.226,1.268,0.203,0.009
2007,0.009,2.219,1.016,0.313,0.02,5.45,8.007,11.454,7.959,1.252,0.225,0.009
2008,1.219,1.73,0.573,0.716,0.009,12.38,11.891,11.106,6.008,1.538,0.04,0.009
2009,0.041,0.195,0.009,0.009,0.031,0.361,14.343,9.27,6.227,2.078,1.115,0.004
2010,0.022,0.06,0.0,0.0,0.272,3.8,12.437,11.761,8.459,2.648,0.173,1.615
2011,0.0,0.05,0.084,1.375,0.011,5.077,12.432,12.525,7.99,1.254,0.0,0.004
2012,0.847,0.307,0.009,0.039,0.13,1.31,14.677,13.784,8.892,1.608,4.456,0.24
2013,0.12,0.885,0.499,1.137,0.0,6.551,12.77,11.193,6.783,7.688,0.0,0.0
2014,0.0,0.143,0.161,0.0,0.248,0.0,8.142,9.013,8.226,3.776,0.0,0.217
2015,1.653,0.0,0.008,0.724,0.0,4.771,9.648,10.734,4.607,1.033,0.002,0.046
2016,0.122,0.892,1.21,0.0,0.007,3.538,13.31,9.625,8.364,2.533,0.007,0.0
2017,0.045,0.0,0.008,0.0,0.468,4.35,13.786,11.952,7.297,3.099,0.142,0.0
2018,0.0,0.0,0.0,0.197,0.045,1.93,12.182,11.853,6.234,1.734,0.533,3.335
2019,0.034,0.539,0.973,0.618,0.0,2.965,12.769,13.029,9.834,4.103,0.0,0.089
2020,0.888,0.57,2.791,1.804,0.022,2.568,9.139,13.031,7.466,4.094,0.073,0.003
2021,0.0,0.012,0.0,0.001,0.139,2.609,9.74,6.691,11.069,2.446,0.058,0.428
2022,0.684,0.0,0.0,0.0,0.125,6.409,15.361,14.374,7.739,2.164,0.0,0.0
2023,0.001,0.0,0.316,0.876,0.059,4.406,11.79,7.101,10.763,3.825,0.0,2.347
