Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1980,0.009,0.009,0.009,0.009,0.009,2.716,7.281,3.44,0.933,0.05,0.026,0.368
1981,0.04,0.009,0.017,0.009,0.477,0.145,10.122,7.736,2.945,0.136,0.202,0.121
1982,0.397,0.025,0.054,0.661,1.236,0.162,3.458,7.792,0.227,1.117,0.487,0.318
1983,0.056,0.009,0.009,1.237,0.511,0.268,9.163,7.624,3.784,1.318,0.009,0.895
1984,0.306,0.009,0.187,0.013,0.009,0.469,6.874,8.31,3.846,0.015,0.009,0.015
1985,0.018,0.009,0.024,0.009,0.009,0.039,7.561,4.444,0.565,2.116,0.009,0.009
1986,0.683,3.154,0.009,0.009,0.662,0.269,4.647,3.549,0.302,0.152,0.009,0.009
1987,0.494,0.009,0.009,0.009,0.059,0.748,2.431,6.648,0.194,1.493,0.009,1.006
1988,0.009,0.009,0.316,0.173,0.014,0.116,5.2,6.367,4.266,0.608,0.009,0.009
1989,0.024,0.009,0.192,0.009,0.009,1.281,7.201,6.94,0.454,0.084,0.009,0.009
1990,0.009,0.058,0.009,0.009,0.209,0.009,5.076,8.406,3.215,0.137,0.009,0.009
1991,0.009,0.799,0.05,0.144,0.009,0.219,2.157,4.875,0.78,0.009,0.443,0.009
1992,0.176,0.105,0.009,0.009,0.009,0.767,9.439,6.47,3.587,0.556,1.217,0.009
1993,0.009,0.515,0.009,0.065,0.009,1.706,7.668,1.583,3.393,0.291,0.009,0.009
1994,0.848,0.009,0.009,0.122,0.009,1.777,11.797,9.605,4.193,0.009,0.009,0.009
1995,0.584,0.009,0.013,0.039,0.009,0.021,7.592,8.417,1.468,0.023,0.009,0.036
1996,0.009,0.009,0.009,0.009,0.684,0.574,3.901,4.725,4.465,1.252,0.009,0.009
1997,0.009,0.009,0.018,0.14,1.139,1.438,6.121,9.132,2.884,3.619,0.21,0.485
1998,0.009,0.039,0.567,0.179,0.009,0.126,4.93,4.271,5.006,0.98,0.009,0.009
1999,0.009,0.082,0.009,0.009,0.17,0.729,4.212,3.279,1.371,0.908,0.009,0.009
2000,0.009,0.115,0.046,0.054,0.232,0.032,7.226,1.593,0.438,0.009,0.009,0.237
2001,0.009,0.009,0.495,0.718,2.644,2.642,8.443,4.425,0.326,1.798,0.009,0.009
2002,0.028,0.261,0.009,0.009,0.133,1.587,2.101,5.846,1.453,0.009,1.036,0.009
2003,0.094,0.608,0.009,0.021,0.009,2.575,8.473,7.275,3.004,0.009,0.009,0.009
2004,0.01,0.009,0.009,0.21,0.009,0.62,3.326,10.738,1.164,1.275,0.009,0.009
2005,0.009,0.076,0.186,2.089,0.249,1.395,12.298,5.515,6.135,0.009,0.009,0.009
2006,0.009,0.009,2.274,0.009,1.619,2.079,6.83,13.516,4.391,0.304,0.041,0.043
2007,0.009,0.636,0.098,0.244,0.009,2.131,7.407,8.612,4.861,0.009,0.009,0.043
2008,0.009,0.009,0.009,1.022,0.009,0.351,3.137,9.458,2.316,0.053,0.037,0.009
2009,0.021,0.009,0.075,0.009,0.08,0.015,9.089,2.932,1.511,1.032,0.53,0.039
2010,0.0,0.098,0.0,0.164,0.026,0.631,8.014,8.914,5.621,0.016,1.39,0.19
2011,0.0,0.454,0.0,0.016,0.259,0.242,4.221,7.919,7.177,0.0,0.0,0.027
2012,0.015,0.009,0.009,0.259,0.03,0.017,1.692,5.917,4.33,0.025,0.0,0.0
2013,0.121,1.7,0.0,0.071,0.0,0.62,3.031,4.971,1.355,1.318,0.104,0.004
2014,1.793,1.159,0.0,0.018,0.331,0.0,2.878,3.04,2.968,0.013,0.001,0.633
2015,0.079,0.033,0.455,1.112,0.0,2.732,5.989,1.644,0.849,0.0,0.0,0.0
2016,0.0,0.016,0.016,0.0,0.038,2.582,5.362,14.333,0.574,0.852,0.0,0.0
2017,0.123,0.0,0.262,0.0,0.552,2.089,10.98,3.864,1.173,0.0,0.216,0.047
2018,0.0,0.0,0.325,0.712,0.194,2.604,3.39,2.417,4.418,0.0,0.001,0.0
2019,0.222,0.291,0.0,0.137,0.221,0.514,5.082,10.593,6.924,1.447,1.595,0.008
2020,0.387,0.0,0.33,0.617,0.996,0.342,5.436,11.477,0.509,0.097,0.446,0.0
2021,0.006,0.0,0.0,0.459,2.185,0.234,7.706,2.159,9.994,1.651,0.168,0.236
2022,0.315,0.0,0.0,0.066,0.088,1.553,15.41,13.609,2.482,0.956,0.0,0.0
2023,1.188,0.0,0.007,0.023,3.771,7.253,9.513,1.793,6.191,0.0,1.12,0.061
